Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.070587,0.078512,0.069696,0.077897,68,"495,179"
"Dec 15, 2017",0.074644,0.081838,0.069725,0.070488,102,"523,633"
"Dec 14, 2017",0.080895,0.083055,0.073730,0.074532,527,"567,474"
"Dec 13, 2017",0.077742,0.085861,0.074097,0.081155,26,"545,350"
"Dec 12, 2017",0.080816,0.092670,0.076757,0.077677,450,"566,905"
"Dec 11, 2017",0.073186,0.084020,0.072865,0.080557,140,"513,372"
"Dec 10, 2017",0.075188,0.085364,0.066191,0.073718,42,"527,410"
"Dec 09, 2017",0.074814,0.079180,0.067165,0.074884,65,"524,779"
"Dec 08, 2017",0.080182,0.081378,0.064777,0.074889,116,"562,426"
"Dec 07, 2017",0.048488,0.083198,0.047867,0.079994,"7,480","340,105"
"Dec 06, 2017",0.075821,0.076653,0.043294,0.048571,173,"531,820"
"Dec 05, 2017",0.081594,0.083181,0.035119,0.075990,339,"572,302"
"Dec 04, 2017",0.056209,0.081434,0.055951,0.081434,77,"394,244"
"Dec 03, 2017",0.085267,0.091560,0.052941,0.056023,116,"598,046"
"Dec 02, 2017",0.076190,0.086165,0.075095,0.085186,32,"534,374"
"Dec 01, 2017",0.079945,0.080830,0.067542,0.076255,222,"560,694"
"Nov 30, 2017",0.078629,0.083854,0.067491,0.080343,46,"551,457"
"Nov 29, 2017",0.084388,0.099518,0.072744,0.077440,18,"591,830"
"Nov 28, 2017",0.076092,0.084827,0.075357,0.084472,376,"533,644"
"Nov 27, 2017",0.082927,0.086389,0.067403,0.075895,389,"581,575"
"Nov 26, 2017",0.075655,0.084689,0.069836,0.082912,"1,291","530,569"
"Nov 25, 2017",0.073890,0.078563,0.073472,0.075681,14,"518,179"
"Nov 24, 2017",0.068476,0.082748,0.067170,0.074039,141,"480,204"
"Nov 23, 2017",0.074027,0.082383,0.068569,0.068569,854,"519,124"
"Nov 22, 2017",0.072215,0.086190,0.071587,0.074050,67,"506,415"
"Nov 21, 2017",0.073349,0.082093,0.069386,0.072040,88,"514,354"
"Nov 20, 2017",0.086466,0.088473,0.073111,0.073335,78,"606,331"
"Nov 19, 2017",0.070082,0.087200,0.069268,0.086507,91,"491,431"
"Nov 18, 2017",0.069181,0.070753,0.067066,0.070212,200,"485,099"
"Nov 17, 2017",0.074524,0.086500,0.064471,0.069447,535,"522,560"
"Nov 16, 2017",0.079603,0.082119,0.073095,0.074647,637,"558,160"
"Nov 15, 2017",0.087141,0.091255,0.070815,0.079188,"2,005","610,999"
"Nov 14, 2017",0.070468,0.087139,0.064587,0.087081,"2,290","494,083"
"Nov 13, 2017",0.062935,0.072572,0.062445,0.070319,15,"148,619"
"Nov 12, 2017",0.069909,0.069909,0.047618,0.062844,37,"165,089"
"Nov 11, 2017",0.065749,0.071533,0.062951,0.069961,102,"155,263"
"Nov 10, 2017",0.073855,0.075986,0.064516,0.065983,418,"174,406"
"Nov 09, 2017",0.087742,0.087742,0.073391,0.073636,50,"207,200"
"Nov 08, 2017",0.073367,0.092231,0.072931,0.087833,278,"173,255"
"Nov 07, 2017",0.080724,0.083529,0.071278,0.073598,74,"190,628"
"Nov 06, 2017",0.086872,0.087141,0.080560,0.080854,153,"205,146"
"Nov 05, 2017",0.081292,0.089511,0.075126,0.086680,110,"191,969"
"Nov 04, 2017",0.079625,0.083197,0.077799,0.081447,174,"188,031"
"Nov 03, 2017",0.078169,0.087593,0.077298,0.079832,618,"184,594"
"Nov 02, 2017",0.084108,0.089933,0.075995,0.078272,714,"198,618"
