Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003353,0.006477,0.003311,0.006426,2,"10,276"
"Dec 15, 2017",0.003384,0.003400,0.003312,0.003348,5,"10,371"
"Dec 14, 2017",0.003111,0.003242,0.003076,0.003148,9,"9,536"
"Dec 13, 2017",0.003455,0.003501,0.003293,0.003398,63,"10,590"
"Dec 12, 2017",0.003691,0.003691,0.003344,0.003452,64,"11,312"
"Dec 10, 2017",0.003609,0.003609,0.003177,0.003318,2,"11,061"
"Dec 09, 2017",0.003741,0.003796,0.003251,0.003594,25,"11,464"
"Dec 08, 2017",0.007463,0.007574,0.003469,0.003744,41,"22,872"
"Dec 07, 2017",0.005906,0.007445,0.005831,0.007445,100,"18,102"
"Dec 06, 2017",0.004329,0.005925,0.004329,0.005917,198,"13,268"
"Dec 05, 2017",0.003730,0.004409,0.002414,0.004339,7,"11,432"
"Dec 04, 2017",0.004159,0.004288,0.003690,0.003723,17,"12,748"
"Dec 03, 2017",0.004354,0.004380,0.003918,0.004146,0,"13,345"
"Dec 01, 2017",0.003697,0.003738,0.003557,0.003596,8,"11,332"
"Nov 30, 2017",0.003637,0.003956,0.003330,0.003716,8,"11,146"
"Nov 29, 2017",0.004070,0.005262,0.003364,0.003582,315,"12,475"
"Nov 28, 2017",0.003317,0.004075,0.003172,0.004075,"2,024","10,165"
"Nov 27, 2017",0.003281,0.003314,0.003267,0.003308,1,"10,054"
"Nov 26, 2017",0.002886,0.002918,0.002883,0.002899,1,"8,846"
"Nov 25, 2017",0.002703,0.002887,0.002694,0.002887,1,"8,285"
"Nov 24, 2017",0.002974,0.002989,0.002940,0.002940,8,"9,114"
"Nov 23, 2017",0.002961,0.003058,0.002961,0.002978,8,"9,075"
"Nov 22, 2017",0.002840,0.002977,0.002828,0.002962,6,"8,704"
"Nov 21, 2017",0.002884,0.002930,0.002729,0.002833,101,"8,840"
"Nov 20, 2017",0.002654,0.002900,0.002623,0.002884,36,"8,135"
"Nov 19, 2017",0.002570,0.002677,0.002540,0.002656,29,"7,876"
"Nov 18, 2017",0.002492,0.002594,0.002481,0.002574,14,"7,636"
"Nov 16, 2017",0.001242,0.001346,0.001214,0.001342,65,"3,805"
"Nov 15, 2017",0.001241,0.001241,0.001225,0.001235,169,"3,802"
"Nov 13, 2017",0.001820,0.002085,0.001806,0.002001,1,"5,578"
"Nov 12, 2017",0.001765,0.001822,0.001755,0.001817,1,"5,409"
"Nov 11, 2017",0.002367,0.002452,0.002364,0.002374,1,"7,254"
"Nov 10, 2017",0.002139,0.002554,0.002139,0.002375,5,"6,555"
"Nov 09, 2017",0.002240,0.002240,0.002115,0.002132,11,"6,866"
