Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004257,0.006890,0.004029,0.004297,"4,930","129,186"
"Dec 15, 2017",0.004506,0.006953,0.004005,0.004259,"1,429","136,729"
"Dec 14, 2017",0.005365,0.006588,0.004467,0.004467,"1,233","162,806"
"Dec 13, 2017",0.005303,0.006201,0.004947,0.005381,"3,891","160,918"
"Dec 12, 2017",0.005993,0.006219,0.004645,0.005297,"2,544","181,864"
"Dec 11, 2017",0.004817,0.006225,0.004668,0.005974,"3,003","146,171"
"Dec 10, 2017",0.006912,0.007255,0.004852,0.004852,"2,993","209,754"
"Dec 09, 2017",0.005041,0.013996,0.004140,0.006884,"7,004","152,987"
"Dec 08, 2017",0.005363,0.006603,0.003760,0.005052,"1,987","162,737"
"Dec 07, 2017",0.004917,0.005269,0.004211,0.005077,590,"149,202"
"Dec 06, 2017",0.005032,0.005896,0.004545,0.004922,668,"152,706"
"Dec 05, 2017",0.003904,0.005074,0.003860,0.004704,822,"118,484"
"Dec 04, 2017",0.004036,0.005113,0.002576,0.003897,"1,663","122,490"
"Dec 03, 2017",0.005480,0.005657,0.002154,0.004021,"5,141","166,285"
"Dec 02, 2017",0.005519,0.007358,0.004679,0.005237,710,"167,476"
"Dec 01, 2017",0.002984,0.005523,0.002942,0.005523,698,"90,544"
"Nov 30, 2017",0.004467,0.004840,0.002998,0.002998,385,"135,558"
"Nov 29, 2017",0.004552,0.005766,0.003966,0.004399,"1,536","138,143"
"Nov 28, 2017",0.005309,0.005860,0.004423,0.005298,"1,829","161,122"
"Nov 27, 2017",0.007325,0.008762,0.004601,0.005296,"1,644","222,277"
"Nov 26, 2017",0.006351,0.015660,0.004757,0.007323,"3,017","192,722"
"Nov 25, 2017",0.005223,0.007750,0.004733,0.006353,"1,596","158,502"
"Nov 24, 2017",0.004586,0.005646,0.004095,0.005233,"1,261","139,158"
"Nov 23, 2017",0.003803,0.004748,0.003638,0.004549,703,"115,414"
"Nov 22, 2017",0.007338,0.008395,0.003738,0.003804,"1,821","222,697"
"Nov 21, 2017",0.006435,0.009196,0.005429,0.007321,"2,320","195,290"
"Nov 20, 2017",0.006454,0.006672,0.006310,0.006434,722,"195,868"
"Nov 19, 2017",0.014049,0.014135,0.006093,0.006458,576,"426,351"
"Nov 18, 2017",0.006168,0.015920,0.004564,0.014075,"1,983","187,163"
"Nov 17, 2017",0.006934,0.008060,0.005853,0.006191,620,"210,420"
"Nov 16, 2017",0.007166,0.007705,0.006915,0.006947,"1,518","217,474"
"Nov 15, 2017",0.006746,0.008262,0.006746,0.007125,830,"204,721"
"Nov 14, 2017",0.007567,0.008428,0.006485,0.006741,"1,664","229,623"
"Nov 13, 2017",0.006664,0.008269,0.006664,0.007551,"1,249","202,223"
"Nov 12, 2017",0.007536,0.008096,0.006313,0.006654,"2,809","228,683"
"Nov 11, 2017",0.008370,0.010777,0.007251,0.007541,"2,451","253,998"
"Nov 10, 2017",0.008924,0.011784,0.007954,0.008400,857,"270,803"
"Nov 09, 2017",0.009237,0.017353,0.007886,0.008899,"2,705","280,309"
"Nov 08, 2017",0.007625,0.010671,0.007585,0.010671,"3,539","231,379"
"Nov 07, 2017",0.007261,0.008770,0.007186,0.007652,946,"220,336"
"Nov 06, 2017",0.008273,0.008868,0.007180,0.007272,"1,442","251,055"
"Nov 05, 2017",0.008185,0.009515,0.008099,0.008255,935,"248,401"
"Nov 04, 2017",0.010680,0.011034,0.008127,0.008188,"1,406","324,108"
"Nov 03, 2017",0.009277,0.013320,0.008053,0.010708,"3,019","281,529"
"Nov 02, 2017",0.009657,0.011176,0.007913,0.009289,"2,289","293,046"
"Nov 01, 2017",0.010868,0.011059,0.009627,0.009646,"3,692","329,799"
"Oct 31, 2017",0.010937,0.011361,0.010628,0.010876,"1,815","331,899"
