Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.018985,0.030002,0.018751,0.029869,502,"156,664"
"Dec 15, 2017",0.017922,0.026776,0.017917,0.018960,566,"147,846"
"Dec 14, 2017",0.018017,0.020292,0.017801,0.017892,56,"148,627"
"Dec 13, 2017",0.023897,0.024553,0.017690,0.020186,"1,621","197,102"
"Dec 12, 2017",0.021708,0.025803,0.018692,0.023877,"2,048","179,032"
"Dec 11, 2017",0.025614,0.031002,0.019064,0.021639,"1,749","211,227"
"Dec 10, 2017",0.022775,0.027951,0.015385,0.025801,"2,541","187,808"
"Dec 09, 2017",0.023403,0.028280,0.020908,0.022689,168,"192,981"
"Dec 08, 2017",0.034030,0.041856,0.021740,0.023426,"2,704","280,614"
"Dec 07, 2017",0.035314,0.061902,0.015710,0.033950,"12,836","291,179"
"Dec 06, 2017",0.017078,0.046232,0.011250,0.026495,"4,482","140,642"
"Dec 05, 2017",0.014538,0.018158,0.010941,0.017118,"1,400","119,643"
"Dec 04, 2017",0.015475,0.020123,0.011340,0.014509,498,"127,251"
"Dec 03, 2017",0.014067,0.043867,0.010168,0.015423,"2,418","115,608"
"Dec 02, 2017",0.010604,0.014371,0.009820,0.014053,633,"87,083"
"Dec 01, 2017",0.010302,0.011963,0.009380,0.010613,249,"84,546"
"Nov 30, 2017",0.009508,0.012831,0.009363,0.010354,33,"78,018"
"Nov 29, 2017",0.012540,0.014356,0.008796,0.009364,115,"102,820"
"Nov 28, 2017",0.014783,0.014783,0.009074,0.009604,"1,340","121,189"
"Nov 27, 2017",0.011158,0.018402,0.010665,0.014744,397,"91,442"
"Nov 26, 2017",0.015894,0.017277,0.009311,0.011156,"1,233","130,175"
"Nov 25, 2017",0.008736,0.022484,0.008734,0.015899,787,"71,547"
"Nov 24, 2017",0.007801,0.035161,0.007646,0.008754,"2,404","63,836"
"Nov 23, 2017",0.009346,0.009447,0.007813,0.007813,408,"76,397"
"Nov 22, 2017",0.008344,0.009523,0.008308,0.009385,14,"68,162"
"Nov 21, 2017",0.010250,0.010280,0.008102,0.008323,159,"83,666"
"Nov 20, 2017",0.007577,0.010303,0.007487,0.010250,21,"61,838"
"Nov 19, 2017",0.008261,0.009635,0.007143,0.007581,15,"67,421"
"Nov 18, 2017",0.013992,0.019704,0.007956,0.008365,953,"114,159"
"Nov 17, 2017",0.004707,0.017691,0.004686,0.015405,"2,078","38,378"
"Nov 16, 2017",0.006062,0.007149,0.001428,0.004715,99,"49,424"
"Nov 15, 2017",0.005422,0.006180,0.004495,0.006030,46,"44,206"
"Nov 14, 2017",0.006466,0.006654,0.005334,0.005418,69,"52,718"
"Nov 13, 2017",0.006693,0.007195,0.003065,0.006452,784,"54,571"
"Nov 12, 2017",0.005725,0.007213,0.004983,0.006683,127,"46,681"
"Nov 11, 2017",0.006462,0.006656,0.005608,0.005729,67,"52,659"
"Nov 10, 2017",0.004939,0.008436,0.004939,0.006485,75,"40,213"
"Nov 09, 2017",0.009044,0.009211,0.004082,0.004924,73,"73,639"
"Nov 08, 2017",0.009533,0.009863,0.007366,0.009053,97,"77,603"
"Nov 07, 2017",0.006959,0.010937,0.006959,0.009563,42,"56,647"
"Nov 06, 2017",0.009667,0.009697,0.006945,0.006970,284,"78,691"
"Nov 05, 2017",0.011362,0.011386,0.008686,0.009646,15,"92,485"
"Nov 04, 2017",0.011324,0.011669,0.010956,0.011383,31,"92,176"
"Nov 03, 2017",0.010956,0.011797,0.010834,0.011353,24,"89,185"
"Nov 02, 2017",0.009958,0.011072,0.009958,0.010971,5,"81,061"
"Nov 01, 2017",0.009785,0.010449,0.009609,0.009947,24,"79,650"
"Oct 31, 2017",0.009905,0.009944,0.007459,0.009792,42,"80,631"
"Oct 30, 2017",0.009728,0.009822,0.009536,0.009666,1,"79,185"
"Oct 29, 2017",0.007244,0.009831,0.006971,0.009785,1,"58,970"
"Oct 28, 2017",0.009081,0.009238,0.007198,0.007254,57,"73,875"
"Oct 27, 2017",0.013007,0.015814,0.009046,0.009056,72,"105,809"
"Oct 26, 2017",0.012606,0.013151,0.006797,0.013004,49,"102,471"
"Oct 25, 2017",0.010112,0.012630,0.009705,0.012608,24,"82,200"
"Oct 24, 2017",0.010030,0.010260,0.005651,0.010108,581,"81,532"
"Oct 23, 2017",0.010390,0.010390,0.009629,0.010052,12,"84,458"
"Oct 21, 2017",0.010209,0.010528,0.010034,0.010378,1,"82,983"
"Oct 20, 2017",0.009070,0.010308,0.008936,0.010230,1,"73,729"
"Oct 19, 2017",0.012638,0.012919,0.008888,0.009068,4,"102,731"
"Oct 18, 2017",0.012539,0.012610,0.011306,0.012531,8,"101,924"
"Oct 17, 2017",0.010473,0.012886,0.009537,0.012538,102,"85,128"
"Oct 16, 2017",0.009418,0.010938,0.009297,0.010471,12,"76,558"
"Oct 15, 2017",0.009303,0.009334,0.008674,0.009033,0,"75,624"
"Oct 14, 2017",0.008931,0.009581,0.008836,0.009287,1,"72,597"
"Oct 13, 2017",0.009574,0.010678,0.008693,0.008929,153,"77,824"
"Oct 12, 2017",0.009604,0.022868,0.007737,0.009545,350,"78,068"
"Oct 11, 2017",0.008830,0.009702,0.007849,0.009596,1,"71,772"
"Oct 10, 2017",0.007227,0.008831,0.007203,0.008831,14,"58,745"
"Oct 09, 2017",0.006361,0.009577,0.006334,0.007228,29,"51,701"
"Oct 08, 2017",0.006932,0.006965,0.005904,0.006359,86,"56,346"
"Oct 07, 2017",0.006132,0.007637,0.006132,0.006951,10,"49,844"
"Oct 06, 2017",0.006875,0.008579,0.006063,0.006130,176,"55,807"
"Oct 05, 2017",0.007978,0.007994,0.006226,0.006875,19,"64,767"
"Oct 04, 2017",0.007952,0.008003,0.007943,0.007971,0,"64,554"
"Oct 03, 2017",0.008586,0.008634,0.008283,0.008283,0,"69,672"
