Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,"2,400","19,029"
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,25,"17,886"
"Dec 14, 2017",0.000166,0.000169,0.000162,0.000166,149,"17,852"
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000167,25,"18,629"
"Dec 12, 2017",0.000168,0.000178,0.000167,0.000173,41,"18,155"
"Dec 11, 2017",0.000152,0.000175,0.000152,0.000168,4,"16,441"
"Dec 10, 2017",0.000150,0.000158,0.000134,0.000154,24,"16,215"
"Dec 09, 2017",0.000163,0.000165,0.000135,0.000150,31,"17,537"
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,16,"18,714"
"Dec 07, 2017",0.000157,0.000173,0.000157,0.000173,173,"16,933"
"Dec 06, 2017",0.000117,0.000137,0.000117,0.000137,12,"12,617"
"Dec 05, 2017",0.000117,0.000119,0.000115,0.000117,110,"12,569"
"Dec 04, 2017",0.000112,0.000116,0.000109,0.000116,13,"12,122"
"Dec 03, 2017",0.000109,0.000118,0.000106,0.000112,91,"11,788"
"Dec 02, 2017",0.000109,0.000112,0.000107,0.000109,4,"11,737"
"Dec 01, 2017",0.000100,0.000110,0.000095,0.000109,25,"10,776"
"Nov 30, 2017",0.000100,0.000107,0.000090,0.000100,115,"10,758"
"Nov 27, 2017",0.000093,0.000097,0.000093,0.000097,95,"10,047"
"Nov 26, 2017",0.000087,0.000094,0.000087,0.000093,230,"9,431"
"Nov 25, 2017",0.000082,0.000087,0.000082,0.000087,3,"8,853"
"Nov 24, 2017",0.000082,0.000083,0.000082,0.000082,135,"8,811"
"Nov 20, 2017",0.000080,0.000082,0.000079,0.000082,1,"8,673"
"Nov 19, 2017",0.000078,0.000081,0.000077,0.000080,506,"8,397"
"Nov 18, 2017",0.000078,0.000079,0.000077,0.000078,"2,614","8,396"
"Nov 16, 2017",0.000073,0.000078,0.000071,0.000077,12,"7,875"
"Nov 15, 2017",0.000066,0.000073,0.000066,0.000073,555,"7,129"
"Nov 14, 2017",0.000066,0.000066,0.000064,0.000066,309,"7,086"
"Nov 13, 2017",0.000059,0.000063,0.000058,0.000063,1,"6,330"
"Nov 12, 2017",0.000064,0.000064,0.000055,0.000059,1,"6,859"
"Nov 11, 2017",0.000064,0.000065,0.000062,0.000064,1,"6,866"
"Nov 10, 2017",0.000071,0.000073,0.000071,0.000072,12,"7,687"
"Nov 09, 2017",0.000072,0.000073,0.000071,0.000071,12,"7,761"
"Nov 07, 2017",0.000070,0.000072,0.000070,0.000071,1,"7,504"
"Nov 06, 2017",0.000074,0.000074,0.000069,0.000070,1,"7,926"
"Nov 05, 2017",0.000074,0.000076,0.000073,0.000075,8,"7,954"
"Nov 04, 2017",0.000072,0.000075,0.000070,0.000074,118,"7,728"
"Nov 03, 2017",0.000073,0.000075,0.000071,0.000072,6,"7,889"
"Nov 01, 2017",0.000064,0.000065,0.000064,0.000065,1,"6,948"
"Oct 31, 2017",0.000061,0.000064,0.000061,0.000064,1,"6,611"
"Oct 28, 2017",0.000058,0.000059,0.000057,0.000058,58,"6,215"
"Oct 27, 2017",0.000059,0.000060,0.000057,0.000057,64,"6,348"
"Oct 26, 2017",0.000057,0.000060,0.000057,0.000059,1,"6,183"
"Oct 25, 2017",0.000055,0.000057,0.000055,0.000057,1,"5,981"
"Oct 18, 2017",0.000056,0.000056,0.000051,0.000056,1,"6,039"
"Oct 17, 2017",0.000058,0.000058,0.000055,0.000056,18,"6,232"
"Oct 16, 2017",0.000057,0.000058,0.000056,0.000058,7,"6,138"
"Oct 15, 2017",0.000055,0.000057,0.000055,0.000057,34,"5,948"
"Oct 14, 2017",0.000057,0.000057,0.000056,0.000056,3,"6,098"
"Oct 13, 2017",0.000054,0.000059,0.000054,0.000057,3,"5,844"
"Oct 12, 2017",0.000048,0.000054,0.000048,0.000054,5,"5,204"
"Oct 11, 2017",0.000048,0.000048,0.000047,0.000048,5,"5,136"
"Oct 10, 2017",0.000048,0.000049,0.000047,0.000048,0,"5,192"
"Oct 09, 2017",0.000046,0.000046,0.000046,0.000046,0,"4,963"
"Oct 08, 2017",0.000045,0.000046,0.000044,0.000046,0,"4,804"
"Oct 06, 2017",0.000043,0.000044,0.000043,0.000044,0,"4,662"
"Oct 05, 2017",0.000043,0.000044,0.000043,0.000043,0,"4,681"
"Oct 03, 2017",0.000044,0.000044,0.000042,0.000043,0,"4,748"
"Oct 02, 2017",0.000044,0.000045,0.000044,0.000044,0,"4,738"
"Oct 01, 2017",0.000043,0.000044,0.000043,0.000044,2,"4,685"
"Sep 30, 2017",0.000042,0.000043,0.000042,0.000043,0,"4,499"
"Sep 29, 2017",0.000042,0.000042,0.000040,0.000042,0,"4,522"
"Sep 28, 2017",0.000042,0.000043,0.000041,0.000042,2,"4,537"
"Sep 27, 2017",0.000041,0.000042,0.000041,0.000042,26,"4,419"
"Sep 26, 2017",0.000039,0.000040,0.000039,0.000039,0,"4,241"
"Sep 25, 2017",0.000038,0.000040,0.000038,0.000039,0,"4,069"
"Sep 23, 2017",0.000036,0.000038,0.000036,0.000038,4,"3,890"
"Sep 22, 2017",0.000036,0.000037,0.000035,0.000036,5,"3,904"
"Sep 21, 2017",0.000039,0.000039,0.000036,0.000036,1,"4,183"
"Sep 20, 2017",0.000039,0.000040,0.000038,0.000039,11,"4,220"
"Sep 19, 2017",0.000041,0.000041,0.000039,0.000039,2,"4,424"
"Sep 18, 2017",0.000037,0.000041,0.000037,0.000041,2,"3,984"
"Sep 17, 2017",0.000037,0.000038,0.000035,0.000037,8,"4,005"
"Sep 16, 2017",0.000037,0.000039,0.000036,0.000037,0,"4,000"
