Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.048203,0.362217,0.044969,0.168029,"3,015","337,421"
"Dec 15, 2017",0.049763,0.363610,0.045219,0.048135,"4,636","348,340"
"Dec 14, 2017",0.056128,0.058673,0.048240,0.049688,38,"392,897"
"Dec 13, 2017",0.046072,0.057578,0.030630,0.056308,"1,683","322,506"
"Dec 12, 2017",0.055586,0.058234,0.044865,0.046290,75,"389,105"
"Dec 11, 2017",0.035474,0.056832,0.034641,0.055425,232,"248,317"
"Dec 10, 2017",0.034011,0.034011,0.027378,0.030214,30,"238,074"
"Dec 09, 2017",0.050581,0.051330,0.030783,0.033887,239,"354,064"
"Dec 08, 2017",0.044853,0.050639,0.039095,0.050632,3,"313,972"
"Dec 07, 2017",0.025909,0.048681,0.025393,0.044929,215,"181,364"
"Dec 06, 2017",0.026210,0.028147,0.020826,0.025928,186,"183,468"
"Dec 05, 2017",0.051821,0.057015,0.026253,0.026268,380,"362,748"
"Dec 04, 2017",0.048331,0.060783,0.046819,0.051673,9,"338,317"
"Dec 03, 2017",0.058047,0.058387,0.042929,0.048171,831,"406,331"
"Dec 02, 2017",0.041361,0.059445,0.041280,0.057992,16,"289,524"
"Dec 01, 2017",0.040266,0.041638,0.040114,0.041396,1,"281,865"
"Nov 30, 2017",0.040608,0.042583,0.033773,0.034392,56,"284,256"
"Nov 29, 2017",0.050602,0.056733,0.039273,0.040642,261,"354,214"
"Nov 28, 2017",0.041070,0.058692,0.040875,0.050488,392,"287,491"
"Nov 27, 2017",0.039227,0.041033,0.039227,0.040964,10,"274,592"
"Nov 26, 2017",0.039332,0.042360,0.038822,0.039220,91,"275,327"
"Nov 25, 2017",0.044991,0.047478,0.044398,0.044460,0,"314,934"
"Nov 24, 2017",0.047177,0.047420,0.042420,0.045076,50,"330,242"
"Nov 23, 2017",0.039564,0.048002,0.039478,0.047242,6,"276,946"
"Nov 22, 2017",0.047549,0.047915,0.037608,0.039598,12,"332,840"
"Nov 21, 2017",0.037087,0.049049,0.035083,0.047433,1,"259,605"
"Nov 20, 2017",0.039094,0.041718,0.036966,0.037080,76,"273,658"
"Nov 19, 2017",0.037299,0.037494,0.036866,0.037186,13,"261,095"
"Nov 18, 2017",0.038946,0.039831,0.036670,0.037369,13,"272,622"
