Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006642,0.006661,0.004435,0.005417,"2,354",-
"Dec 15, 2017",0.003646,0.013457,0.003646,0.006637,"21,727",-
"Dec 14, 2017",0.001880,0.006339,0.001728,0.003641,"3,996",-
"Dec 13, 2017",0.002065,0.002094,0.001809,0.001886,71,-
"Dec 12, 2017",0.002052,0.002270,0.001967,0.002063,440,-
"Dec 11, 2017",0.001835,0.002042,0.001783,0.002042,222,-
"Dec 10, 2017",0.002625,0.002625,0.001625,0.001849,193,-
"Dec 09, 2017",0.002077,0.002754,0.001634,0.002615,"2,928",-
"Dec 08, 2017",0.002544,0.002544,0.001983,0.002078,342,-
"Dec 07, 2017",0.002333,0.002922,0.002043,0.002538,751,-
"Dec 06, 2017",0.002234,0.002849,0.001586,0.002336,"3,036",-
"Dec 05, 2017",0.002324,0.002378,0.001930,0.002239,730,-
"Dec 04, 2017",0.002560,0.002685,0.001883,0.002319,732,-
"Dec 03, 2017",0.002711,0.002983,0.002098,0.002552,"2,587",-
"Dec 02, 2017",0.002026,0.003241,0.001646,0.002709,"5,886",-
"Dec 01, 2017",0.002257,0.002430,0.001633,0.002029,458,-
"Nov 30, 2017",0.001680,0.008974,0.001653,0.002268,"5,608",-
"Nov 29, 2017",0.002031,0.009690,0.001275,0.001655,"10,207",-
"Nov 28, 2017",0.002244,0.002913,0.001941,0.002024,169,-
"Nov 27, 2017",0.001973,0.002697,0.001973,0.002239,346,-
"Nov 26, 2017",0.003058,0.003230,0.001965,0.001972,586,-
"Nov 25, 2017",0.002045,0.003059,0.001960,0.003059,454,-
"Nov 24, 2017",0.001885,0.003381,0.001736,0.002050,275,-
"Nov 23, 2017",0.002131,0.002361,0.001917,0.001917,62,-
"Nov 22, 2017",0.001461,0.002198,0.001457,0.002148,51,-
"Nov 21, 2017",0.001800,0.001932,0.001449,0.001457,10,-
"Nov 20, 2017",0.001713,0.001830,0.001523,0.001800,122,-
"Nov 19, 2017",0.001574,0.001843,0.001570,0.001714,78,-
"Nov 18, 2017",0.001771,0.002464,0.001411,0.001577,106,-
"Nov 17, 2017",0.002133,0.002145,0.001740,0.001778,160,-
"Nov 16, 2017",0.001829,0.002179,0.001664,0.002136,21,-
"Nov 15, 2017",0.001761,0.002117,0.001715,0.001819,142,-
"Nov 14, 2017",0.001953,0.002165,0.001724,0.001759,6,-
"Nov 13, 2017",0.001703,0.002756,0.001689,0.001950,33,-
"Nov 12, 2017",0.002354,0.003144,0.001642,0.001700,110,-
"Nov 11, 2017",0.002149,0.002458,0.001619,0.002355,8,-
"Nov 10, 2017",0.002311,0.002636,0.002005,0.002162,21,-
"Nov 09, 2017",0.002796,0.002796,0.002064,0.002308,45,-
"Nov 08, 2017",0.002268,0.002799,0.002015,0.002799,35,-
"Nov 07, 2017",0.003728,0.003763,0.001978,0.002275,81,-
"Nov 06, 2017",0.001795,0.003744,0.001687,0.003734,32,-
"Nov 05, 2017",0.002212,0.002414,0.001773,0.001791,6,-
"Nov 04, 2017",0.002123,0.002265,0.002082,0.002216,7,-
