Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.035117,0.039060,0.034674,0.038754,2,-
"Dec 15, 2017",0.035649,0.035969,0.034688,0.035068,10,-
"Dec 13, 2017",0.034379,0.034835,0.032767,0.034011,5,-
"Dec 12, 2017",0.049299,0.050455,0.034225,0.034350,6,-
"Dec 09, 2017",0.048629,0.049349,0.040497,0.043215,3,-
"Dec 08, 2017",0.045311,0.048685,0.045096,0.048678,8,-
"Dec 05, 2017",0.023079,0.023493,0.022757,0.023370,3,-
"Dec 04, 2017",0.022259,0.023034,0.021559,0.023034,3,-
"Dec 03, 2017",0.022738,0.024416,0.020965,0.022185,1,-
"Dec 02, 2017",0.033197,0.033794,0.022447,0.022716,309,-
"Dec 01, 2017",0.030379,0.033420,0.028855,0.033225,2,-
"Nov 30, 2017",0.031822,0.032502,0.027356,0.030530,25,-
"Nov 29, 2017",0.030181,0.034774,0.030181,0.031590,3,-
"Nov 28, 2017",0.030279,0.030302,0.030069,0.030211,3,-
"Nov 27, 2017",0.019474,0.020333,0.019474,0.019911,3,-
"Nov 26, 2017",0.019786,0.019888,0.019273,0.019470,3,-
"Nov 24, 2017",0.016797,0.017428,0.016477,0.017090,1,-
"Nov 23, 2017",0.017094,0.019322,0.016820,0.016820,8,-
"Nov 20, 2017",0.018822,0.018864,0.018596,0.018800,1,-
"Nov 19, 2017",0.018177,0.018981,0.018047,0.018830,1,-
"Nov 15, 2017",0.015405,0.016790,0.015405,0.016610,8,-
"Nov 14, 2017",0.015282,0.015727,0.015038,0.015395,19,-
"Nov 13, 2017",0.014630,0.015738,0.014466,0.015250,6,-
"Nov 11, 2017",0.015319,0.015867,0.014837,0.015010,2,-
"Nov 10, 2017",0.016903,0.016937,0.015032,0.015374,6,-
"Nov 09, 2017",0.017399,0.017399,0.016427,0.016699,12,-
"Nov 08, 2017",0.016581,0.018274,0.016482,0.017417,12,-
"Nov 07, 2017",0.016302,0.016638,0.016302,0.016633,5,-
"Nov 06, 2017",0.017300,0.017374,0.016482,0.016670,1,-
"Nov 05, 2017",0.017262,0.022987,0.017071,0.017262,2,-
"Nov 04, 2017",0.016771,0.017666,0.016386,0.017295,1,-
"Nov 03, 2017",0.020087,0.022419,0.016317,0.016814,8,-
"Nov 02, 2017",0.036267,0.037608,0.015963,0.020113,"1,301",-
"Nov 01, 2017",0.019590,0.037863,0.010578,0.036227,"1,930",-
"Oct 31, 2017",0.015319,0.019604,0.015238,0.019604,3,-
"Oct 30, 2017",0.019364,0.019364,0.015248,0.015372,31,-
"Oct 25, 2017",0.017438,0.018118,0.017006,0.018118,11,-
"Oct 24, 2017",0.030501,0.030501,0.017404,0.017431,11,-
"Oct 23, 2017",0.036474,0.037010,0.030065,0.030568,2,-
"Oct 22, 2017",0.022190,0.036624,0.021209,0.036533,24,-
"Oct 21, 2017",0.022245,0.022264,0.022184,0.022184,10,-
