Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.047922,0.062933,0.047589,0.055419,"9,204",-
"Dec 15, 2017",0.048594,0.053477,0.043481,0.047833,"4,374",-
"Dec 14, 2017",0.056090,0.059136,0.046215,0.048549,"9,671",-
"Dec 13, 2017",0.052858,0.058514,0.043109,0.056119,"18,042",-
"Dec 12, 2017",0.046282,0.054409,0.036113,0.052821,"21,435",-
"Dec 11, 2017",0.043791,0.050543,0.042053,0.046580,"3,260",-
"Dec 10, 2017",0.047485,0.050103,0.043155,0.043742,"8,888",-
"Dec 09, 2017",0.054305,0.054606,0.043112,0.047333,"13,166",-
"Dec 08, 2017",0.046480,0.054392,0.041214,0.054306,"4,559",-
"Dec 07, 2017",0.042345,0.047661,0.034231,0.046413,"6,540",-
"Dec 06, 2017",0.050025,0.054773,0.041635,0.042493,"11,382",-
"Dec 05, 2017",0.060630,0.060793,0.049661,0.050113,"13,672",-
"Dec 04, 2017",0.055566,0.065082,0.053723,0.060599,"19,603",-
"Dec 03, 2017",0.054930,0.057710,0.046211,0.055463,"13,240",-
"Dec 02, 2017",0.064658,0.065546,0.046290,0.054912,"16,989",-
"Dec 01, 2017",0.026177,0.068609,0.021208,0.064660,"71,304",-
"Nov 30, 2017",0.025683,0.031962,0.020994,0.026242,"10,377",-
"Nov 29, 2017",0.041963,0.042490,0.024813,0.025358,"9,118",-
"Nov 28, 2017",0.042753,0.043025,0.027850,0.041929,"8,048",-
"Nov 27, 2017",0.047056,0.048978,0.041651,0.042812,"18,707",-
"Nov 26, 2017",0.046503,0.050487,0.045145,0.047068,"9,180",-
"Nov 25, 2017",0.051699,0.057349,0.045719,0.046501,"17,226",-
"Nov 24, 2017",0.048919,0.055845,0.048008,0.051707,"4,354",-
"Nov 23, 2017",0.053260,0.053671,0.047119,0.049166,"13,709",-
"Nov 22, 2017",0.054115,0.055242,0.047451,0.053138,"60,704",-
"Nov 21, 2017",0.058815,0.059639,0.052707,0.054046,"7,104",-
"Nov 20, 2017",0.053187,0.061600,0.042705,0.058908,"66,844",-
"Nov 19, 2017",0.034655,0.055394,0.034510,0.053245,"42,838",-
"Nov 18, 2017",0.043099,0.043099,0.032808,0.034744,"7,634",-
"Nov 17, 2017",0.042915,0.046161,0.026410,0.043164,"36,659",-
"Nov 16, 2017",0.043035,0.043303,0.038645,0.042945,"10,148",-
"Nov 15, 2017",0.043550,0.047113,0.042350,0.043068,"23,509",-
"Nov 14, 2017",0.047272,0.047590,0.041215,0.043527,"21,438",-
"Nov 13, 2017",0.042812,0.047370,0.040350,0.047274,"12,370",-
"Nov 12, 2017",0.053485,0.053485,0.039909,0.042744,"8,793",-
"Nov 11, 2017",0.038659,0.054446,0.038612,0.053479,"33,480",-
"Nov 10, 2017",0.044802,0.047900,0.037830,0.038770,"19,859",-
"Nov 09, 2017",0.040017,0.049322,0.039857,0.044781,"13,207",-
"Nov 08, 2017",0.040917,0.044112,0.038389,0.040234,"14,658",-
"Nov 07, 2017",0.038652,0.045491,0.038565,0.040945,"7,468",-
"Nov 06, 2017",0.038527,0.044330,0.038151,0.038594,"13,716",-
"Nov 05, 2017",0.045000,0.045038,0.038490,0.038490,"2,880",-
"Nov 04, 2017",0.045717,0.045717,0.041698,0.044941,"16,004",-
"Nov 03, 2017",0.039850,0.046311,0.038407,0.045709,"8,434",-
"Nov 02, 2017",0.046329,0.046691,0.036923,0.042488,"9,201",-
"Nov 01, 2017",0.051629,0.054858,0.044617,0.046201,"9,895",-
"Oct 31, 2017",0.049091,0.055118,0.046140,0.051724,"22,250",-
"Oct 30, 2017",0.048590,0.055812,0.048590,0.049064,"7,004",-
"Oct 29, 2017",0.053051,0.053177,0.047207,0.048687,"6,794",-
"Oct 28, 2017",0.050468,0.053156,0.049743,0.053073,"2,509",-
"Oct 27, 2017",0.050301,0.056579,0.049837,0.050422,"4,352",-
"Oct 26, 2017",0.056382,0.059681,0.050034,0.050326,"7,572",-
"Oct 25, 2017",0.056415,0.061342,0.055679,0.056503,"8,276",-
"Oct 24, 2017",0.051294,0.064248,0.050512,0.056365,"19,660",-
"Oct 23, 2017",0.055958,0.061575,0.049933,0.051328,"4,183",-
"Oct 22, 2017",0.056914,0.058126,0.055412,0.055991,905,-
"Oct 21, 2017",0.060641,0.063416,0.055333,0.056916,"6,681",-
"Oct 20, 2017",0.049207,0.061712,0.049200,0.060720,"43,965",-
"Oct 19, 2017",0.047044,0.055566,0.045791,0.049247,"10,192",-
"Oct 18, 2017",0.044281,0.050358,0.041547,0.047154,"5,833",-
"Oct 17, 2017",0.043487,0.048554,0.042111,0.044333,"6,503",-
"Oct 16, 2017",0.043731,0.054182,0.043405,0.043405,"8,394",-
"Oct 15, 2017",0.044032,0.047595,0.038438,0.043615,"6,939",-
"Oct 14, 2017",0.040439,0.047853,0.040078,0.043903,"1,308",-
"Oct 13, 2017",0.042385,0.045144,0.039350,0.040400,"11,711",-
"Oct 12, 2017",0.042386,0.049117,0.039525,0.042468,"8,989",-
"Oct 11, 2017",0.044774,0.045306,0.041906,0.042385,"7,859",-
"Oct 10, 2017",0.044542,0.048035,0.043858,0.044776,"3,665",-
"Oct 09, 2017",0.046419,0.046428,0.042321,0.044431,"3,476",-
"Oct 08, 2017",0.046719,0.050120,0.043209,0.046416,"7,731",-
"Oct 07, 2017",0.046213,0.050063,0.045763,0.046786,"7,419",-
"Oct 06, 2017",0.050242,0.051733,0.045229,0.046293,"14,783",-
"Oct 05, 2017",0.049642,0.052996,0.048966,0.050229,"5,865",-
"Oct 04, 2017",0.052580,0.053243,0.049221,0.049644,"3,917",-
"Oct 03, 2017",0.050520,0.052936,0.048942,0.052460,"1,276",-
"Oct 02, 2017",0.054663,0.057519,0.050097,0.050486,"7,779",-
"Oct 01, 2017",0.051514,0.054807,0.050336,0.054664,"10,220",-
"Sep 30, 2017",0.049757,0.054196,0.049745,0.051497,"10,632",-
"Sep 29, 2017",0.051507,0.053556,0.047785,0.049745,"5,243",-
"Sep 28, 2017",0.055861,0.057622,0.050844,0.051604,"23,852",-
"Sep 27, 2017",0.049189,0.056250,0.047217,0.055891,"20,020",-
"Sep 26, 2017",0.053151,0.053298,0.049126,0.049238,"13,784",-
"Sep 25, 2017",0.050961,0.054980,0.049057,0.053170,"17,787",-
"Sep 24, 2017",0.054466,0.056647,0.049851,0.050854,"8,218",-
"Sep 23, 2017",0.055289,0.059262,0.052677,0.054464,"47,100",-
"Sep 22, 2017",0.051660,0.057536,0.051550,0.055351,"30,829",-
"Sep 21, 2017",0.056728,0.064982,0.048886,0.051679,"39,317",-
"Sep 20, 2017",0.053912,0.060398,0.053006,0.056927,"38,130",-
"Sep 19, 2017",0.050581,0.060549,0.047151,0.053960,"40,008",-
"Sep 18, 2017",0.046535,0.054286,0.046535,0.050421,"26,702",-
"Sep 17, 2017",0.050990,0.050990,0.041693,0.046548,"31,588",-
"Sep 16, 2017",0.046684,0.051298,0.044662,0.050864,"46,875",-
"Sep 15, 2017",0.040047,0.050133,0.032367,0.046314,"52,928",-
"Sep 14, 2017",0.052470,0.055810,0.038243,0.040262,"47,812",-
"Sep 13, 2017",0.059003,0.061277,0.049695,0.052539,"74,396",-
"Sep 12, 2017",0.062508,0.067945,0.057426,0.058808,"89,524",-
"Sep 11, 2017",0.056947,0.069686,0.055581,0.062483,"188,622",-
"Sep 10, 2017",0.063949,0.068032,0.050740,0.056784,"109,001",-
"Sep 09, 2017",0.049065,0.067277,0.044761,0.063958,"254,042",-
"Sep 08, 2017",0.050258,0.063252,0.044107,0.049122,"230,295",-
"Sep 07, 2017",0.043200,0.059019,0.039519,0.050356,"95,213",-
"Sep 06, 2017",0.036337,0.043871,0.035205,0.043224,"970,838",-
"Sep 05, 2017",0.035238,0.040698,0.021065,0.036443,"828,273",-
"Sep 04, 2017",0.075919,0.076050,0.034048,0.034642,"771,117",-
"Sep 03, 2017",0.077785,0.088245,0.071809,0.075930,"435,954",-
"Sep 02, 2017",0.089100,0.091884,0.075431,0.077764,"526,972",-
"Sep 01, 2017",0.095137,0.102572,0.088328,0.088713,"871,822",-
"Aug 31, 2017",0.091447,0.104182,0.084182,0.094163,"1,183,330",-
