Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.010247,0.013280,0.007735,0.013251,"5,628",-
"Dec 15, 2017",0.007908,0.012442,0.006862,0.010232,"1,707",-
"Dec 14, 2017",0.013610,0.013610,0.007933,0.008512,"1,375",-
"Dec 13, 2017",0.014433,0.014691,0.006933,0.013620,"13,304",-
"Dec 12, 2017",0.015278,0.015356,0.008723,0.014422,"3,283",-
"Dec 11, 2017",0.010065,0.014264,0.010012,0.013583,"3,177",-
"Dec 10, 2017",0.011127,0.013760,0.009507,0.010152,"1,768",-
"Dec 09, 2017",0.010370,0.015278,0.007725,0.011083,863,-
"Dec 08, 2017",0.013333,0.013750,0.006796,0.010374,"1,923",-
"Dec 07, 2017",0.013675,0.014805,0.008287,0.011200,"6,805",-
"Dec 06, 2017",0.017588,0.023375,0.011688,0.013701,"13,544",-
"Dec 05, 2017",0.011070,0.020590,0.010665,0.017626,"6,332",-
"Dec 04, 2017",0.011495,0.017771,0.007894,0.011043,"11,964",-
"Dec 03, 2017",0.010736,0.021630,0.010651,0.011250,"3,220",-
"Dec 02, 2017",0.012283,0.019450,0.008002,0.010726,"9,538",-
"Dec 01, 2017",0.019671,0.019776,0.010617,0.012294,"7,650",-
"Nov 30, 2017",0.017146,0.021524,0.012327,0.018970,"10,368",-
"Nov 29, 2017",0.019167,0.022405,0.012163,0.015379,"6,673",-
"Nov 28, 2017",0.030486,0.030486,0.013351,0.019182,"27,340",-
"Nov 27, 2017",0.029637,0.039940,0.020785,0.030429,"40,759",-
"Nov 26, 2017",0.016998,0.042353,0.016998,0.034649,"93,829",-
"Nov 25, 2017",0.013942,0.020926,0.011086,0.017004,"22,826",-
"Nov 24, 2017",0.016005,0.016892,0.011243,0.011747,"13,561",-
"Nov 23, 2017",0.018815,0.030049,0.009662,0.015938,"108,427",-
"Nov 22, 2017",0.028152,0.031926,0.017108,0.018820,"274,610",-
"Nov 21, 2017",0.097319,0.111953,0.025180,0.031720,"1,580,350",-
"Nov 20, 2017",0.089343,0.111297,0.067696,0.097307,"237,051",-
"Nov 19, 2017",0.109999,0.129984,0.071419,0.089394,"85,260",-
"Nov 18, 2017",0.090563,0.138593,0.075514,0.117861,"53,632",-
"Nov 17, 2017",0.117670,0.261403,0.070172,0.070172,"188,914",-
"Nov 16, 2017",0.095049,0.118162,0.093395,0.117863,"32,828",-
