Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.014798,0.017522,0.013205,0.017483,"41,273","1,304,900"
"Dec 15, 2017",0.010750,0.015144,0.010317,0.014802,"22,089","947,936"
"Dec 14, 2017",0.016781,0.016838,0.010326,0.010735,"33,242","1,479,840"
"Dec 13, 2017",0.019551,0.020423,0.010968,0.016818,"18,950","1,724,050"
"Dec 12, 2017",0.019298,0.019553,0.015466,0.019533,"52,860","1,701,740"
"Dec 11, 2017",0.016213,0.019273,0.014306,0.019273,"47,354","1,429,690"
"Dec 10, 2017",0.014267,0.017303,0.012762,0.016311,"38,464","1,258,090"
"Dec 09, 2017",0.015959,0.017742,0.013133,0.014213,"28,899","1,407,290"
"Dec 08, 2017",0.018427,0.020414,0.014216,0.015971,"31,378","1,624,940"
"Dec 07, 2017",0.016305,0.024828,0.013231,0.018386,"43,165","1,437,840"
"Dec 06, 2017",0.015804,0.016335,0.013916,0.016335,"26,154","1,393,680"
"Dec 05, 2017",0.014557,0.016057,0.012855,0.015835,"41,530","1,283,680"
"Dec 04, 2017",0.015064,0.016159,0.013612,0.015489,"24,725","1,328,400"
"Dec 03, 2017",0.014896,0.017201,0.011774,0.015123,"20,590","1,313,570"
"Dec 02, 2017",0.015106,0.016247,0.014795,0.014914,"29,807","1,332,100"
"Dec 01, 2017",0.016048,0.016430,0.013299,0.015116,"42,763","1,415,170"
"Nov 30, 2017",0.015754,0.016843,0.013694,0.016114,"30,277","1,389,230"
"Nov 29, 2017",0.017849,0.019213,0.014165,0.015569,"22,346","1,573,980"
"Nov 28, 2017",0.018528,0.021390,0.016061,0.017860,"20,179","1,633,870"
"Nov 27, 2017",0.013423,0.023020,0.013223,0.018490,"45,282","1,183,700"
"Nov 26, 2017",0.014723,0.016702,0.012923,0.013422,"17,321","1,298,360"
"Nov 25, 2017",0.019502,0.019644,0.014637,0.014728,"20,624","1,719,720"
"Nov 24, 2017",0.019672,0.020497,0.017502,0.019519,"18,377","1,734,710"
"Nov 23, 2017",0.038996,0.039115,0.015513,0.019709,"58,609","3,438,830"
"Nov 22, 2017",0.013036,0.049404,0.013011,0.039011,"135,335","1,149,600"
"Nov 21, 2017",0.013479,0.013765,0.012377,0.013012,"18,299","1,188,650"
