Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",13.76,16.20,12.69,15.66,"295,618","87,107,900"
"Dec 15, 2017",15.08,15.30,11.92,14.07,"282,752","95,430,300"
"Dec 14, 2017",13.41,15.41,12.41,15.06,"493,693","84,675,000"
"Dec 13, 2017",14.42,14.92,11.98,13.15,"176,993","90,989,500"
"Dec 12, 2017",15.07,15.51,13.88,14.74,"199,537","95,117,900"
"Dec 11, 2017",13.64,16.13,11.70,15.02,"273,060","85,431,200"
"Dec 10, 2017",12.87,15.45,10.99,14.05,"144,798","80,453,900"
"Dec 09, 2017",17.96,19.90,11.56,13.31,"328,791","107,787,000"
"Dec 08, 2017",15.08,19.44,12.70,19.44,"227,730","90,499,400"
"Dec 07, 2017",16.45,16.72,11.03,15.05,"141,813","98,729,800"
"Dec 06, 2017",15.74,16.90,11.97,16.48,"180,929","94,446,300"
"Dec 05, 2017",20.37,20.43,12.75,15.41,"210,830","122,219,000"
"Dec 04, 2017",11.34,19.82,11.06,19.82,"570,510","68,066,300"
"Dec 03, 2017",10.19,11.66,9.99,11.30,"79,625","61,166,600"
"Dec 02, 2017",10.34,11.19,9.90,10.18,"83,454","62,013,100"
"Dec 01, 2017",8.49,10.34,7.00,10.34,"66,898","50,370,600"
"Nov 30, 2017",7.13,8.83,6.12,8.53,"63,455","42,285,600"
"Nov 29, 2017",8.15,9.21,6.63,7.02,"59,406","48,354,400"
"Nov 28, 2017",9.43,9.85,7.89,8.64,"104,709","55,964,200"
"Nov 27, 2017",8.74,9.89,7.79,9.41,"212,645","51,858,500"
"Nov 26, 2017",6.21,8.74,6.20,8.74,"261,706","36,855,100"
"Nov 25, 2017",5.85,6.49,5.34,6.24,"30,855","34,689,800"
"Nov 24, 2017",5.46,5.88,5.16,5.86,"52,362","32,412,300"
"Nov 23, 2017",5.56,5.82,4.92,5.47,"74,932","33,010,900"
"Nov 22, 2017",4.18,5.43,4.17,5.41,"85,124","24,828,800"
"Nov 21, 2017",4.67,4.68,4.08,4.17,"23,939","27,681,400"
"Nov 20, 2017",4.58,4.70,4.44,4.66,"6,709","27,201,400"
"Nov 19, 2017",4.61,4.67,4.15,4.59,"30,702","27,346,700"
"Nov 18, 2017",4.33,4.64,3.95,4.62,"37,998","25,698,000"
"Nov 17, 2017",4.55,4.79,3.95,4.35,"23,661","26,981,300"
"Nov 16, 2017",4.53,4.84,4.43,4.56,"24,900","26,864,400"
"Nov 15, 2017",4.31,4.56,4.04,4.50,"16,371","25,564,600"
