Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000529,0.000574,0.000523,0.000573,7,"37,058"
"Dec 15, 2017",0.000498,0.000542,0.000498,0.000529,504,"34,834"
"Dec 14, 2017",0.000491,0.000512,0.000486,0.000497,30,"34,389"
"Dec 13, 2017",0.000518,0.000525,0.000478,0.000493,124,"36,280"
"Dec 12, 2017",0.000504,0.000533,0.000493,0.000518,57,"35,253"
"Dec 11, 2017",0.000457,0.000525,0.000455,0.000521,4,"32,019"
"Dec 10, 2017",0.000451,0.000472,0.000397,0.000461,3,"31,579"
"Dec 09, 2017",0.000813,0.000825,0.000406,0.000449,34,"56,923"
"Dec 08, 2017",0.000694,0.000814,0.000441,0.000814,501,"48,595"
"Dec 07, 2017",0.000687,0.000742,0.000452,0.000693,527,"48,076"
"Dec 06, 2017",0.000585,0.000689,0.000585,0.000688,5,"40,953"
"Dec 05, 2017",0.000583,0.000596,0.000575,0.000586,18,"40,797"
"Dec 04, 2017",0.000337,0.000582,0.000327,0.000582,757,"23,608"
"Dec 03, 2017",0.000437,0.000473,0.000318,0.000336,7,"30,609"
"Dec 02, 2017",0.000327,0.000442,0.000322,0.000437,18,"22,857"
"Dec 01, 2017",0.000300,0.000329,0.000294,0.000327,33,"20,978"
"Nov 30, 2017",0.000491,0.000535,0.000450,0.000482,1,"34,400"
"Nov 29, 2017",0.000496,0.000543,0.000413,0.000484,203,"34,748"
"Nov 28, 2017",0.000488,0.000597,0.000483,0.000497,384,"34,144"
"Nov 27, 2017",0.000466,0.000487,0.000466,0.000487,129,"32,612"
"Nov 26, 2017",0.000437,0.000476,0.000437,0.000466,10,"30,612"
"Nov 25, 2017",0.000328,0.000437,0.000327,0.000437,421,"22,988"
"Nov 24, 2017",0.000241,0.000334,0.000237,0.000329,241,"16,878"
"Nov 23, 2017",0.000329,0.000331,0.000241,0.000241,322,"23,031"
"Nov 22, 2017",0.000406,0.000409,0.000324,0.000329,101,"28,399"
"Nov 21, 2017",0.000330,0.000419,0.000327,0.000405,92,"23,076"
"Nov 20, 2017",0.000322,0.000413,0.000320,0.000330,"1,011","22,522"
"Nov 19, 2017",0.000389,0.000391,0.000312,0.000322,2,"27,254"
"Nov 18, 2017",0.000389,0.000393,0.000387,0.000390,13,"27,252"
"Nov 17, 2017",0.000471,0.000482,0.000454,0.000464,23,"32,948"
