Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006882,0.007405,0.006795,0.007361,19,-
"Dec 15, 2017",0.006971,0.006979,0.006798,0.006873,18,-
"Dec 14, 2017",0.006223,0.006484,0.006152,0.006336,50,-
"Dec 13, 2017",0.008120,0.008227,0.006056,0.006243,49,"121,288"
"Dec 12, 2017",0.008286,0.008310,0.008098,0.008113,52,"123,768"
"Dec 08, 2017",0.006074,0.006165,0.004929,0.005447,16,"90,736"
"Dec 07, 2017",0.006868,0.007313,0.005400,0.006060,17,"102,589"
"Dec 06, 2017",0.006256,0.006889,0.006238,0.006880,399,"93,451"
"Dec 02, 2017",0.005442,0.005540,0.005432,0.005485,33,"81,292"
"Dec 01, 2017",0.005696,0.005867,0.005071,0.005447,33,"85,085"
"Nov 30, 2017",0.005897,0.006415,0.005129,0.005724,60,"88,089"
"Nov 29, 2017",0.006155,0.007092,0.005638,0.005808,29,"91,945"
"Nov 28, 2017",0.006048,0.006187,0.005990,0.006161,"1,660","90,347"
"Nov 27, 2017",0.005870,0.006129,0.005837,0.006033,10,"87,685"
"Nov 26, 2017",0.005510,0.006375,0.005504,0.005869,19,"82,308"
"Nov 25, 2017",0.005172,0.005512,0.005143,0.005512,17,"77,261"
"Nov 24, 2017",0.005063,0.005254,0.004967,0.005183,8,"75,633"
"Nov 23, 2017",0.005100,0.005180,0.005026,0.005070,8,"76,175"
"Nov 22, 2017",0.005031,0.005146,0.005009,0.005101,8,"75,146"
"Nov 21, 2017",0.005110,0.005264,0.004834,0.005019,130,"76,326"
"Nov 20, 2017",0.005067,0.005562,0.004970,0.005109,132,"75,693"
"Nov 19, 2017",0.005373,0.005401,0.004859,0.005070,129,"80,258"
"Nov 18, 2017",0.004843,0.005424,0.004695,0.005383,55,"72,337"
"Nov 17, 2017",0.004785,0.005214,0.004616,0.004861,154,"71,479"
"Nov 16, 2017",0.004382,0.004882,0.004284,0.004793,8,"65,453"
"Nov 15, 2017",0.003967,0.004394,0.003967,0.004359,7,"59,256"
"Nov 14, 2017",0.003853,0.003986,0.003792,0.003964,7,"57,557"
"Nov 13, 2017",0.003522,0.003968,0.003495,0.003845,7,"52,617"
