Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.238056,0.256133,0.173812,0.179552,"1,481","255,695"
"Dec 15, 2017",0.223767,0.243827,0.223724,0.237722,26,"240,347"
"Dec 14, 2017",0.220905,0.230190,0.218409,0.223431,119,"237,273"
"Dec 13, 2017",0.232035,0.234466,0.214978,0.221617,324,"249,228"
"Dec 10, 2017",0.138345,0.144167,0.121792,0.142997,77,"148,596"
"Dec 09, 2017",0.149627,0.151844,0.124606,0.137787,74,"160,714"
"Dec 08, 2017",0.141792,0.149799,0.138757,0.149778,16,"152,298"
"Dec 07, 2017",0.126782,0.141751,0.125160,0.141751,2,"136,176"
"Dec 06, 2017",0.117609,0.127179,0.115271,0.127000,2,"126,323"
"Dec 04, 2017",0.101176,0.104303,0.101065,0.102133,4,"108,673"
"Dec 03, 2017",0.098385,0.106533,0.095294,0.100842,4,"105,675"
"Dec 02, 2017",0.099605,0.100262,0.096757,0.098291,21,"106,985"
"Dec 01, 2017",0.089938,0.096528,0.085145,0.095256,4,"96,602"
"Nov 30, 2017",0.087082,0.094725,0.083327,0.090386,4,"93,535"
"Nov 29, 2017",0.138594,0.151740,0.080564,0.085765,13,"148,863"
"Nov 28, 2017",0.086140,0.139135,0.085307,0.138732,1,"92,523"
"Nov 27, 2017",0.130168,0.135908,0.084835,0.085917,95,"139,813"
"Nov 26, 2017",0.125115,0.132933,0.124752,0.130143,160,"134,385"
"Nov 24, 2017",0.112358,0.116579,0.110215,0.115303,16,"120,683"
"Nov 23, 2017",0.114906,0.115467,0.112512,0.112512,25,"123,420"
"Nov 22, 2017",0.113354,0.115948,0.112875,0.114943,529,"121,753"
"Nov 21, 2017",0.072714,0.116930,0.072590,0.113079,81,"78,102"
"Nov 19, 2017",0.070783,0.071153,0.069961,0.070507,2,"76,028"
"Nov 18, 2017",0.091472,0.091472,0.069588,0.070915,11,"98,250"
"Nov 17, 2017",0.094987,0.095046,0.090048,0.091824,292,"102,025"
"Nov 16, 2017",0.099175,0.099175,0.096955,0.098670,12,"106,524"
"Nov 15, 2017",0.060430,0.099458,0.060430,0.098658,12,"64,908"
"Nov 14, 2017",0.059690,0.060715,0.058739,0.060389,17,"64,113"
"Nov 11, 2017",0.077255,0.080018,0.073967,0.075362,34,"82,979"
"Nov 10, 2017",0.073135,0.079799,0.067569,0.077531,42,"78,554"
"Nov 08, 2017",0.071304,0.074508,0.070880,0.074508,6,"76,587"
"Nov 07, 2017",0.071454,0.072286,0.070020,0.071528,6,"76,749"
"Nov 04, 2017",0.072099,0.075949,0.070446,0.074675,65,"77,441"
"Nov 03, 2017",0.070373,0.074710,0.069589,0.072287,63,"75,588"
"Nov 02, 2017",0.067690,0.073262,0.067690,0.070466,4,"72,705"
"Nov 01, 2017",0.065260,0.067739,0.065248,0.067614,27,"70,095"
"Oct 31, 2017",0.055518,0.055956,0.055224,0.055346,7,"59,631"
"Oct 30, 2017",0.065448,0.065622,0.054683,0.055707,7,"70,298"
"Oct 29, 2017",0.071656,0.073188,0.063426,0.065831,5,"76,966"
"Oct 28, 2017",0.071408,0.072455,0.071074,0.071754,1,"76,699"
"Oct 24, 2017",0.079185,0.079185,0.075128,0.076668,7,"85,052"
"Oct 23, 2017",0.080721,0.081908,0.076466,0.079360,7,"86,701"
"Oct 22, 2017",0.079078,0.081577,0.078974,0.080851,23,"84,937"
"Oct 19, 2017",0.075428,0.077506,0.074737,0.076964,11,"81,017"
"Oct 18, 2017",0.078690,0.078692,0.072141,0.075389,16,"84,521"
"Oct 17, 2017",0.076038,0.079231,0.074734,0.078685,29,"81,672"
"Oct 15, 2017",0.078992,0.079247,0.073648,0.074040,7,"84,845"
"Oct 14, 2017",0.072110,0.078960,0.071321,0.078851,8,"77,453"
"Oct 13, 2017",0.072201,0.074631,0.070419,0.072090,7,"77,551"
"Oct 11, 2017",0.059534,0.060759,0.059062,0.060498,2,"63,946"
"Oct 10, 2017",0.059923,0.061332,0.059109,0.059545,1,"64,363"
"Oct 09, 2017",0.062598,0.062932,0.057199,0.059927,1,"67,236"
"Oct 08, 2017",0.059989,0.062728,0.059825,0.062582,7,"64,434"
"Oct 07, 2017",0.059047,0.060291,0.058400,0.060150,84,"63,422"
"Oct 06, 2017",0.056381,0.066281,0.056267,0.059028,6,"60,558"
"Oct 05, 2017",0.056746,0.056938,0.056252,0.056381,38,"60,951"
"Oct 04, 2017",0.054039,0.054381,0.053731,0.054362,5,"58,043"
"Oct 03, 2017",0.054007,0.054213,0.053136,0.053914,19,"58,009"
"Oct 02, 2017",0.054135,0.054497,0.054097,0.054497,1,"58,147"
"Oct 01, 2017",0.053677,0.054159,0.052539,0.054159,1,"57,655"
"Sep 30, 2017",0.050940,0.052568,0.050892,0.052373,3,"54,715"
"Sep 29, 2017",0.050449,0.051737,0.048699,0.050934,3,"54,187"
"Sep 28, 2017",0.071233,0.072363,0.049979,0.050488,2,"76,511"
"Sep 27, 2017",0.046780,0.071521,0.042104,0.071230,333,"50,246"
"Sep 26, 2017",0.065254,0.066047,0.046853,0.046911,419,"70,089"
"Sep 25, 2017",0.062100,0.067872,0.062077,0.065261,440,"66,701"
"Sep 24, 2017",0.062482,0.063230,0.061898,0.062163,35,"67,111"
"Sep 23, 2017",0.061540,0.065091,0.060949,0.064224,132,"66,100"
"Sep 22, 2017",0.065429,0.067954,0.060400,0.061714,127,"70,277"
"Sep 21, 2017",0.093029,0.093656,0.065006,0.065504,306,"99,921"
"Sep 20, 2017",0.070719,0.096747,0.069491,0.093488,1,"75,958"
"Sep 19, 2017",0.071523,0.073142,0.070166,0.070813,6,"76,822"
"Sep 16, 2017",0.066953,0.070050,0.065918,0.065918,3,"71,914"
"Sep 15, 2017",0.073850,0.076189,0.053954,0.067128,4,"79,322"
"Sep 14, 2017",0.066298,0.067182,0.056299,0.057108,0,"71,211"
"Sep 13, 2017",0.066605,0.098251,0.063027,0.066302,20,"71,540"
"Sep 12, 2017",0.110439,0.120317,0.066249,0.066859,"1,206","118,622"
"Sep 11, 2017",0.092527,0.116183,0.086518,0.110333,"3,988","99,383"
"Sep 10, 2017",0.093536,0.093822,0.087190,0.092684,725,"100,467"
"Sep 09, 2017",0.084022,0.093727,0.072210,0.093437,262,"90,248"
"Sep 08, 2017",0.077802,0.084369,0.069631,0.083860,128,"83,566"
"Sep 07, 2017",0.077497,0.078647,0.075598,0.077786,14,"83,240"
"Sep 06, 2017",0.074256,0.078263,0.074256,0.077646,1,"79,758"
"Sep 05, 2017",0.069941,0.075570,0.068472,0.074172,1,"75,123"
"Sep 04, 2017",0.077553,0.077609,0.072654,0.074071,3,"83,299"
"Sep 03, 2017",0.070227,0.079372,0.070227,0.077527,8,"75,430"
"Sep 02, 2017",0.074991,0.075870,0.068427,0.070182,30,"80,547"
"Sep 01, 2017",0.072162,0.080680,0.071644,0.074897,46,"77,509"
"Aug 31, 2017",0.072035,0.080645,0.072023,0.072149,39,"77,372"
"Aug 30, 2017",0.069967,0.073157,0.069729,0.072161,7,"75,152"
"Aug 29, 2017",0.066842,0.070715,0.066242,0.070061,2,"71,795"
"Aug 28, 2017",0.066104,0.066790,0.042270,0.066729,23,"71,002"
"Aug 27, 2017",0.065726,0.066634,0.043362,0.066174,3,"70,596"
"Aug 26, 2017",0.045641,0.065884,0.045537,0.065741,63,"49,023"
"Aug 25, 2017",0.046794,0.047387,0.042991,0.045628,102,"50,261"
"Aug 24, 2017",0.058001,0.059011,0.045397,0.046868,38,"62,299"
"Aug 23, 2017",0.069463,0.072288,0.057145,0.057976,8,"74,610"
"Aug 22, 2017",0.086220,0.086220,0.068486,0.069605,15,"92,609"
"Aug 21, 2017",0.082273,0.087873,0.080487,0.086021,24,"88,369"
"Aug 20, 2017",0.084026,0.089494,0.082086,0.082587,1,"90,252"
"Aug 19, 2017",0.083280,0.103412,0.080846,0.084420,18,"89,451"
"Aug 18, 2017",0.086709,0.088215,0.080574,0.083351,345,"93,134"
"Aug 17, 2017",0.116304,0.118785,0.085579,0.086975,"2,598","124,922"
"Aug 16, 2017",0.096532,0.116432,0.063198,0.116412,"1,542","103,685"
"Aug 15, 2017",0.086411,0.097530,0.077136,0.096426,1,"92,814"
"Aug 14, 2017",0.101509,0.113743,0.062404,0.086179,556,"109,030"
"Aug 13, 2017",0.107639,0.116469,0.044969,0.101444,"3,947","115,615"
"Aug 12, 2017",0.036503,0.107927,0.036123,0.107739,"4,214","39,208"
"Aug 11, 2017",0.047102,0.047102,0.030591,0.036532,199,"50,592"
"Aug 10, 2017",0.045164,0.046518,0.044833,0.046222,9,"48,510"
"Aug 09, 2017",0.046187,0.046298,0.034052,0.045159,21,"49,609"
"Aug 08, 2017",0.050876,0.052193,0.045256,0.046218,12,"54,645"
"Aug 07, 2017",0.054420,0.057518,0.049978,0.050824,1,"58,453"
"Aug 06, 2017",0.029328,0.055453,0.028779,0.054542,195,"31,502"
"Aug 05, 2017",0.048785,0.053277,0.027883,0.029321,19,"52,400"
"Aug 04, 2017",0.036788,0.049093,0.036537,0.048807,421,"39,514"
"Aug 03, 2017",0.034989,0.036975,0.034968,0.036798,278,"37,582"
"Aug 02, 2017",0.020825,0.035171,0.020333,0.034927,78,"22,368"
"Aug 01, 2017",0.025045,0.025454,0.020279,0.020829,0,"26,901"
"Jul 31, 2017",0.020993,0.025157,0.020702,0.025033,4,"22,548"
"Jul 30, 2017",0.020016,0.021029,0.020016,0.020971,1,"21,499"
"Jul 29, 2017",0.021247,0.021247,0.020316,0.020518,9,"22,821"
"Jul 28, 2017",0.022725,0.024174,0.020789,0.021158,122,"24,409"
"Jul 27, 2017",0.033613,0.034207,0.021616,0.022656,3,"36,104"
"Jul 26, 2017",0.033463,0.034059,0.031521,0.032620,5,"35,942"
"Jul 25, 2017",0.036050,0.036146,0.032030,0.033447,5,"38,721"
"Jul 24, 2017",0.022747,0.023131,0.022417,0.022812,1,"24,432"
"Jul 23, 2017",0.023210,0.023428,0.021806,0.022581,0,"24,930"
"Jul 22, 2017",0.038433,0.041041,0.023074,0.023210,17,"41,281"
"Jul 21, 2017",0.021947,0.022020,0.020617,0.021553,209,"23,574"
"Jul 20, 2017",0.017455,0.029543,0.017455,0.021786,215,"18,749"
"Jul 19, 2017",0.020955,0.026368,0.017268,0.017508,2,"22,507"
"Jul 18, 2017",0.031809,0.040518,0.020675,0.020921,22,"34,166"
"Jul 17, 2017",0.033401,0.036291,0.026484,0.031727,328,"35,876"
"Jul 16, 2017",0.028368,0.033994,0.026269,0.033438,8,"30,470"
"Jul 15, 2017",0.027732,0.036401,0.027517,0.028453,53,"29,787"
"Jul 14, 2017",0.033289,0.033443,0.027609,0.027780,169,"35,756"
"Jul 13, 2017",0.032596,0.033630,0.028574,0.033314,29,"35,012"
"Jul 12, 2017",0.027767,0.032847,0.027052,0.032572,2,"29,824"
"Jul 11, 2017",0.031969,0.032360,0.027749,0.027906,219,"34,338"
"Jul 10, 2017",0.036326,0.036483,0.031156,0.032037,1,"39,017"
"Jul 09, 2017",0.028196,0.037102,0.028007,0.036255,45,"30,285"
"Jul 08, 2017",0.027543,0.032758,0.027237,0.028171,53,"29,584"
"Jul 07, 2017",0.028584,0.028636,0.027245,0.027520,25,"30,701"
"Jul 06, 2017",0.031171,0.031202,0.028340,0.028563,15,"33,481"
"Jul 05, 2017",0.026108,0.031348,0.022921,0.031156,124,"28,043"
"Jul 04, 2017",0.048194,0.049837,0.025937,0.026122,255,"51,765"
"Jul 03, 2017",0.030897,0.049043,0.024757,0.048304,117,"33,186"
