Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.649157,0.679975,0.566720,0.582251,"4,452","4,320,850"
"Dec 15, 2017",0.638668,0.668093,0.548265,0.647787,"8,536","4,251,030"
"Dec 14, 2017",0.520544,0.696884,0.515337,0.638070,"6,214","3,464,790"
"Dec 13, 2017",0.571291,0.627239,0.476916,0.520815,"96,959","3,802,560"
"Dec 12, 2017",0.446525,0.585842,0.435341,0.570900,"45,281","2,894,710"
"Dec 11, 2017",0.368374,0.449408,0.367944,0.449408,"6,244","2,339,390"
"Dec 10, 2017",0.399358,0.413539,0.366624,0.367960,"3,054","2,500,210"
"Dec 09, 2017",0.380591,0.445154,0.380591,0.398081,"1,711","2,382,720"
"Dec 08, 2017",0.380292,0.408190,0.360662,0.380601,"3,397","2,380,850"
"Dec 07, 2017",0.381105,0.392419,0.350727,0.379740,"4,926","2,385,940"
"Dec 06, 2017",0.382463,0.406265,0.374716,0.382435,727,"2,394,440"
"Dec 05, 2017",0.392233,0.401987,0.382265,0.383136,"4,288","2,455,600"
"Dec 04, 2017",0.416742,0.424484,0.384022,0.392032,794,"2,609,050"
"Dec 03, 2017",0.407400,0.483458,0.377106,0.415975,"2,047","2,550,550"
"Dec 02, 2017",0.415704,0.432194,0.368449,0.407262,"2,714","2,602,540"
"Dec 01, 2017",0.390495,0.448347,0.334674,0.415715,"1,669","2,444,720"
"Nov 30, 2017",0.385244,0.413168,0.355028,0.391465,"5,402","2,411,850"
"Nov 29, 2017",0.419648,0.459837,0.372195,0.380373,"20,486",-
"Nov 28, 2017",0.427530,0.453869,0.380785,0.419312,"41,159",-
"Nov 27, 2017",0.414097,0.454086,0.395027,0.428116,"5,878",-
"Nov 26, 2017",0.509021,0.509021,0.380327,0.414200,"2,579",-
"Nov 25, 2017",0.534128,0.711897,0.414050,0.509005,"3,077",-
"Nov 24, 2017",0.502075,0.623089,0.381935,0.534216,"4,375",-
"Nov 23, 2017",0.379872,0.631556,0.377720,0.504600,"6,880",-
