Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.180174,0.182095,0.149253,0.172841,"6,259","3,011,430"
"Dec 15, 2017",0.161252,0.234991,0.161235,0.179939,"6,019","2,695,170"
"Dec 14, 2017",0.160580,0.193134,0.159383,0.161019,"8,632","2,683,930"
"Dec 13, 2017",0.226291,0.234407,0.159950,0.161030,"4,095","3,782,240"
"Dec 12, 2017",0.205609,0.226104,0.173010,0.226104,"8,314","3,436,550"
"Dec 11, 2017",0.171805,0.224462,0.171127,0.205138,"4,386","2,871,550"
"Dec 10, 2017",0.169341,0.212333,0.148062,0.172922,"1,182","2,830,370"
"Dec 09, 2017",0.339996,0.344858,0.159681,0.168710,"3,297","5,682,690"
"Dec 08, 2017",0.229836,0.340241,0.196928,0.340167,"6,561","3,841,480"
"Dec 07, 2017",0.194761,0.289294,0.173188,0.229408,"24,887","3,255,240"
"Dec 06, 2017",0.155185,0.189989,0.152113,0.189989,"7,968","2,593,770"
"Dec 05, 2017",0.140406,0.178868,0.139559,0.155524,"6,852","2,346,740"
"Dec 04, 2017",0.159551,0.175381,0.137806,0.140214,"1,714","2,666,740"
"Dec 03, 2017",0.165077,0.178554,0.151919,0.159837,"8,327","2,759,100"
"Dec 02, 2017",0.169140,0.173400,0.161036,0.164988,"6,777","2,827,000"
"Dec 01, 2017",0.151640,0.169947,0.143631,0.169213,"8,087","2,534,520"
"Nov 30, 2017",0.149739,0.174938,0.131199,0.152172,"11,038","2,502,750"
"Nov 29, 2017",0.183272,0.196793,0.121024,0.144867,"6,542","3,063,210"
"Nov 28, 2017",0.184309,0.196815,0.175479,0.176612,"9,652","3,080,540"
"Nov 27, 2017",0.162893,0.194818,0.162893,0.183798,"32,205","2,722,600"
"Nov 26, 2017",0.160236,0.186623,0.158353,0.162878,"31,193","2,678,190"
"Nov 25, 2017",0.163324,0.165169,0.151322,0.160486,"9,550","2,729,800"
"Nov 24, 2017",0.159535,0.163166,0.145146,0.159878,"8,579","2,666,480"
"Nov 23, 2017",0.175972,0.189231,0.160001,0.160001,"14,607","2,941,200"
"Nov 22, 2017",0.191889,0.199314,0.175564,0.175766,"3,434","3,207,240"
"Nov 21, 2017",0.179406,0.192268,0.164113,0.191443,"13,485","2,998,600"
"Nov 20, 2017",0.170161,0.190303,0.168325,0.179431,"6,960","2,844,070"
"Nov 19, 2017",0.170424,0.197374,0.155081,0.170242,"18,998","2,848,480"
