Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.017589,0.022784,0.011525,0.016942,25,"24,359"
"Dec 15, 2017",0.009289,0.018788,0.009287,0.017564,156,"12,864"
"Dec 14, 2017",0.009498,0.010913,0.009218,0.009275,14,"13,153"
"Dec 13, 2017",0.010020,0.011124,0.009243,0.009528,75,"13,877"
"Dec 12, 2017",0.011112,0.011675,0.009993,0.010012,59,"15,389"
"Dec 11, 2017",0.010063,0.011553,0.010019,0.011077,97,"13,936"
"Dec 10, 2017",0.009925,0.010410,0.008737,0.010136,15,"13,745"
"Dec 09, 2017",0.010734,0.010893,0.008939,0.009885,7,"14,866"
"Dec 08, 2017",0.010587,0.016207,0.009707,0.010745,21,"14,661"
"Dec 07, 2017",0.007692,0.015105,0.007594,0.010562,387,"10,653"
"Dec 06, 2017",0.007957,0.009773,0.006696,0.007705,531,"11,019"
"Dec 05, 2017",0.006644,0.011321,0.006596,0.007974,123,"9,201"
"Dec 04, 2017",0.006408,0.006948,0.005989,0.006631,309,"8,874"
"Dec 03, 2017",0.007652,0.007697,0.006035,0.006387,6,"10,597"
"Dec 02, 2017",0.006204,0.007836,0.005900,0.007645,70,"8,592"
"Dec 01, 2017",0.009809,0.010618,0.006110,0.006209,506,"13,584"
"Nov 30, 2017",0.009829,0.010691,0.009765,0.010125,2,"13,612"
"Nov 29, 2017",0.009822,0.011392,0.007831,0.009680,1,"13,603"
"Nov 28, 2017",0.015963,0.017893,0.009827,0.009832,449,"22,106"
"Nov 27, 2017",0.004659,0.019457,0.004659,0.009440,"1,606","6,452"
"Nov 26, 2017",0.008921,0.012370,0.004518,0.004658,486,"12,355"
"Nov 25, 2017",0.009277,0.009293,0.008327,0.008924,9,"12,848"
"Nov 24, 2017",0.008117,0.009366,0.007963,0.009296,140,"11,242"
"Nov 23, 2017",0.021056,0.021159,0.008129,0.008129,41,"29,161"
"Nov 22, 2017",0.013713,0.024602,0.013655,0.021063,"3,457","18,991"
"Nov 21, 2017",0.013657,0.014120,0.007424,0.013680,34,"18,913"
"Nov 20, 2017",0.013593,0.013949,0.013431,0.013654,365,"18,825"
"Nov 19, 2017",0.013238,0.013709,0.011237,0.013600,105,"18,333"
"Nov 18, 2017",0.009219,0.013364,0.001761,0.013262,11,"12,767"
"Nov 17, 2017",0.011104,0.013578,0.008777,0.009254,91,"15,377"
"Nov 16, 2017",0.011174,0.011328,0.007711,0.011122,205,"15,474"
"Nov 15, 2017",0.010116,0.012338,0.010116,0.011115,22,"14,009"
"Nov 14, 2017",0.011102,0.011426,0.009948,0.010109,12,"15,376"
"Nov 13, 2017",0.009853,0.011143,0.009472,0.011079,12,"13,646"
"Nov 12, 2017",0.006361,0.006435,0.005537,0.006218,25,"8,809"
"Nov 11, 2017",0.010629,0.012667,0.006232,0.006366,25,"14,719"
"Nov 10, 2017",0.013260,0.013642,0.010429,0.010667,23,"18,363"
"Nov 09, 2017",0.010753,0.013461,0.010214,0.013220,46,"14,892"
"Nov 08, 2017",0.010036,0.013854,0.009976,0.010764,161,"13,898"
"Nov 07, 2017",0.010926,0.013161,0.009019,0.010067,378,"15,131"
"Nov 06, 2017",0.011534,0.011569,0.010903,0.010943,12,"15,973"
"Nov 05, 2017",0.011508,0.011874,0.011381,0.011508,2,"15,937"
"Nov 04, 2017",0.011180,0.011777,0.010924,0.011530,1,"15,484"
"Nov 03, 2017",0.010956,0.011648,0.010834,0.011210,38,"15,173"
"Nov 02, 2017",0.010631,0.011552,0.010631,0.010971,63,"14,723"
"Nov 01, 2017",0.007257,0.015012,0.005628,0.010619,14,"10,050"
"Oct 31, 2017",0.002984,0.007277,0.002984,0.007262,56,"4,133"
"Oct 30, 2017",0.013853,0.013853,0.002968,0.002995,39,"19,185"
"Oct 29, 2017",0.012888,0.014226,0.012854,0.013934,2,"17,848"
"Oct 28, 2017",0.017233,0.017553,0.008623,0.009177,36,"23,865"
"Oct 27, 2017",0.007258,0.021282,0.007190,0.017186,862,"10,052"
"Oct 26, 2017",0.005295,0.007496,0.004692,0.007257,42,"7,333"
"Oct 25, 2017",0.005641,0.008288,0.004818,0.005296,8,"7,813"
"Oct 24, 2017",0.008871,0.012530,0.005501,0.005639,24,"12,285"
"Oct 23, 2017",0.009483,0.011666,0.008781,0.008891,99,"13,133"
"Oct 22, 2017",0.011578,0.024454,0.000872,0.009499,52,"16,034"
"Oct 21, 2017",0.014040,0.014351,0.010139,0.011574,42,"19,443"
"Oct 20, 2017",0.014758,0.016326,0.013920,0.014069,259,"20,438"
"Oct 19, 2017",0.014719,0.015232,0.014016,0.014754,46,"20,384"
"Oct 18, 2017",0.017744,0.017744,0.013995,0.014711,40,"24,573"
"Oct 17, 2017",0.014201,0.019639,0.013687,0.017743,43,"19,667"
"Oct 16, 2017",0.016279,0.016362,0.013828,0.014199,56,"22,544"
"Oct 15, 2017",0.016793,0.016847,0.015603,0.016277,14,"23,256"
"Oct 14, 2017",0.016232,0.016786,0.016054,0.016763,17,"22,479"
"Oct 13, 2017",0.015452,0.016691,0.015353,0.016227,24,"21,399"
"Oct 12, 2017",0.012825,0.015404,0.012792,0.015404,7,"17,761"
"Oct 11, 2017",0.017003,0.017238,0.012749,0.012814,7,"23,547"
"Oct 10, 2017",0.017475,0.017746,0.016836,0.017006,172,"24,200"
"Oct 09, 2017",0.013486,0.017938,0.013355,0.017476,179,"18,677"
"Oct 08, 2017",0.013020,0.013560,0.012975,0.013483,36,"18,031"
"Oct 07, 2017",0.012947,0.013085,0.012698,0.013055,88,"17,929"
"Oct 06, 2017",0.011241,0.012979,0.011219,0.012942,61,"15,568"
"Oct 05, 2017",0.012580,0.012647,0.011181,0.011242,4,"17,422"
"Oct 04, 2017",0.012088,0.014201,0.012061,0.012568,51,"16,741"
"Oct 03, 2017",0.012958,0.013031,0.011251,0.012060,35,"17,945"
"Oct 02, 2017",0.012831,0.013218,0.012822,0.012957,87,"17,769"
"Oct 01, 2017",0.012209,0.013129,0.012080,0.012836,32,"16,908"
"Sep 30, 2017",0.013309,0.013678,0.012025,0.012202,391,"18,431"
"Sep 29, 2017",0.011044,0.013423,0.010953,0.013307,362,"15,294"
"Sep 28, 2017",0.018681,0.018915,0.010997,0.011052,212,"25,871"
"Sep 27, 2017",0.015804,0.018757,0.015755,0.018681,144,"21,886"
"Sep 26, 2017",0.015694,0.015885,0.015422,0.015649,47,"21,734"
"Sep 25, 2017",0.011525,0.015840,0.011395,0.015696,48,"15,960"
"Sep 24, 2017",0.011441,0.014789,0.010989,0.011536,4,"15,845"
"Sep 23, 2017",0.012496,0.015655,0.011355,0.011442,27,"17,305"
"Sep 22, 2017",0.014737,0.014991,0.010678,0.012531,90,"20,409"
"Sep 21, 2017",0.015479,0.022884,0.014600,0.014754,12,"21,436"
"Sep 20, 2017",0.015910,0.019305,0.009950,0.015555,32,"22,033"
"Sep 19, 2017",0.018747,0.018810,0.012802,0.015931,249,"25,914"
"Sep 18, 2017",0.018660,0.019209,0.011950,0.018702,170,"25,645"
"Sep 17, 2017",0.012774,0.019087,0.010827,0.018698,11,"17,555"
"Sep 16, 2017",0.018547,0.021596,0.012582,0.012782,97,"25,489"
"Sep 15, 2017",0.013732,0.019804,0.012604,0.018595,36,"18,872"
"Sep 14, 2017",0.013452,0.025657,0.012324,0.013626,128,"18,488"
"Sep 13, 2017",0.034055,0.036772,0.010407,0.013452,112,"46,802"
"Sep 12, 2017",0.021379,0.037085,0.018142,0.034044,87,"29,380"
"Sep 11, 2017",0.010112,0.021433,0.010088,0.021386,960,"13,896"
"Sep 10, 2017",0.017326,0.053934,0.010080,0.010080,"2,822","23,810"
"Sep 09, 2017",0.009874,0.017362,0.009590,0.017308,10,"13,570"
"Sep 08, 2017",0.013899,0.040646,0.009454,0.009855,333,"19,099"
"Sep 07, 2017",0.024463,0.024826,0.013771,0.013902,594,"33,616"
"Sep 06, 2017",0.017150,0.025078,0.016819,0.024510,"1,164","23,566"
"Sep 05, 2017",0.025191,0.027364,0.016545,0.017130,93,"34,616"
"Sep 04, 2017",0.029542,0.029564,0.016430,0.025061,265,"40,596"
"Sep 03, 2017",0.030018,0.040088,0.028511,0.029551,129,"41,247"
"Sep 02, 2017",0.038406,0.042294,0.029999,0.029999,161,"52,773"
"Sep 01, 2017",0.041309,0.047993,0.036895,0.038358,72,"56,762"
"Aug 31, 2017",0.033194,0.046986,0.029896,0.041326,63,"45,611"
"Aug 30, 2017",0.045768,0.045789,0.032783,0.033252,404,"62,848"
"Aug 29, 2017",0.016887,0.046126,0.015508,0.045795,"1,723","23,189"
"Aug 28, 2017",0.021435,0.027872,0.016866,0.016890,56,"29,434"
"Aug 27, 2017",0.021725,0.028370,0.021413,0.021413,318,"29,833"
"Aug 26, 2017",0.020981,0.025584,0.017951,0.021731,137,"28,809"
"Aug 25, 2017",0.020750,0.030677,0.020750,0.020941,128,"28,492"
"Aug 24, 2017",0.015539,0.031213,0.015523,0.020783,"1,016","21,336"
"Aug 23, 2017",0.017080,0.019402,0.015361,0.015533,83,"23,451"
"Aug 22, 2017",0.016644,0.017365,0.015179,0.017115,8,"22,853"
"Aug 21, 2017",0.017079,0.017211,0.015366,0.016605,2,"23,451"
"Aug 20, 2017",0.013016,0.022757,0.012827,0.017145,45,"17,871"
"Aug 19, 2017",0.012449,0.020534,0.012214,0.013077,176,"17,092"
"Aug 18, 2017",0.011898,0.018679,0.011681,0.012460,322,"16,335"
"Aug 17, 2017",0.019832,0.033519,0.007347,0.011934,714,"27,229"
"Aug 16, 2017",0.025005,0.028274,0.016664,0.019851,231,"34,329"
"Aug 15, 2017",0.030100,0.030797,0.023253,0.024978,215,"41,317"
"Aug 14, 2017",0.034527,0.034880,0.024540,0.030020,961,"47,391"
"Aug 13, 2017",0.025643,0.037449,0.025628,0.034505,329,"35,195"
"Aug 12, 2017",0.028187,0.032486,0.023099,0.025667,115,"38,684"
"Aug 11, 2017",0.023103,0.028590,0.018777,0.028209,396,"31,708"
"Aug 10, 2017",0.020678,0.031714,0.020672,0.023105,685,"28,376"
"Aug 09, 2017",0.021613,0.029258,0.019781,0.020676,771,"29,605"
"Aug 08, 2017",0.017138,0.031504,0.017138,0.021628,268,"23,443"
"Aug 07, 2017",0.025980,0.026112,0.012295,0.017121,399,"35,513"
"Aug 06, 2017",0.027766,0.028088,0.022212,0.026038,305,"37,795"
"Aug 05, 2017",0.024037,0.032570,0.024020,0.027759,203,"32,663"
"Aug 04, 2017",0.023212,0.030237,0.021382,0.024048,469,"31,540"
"Aug 03, 2017",0.026318,0.033876,0.020273,0.023218,"2,207","35,758"
"Aug 02, 2017",0.026806,0.033035,0.021867,0.026280,896,"36,418"
"Aug 01, 2017",0.033465,0.034166,0.026545,0.026811,828,"45,461"
"Jul 31, 2017",0.036497,0.037423,0.028543,0.033450,"1,076","49,531"
"Jul 30, 2017",0.023910,0.034812,0.023646,0.027455,634,"32,442"
"Jul 29, 2017",0.030333,0.030333,0.023566,0.023889,540,"41,113"
"Jul 28, 2017",0.023884,0.032521,0.023851,0.030206,448,"32,248"
"Jul 27, 2017",0.024238,0.026750,0.022129,0.023812,"1,108","32,669"
"Jul 26, 2017",0.025447,0.029705,0.023583,0.024169,"1,072","34,277"
"Jul 25, 2017",0.033500,0.041550,0.024379,0.025435,"1,927","44,941"
"Jul 24, 2017",0.039663,0.040657,0.028940,0.033503,"2,642","52,840"
"Jul 23, 2017",0.027863,0.039814,0.023847,0.039709,"3,918","36,294"
"Jul 22, 2017",0.037457,0.057108,0.027863,0.027863,"4,825","42,550"
"Jul 21, 2017",0.050909,0.078269,0.036648,0.037465,"6,009","57,765"
"Jul 20, 2017",0.027112,0.075269,0.027112,0.050534,"9,272","30,674"
"Jul 19, 2017",0.021549,0.070331,0.021224,0.027193,"8,224","24,325"
"Jul 18, 2017",0.019117,0.031731,0.018646,0.021514,"2,939","21,574"
"Jul 17, 2017",0.019268,0.026388,0.013489,0.019068,"1,297","21,717"
"Jul 16, 2017",0.023365,0.036681,0.018201,0.019289,"2,071","26,232"
"Jul 15, 2017",0.024072,0.038421,0.017545,0.027856,"1,815","26,996"
"Jul 14, 2017",0.021280,0.044376,0.019188,0.024113,"1,247","23,667"
"Jul 13, 2017",0.023290,0.032893,0.020596,0.021295,"2,123","25,765"
"Jul 12, 2017",0.029714,0.030753,0.017256,0.023273,671,"32,434"
"Jul 11, 2017",0.030448,0.044953,0.017545,0.029758,"1,424","32,605"
"Jul 10, 2017",0.030188,0.049299,0.028770,0.032835,"1,247","31,745"
"Jul 09, 2017",0.019273,0.058442,0.019145,0.030129,"2,060","19,962"
"Jul 08, 2017",0.048032,0.067064,0.019165,0.019180,"3,491","48,863"
"Jul 07, 2017",0.057167,0.077060,0.037789,0.047991,"3,005","56,896"
"Jul 06, 2017",0.046822,0.058546,0.043798,0.057125,"1,786","45,725"
"Jul 05, 2017",0.080241,0.080241,0.045287,0.046799,976,"76,647"
"Jul 04, 2017",0.081144,0.127655,0.035686,0.080284,"1,764","75,926"
"Jul 03, 2017",0.184222,0.260339,0.020411,0.081354,"13,737","168,535"
"Jul 02, 2017",0.007074,0.271499,0.007074,0.184902,"18,100","1,387"
