Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.018898,0.021582,0.017869,0.021341,247,"107,757"
"Dec 15, 2017",0.016411,0.021118,0.016397,0.018938,40,"93,577"
"Dec 14, 2017",0.018790,0.022501,0.016251,0.016373,263,"107,140"
"Dec 13, 2017",0.018677,0.022296,0.015940,0.018843,552,"106,498"
"Dec 12, 2017",0.028292,0.029600,0.017849,0.018652,970,"161,324"
"Dec 11, 2017",0.013968,0.047776,0.013937,0.028204,"4,927","79,647"
"Dec 10, 2017",0.013720,0.015616,0.010268,0.014124,100,"78,230"
"Dec 09, 2017",0.015172,0.016223,0.012943,0.013671,155,"86,513"
"Dec 08, 2017",0.015548,0.016893,0.013469,0.015179,448,"88,657"
"Dec 07, 2017",0.012679,0.017011,0.012563,0.015519,"2,047","72,294"
"Dec 06, 2017",0.012487,0.012685,0.011091,0.012685,149,"71,199"
"Dec 05, 2017",0.010989,0.013077,0.010890,0.012527,908,"62,660"
"Dec 04, 2017",0.010219,0.010961,0.009894,0.010961,258,"58,269"
"Dec 03, 2017",0.009951,0.010911,0.009627,0.010185,449,"56,742"
"Dec 02, 2017",0.010189,0.010864,0.009910,0.009942,120,"58,100"
"Dec 01, 2017",0.009393,0.010840,0.008676,0.010198,253,"53,562"
"Nov 30, 2017",0.009060,0.009837,0.008337,0.009440,71,"51,659"
"Nov 29, 2017",0.010818,0.010860,0.008344,0.008921,612,"61,686"
"Nov 28, 2017",0.009049,0.010860,0.008963,0.010829,74,"51,600"
"Nov 27, 2017",0.008763,0.009790,0.008738,0.009027,76,"49,967"
"Nov 26, 2017",0.008979,0.009790,0.008672,0.008756,100,"51,197"
"Nov 25, 2017",0.006957,0.008978,0.006923,0.008978,118,"39,669"
"Nov 24, 2017",0.007157,0.007707,0.006883,0.006974,1,"40,808"
"Nov 23, 2017",0.007408,0.008667,0.006925,0.007166,226,"42,238"
"Nov 22, 2017",0.006152,0.009423,0.006152,0.007445,120,"35,080"
"Nov 21, 2017",0.006824,0.006857,0.006068,0.006142,18,"38,910"
"Nov 20, 2017",0.006530,0.007011,0.006419,0.006829,84,"37,235"
"Nov 19, 2017",0.006232,0.007394,0.006208,0.006554,278,"35,533"
"Nov 18, 2017",0.006303,0.008757,0.006099,0.006242,143,"35,941"
"Nov 17, 2017",0.006651,0.008189,0.006204,0.006327,204,"37,926"
"Nov 16, 2017",0.006207,0.008388,0.006068,0.006673,62,"35,392"
"Nov 15, 2017",0.005421,0.007828,0.005421,0.006175,260,"30,912"
"Nov 14, 2017",0.006228,0.006471,0.004959,0.005417,470,"35,514"
"Nov 13, 2017",0.004698,0.007345,0.004672,0.006223,42,"26,789"
"Nov 12, 2017",0.005385,0.005385,0.004334,0.004688,155,"30,703"
"Nov 11, 2017",0.005128,0.005612,0.004829,0.005384,116,"29,242"
"Nov 10, 2017",0.006078,0.006218,0.005147,0.005147,68,"34,656"
"Nov 09, 2017",0.006204,0.008840,0.005833,0.006028,53,"35,374"
"Nov 08, 2017",0.005708,0.006211,0.005676,0.006211,211,"32,547"
"Nov 07, 2017",0.006816,0.006983,0.005595,0.005723,66,"38,868"
"Nov 06, 2017",0.007598,0.007610,0.006595,0.006836,55,"43,326"
"Nov 05, 2017",0.006865,0.007891,0.006497,0.007583,138,"39,142"
"Nov 04, 2017",0.007948,0.008608,0.006734,0.006875,265,"45,322"
"Nov 03, 2017",0.006681,0.008131,0.006494,0.007969,22,"38,095"
"Nov 02, 2017",0.006190,0.010349,0.006190,0.006689,88,"35,295"
"Nov 01, 2017",0.009021,0.009024,0.006005,0.006182,98,"51,441"
"Oct 31, 2017",0.006879,0.009028,0.006841,0.009028,137,"39,225"
"Oct 30, 2017",0.007588,0.007758,0.006107,0.006904,172,"43,267"
"Oct 29, 2017",0.006218,0.007861,0.006147,0.007792,371,"35,453"
"Oct 28, 2017",0.006810,0.006886,0.006061,0.006274,2,"38,830"
"Oct 27, 2017",0.007090,0.007216,0.006380,0.006799,7,"40,430"
"Oct 26, 2017",0.007158,0.007250,0.006807,0.007103,21,"40,815"
"Oct 25, 2017",0.007055,0.007189,0.006301,0.007159,45,"40,228"
"Oct 24, 2017",0.006049,0.007061,0.005743,0.006965,53,"34,491"
"Oct 23, 2017",0.005979,0.006174,0.005664,0.006063,10,"34,094"
"Oct 22, 2017",0.006436,0.006492,0.005802,0.005989,92,"36,699"
"Oct 21, 2017",0.006834,0.006853,0.006159,0.006434,50,"38,970"
"Oct 20, 2017",0.006937,0.008586,0.006424,0.006844,119,"39,558"
"Oct 19, 2017",0.010297,0.010297,0.006091,0.006936,120,"58,714"
"Oct 18, 2017",0.006122,0.010341,0.006005,0.010292,67,"34,908"
"Oct 17, 2017",0.010970,0.010978,0.006101,0.006117,41,"62,551"
"Oct 16, 2017",0.008192,0.011052,0.005451,0.010970,78,"46,712"
"Oct 15, 2017",0.004682,0.009681,0.004654,0.008190,48,"26,694"
"Oct 14, 2017",0.009846,0.009846,0.004562,0.004673,359,"56,141"
"Oct 13, 2017",0.012231,0.012280,0.007265,0.009843,50,"69,740"
"Oct 12, 2017",0.007577,0.013227,0.005681,0.012193,655,"43,206"
"Oct 11, 2017",0.004911,0.007603,0.004874,0.007571,23,"28,004"
"Oct 10, 2017",0.009381,0.009527,0.004610,0.004912,110,"53,490"
"Oct 09, 2017",0.006418,0.009425,0.006062,0.009382,217,"36,594"
"Oct 08, 2017",0.009436,0.010354,0.004348,0.006416,227,"53,802"
"Oct 07, 2017",0.011267,0.011291,0.009111,0.009460,138,"64,246"
"Oct 06, 2017",0.010806,0.011304,0.010387,0.011263,389,"61,615"
"Oct 05, 2017",0.010510,0.010914,0.010248,0.010806,"1,039","59,930"
"Oct 04, 2017",0.010861,0.011372,0.010462,0.010502,350,"61,931"
"Oct 03, 2017",0.011352,0.011768,0.010615,0.010837,521,"64,727"
"Oct 02, 2017",0.011969,0.012554,0.011209,0.011351,70,"68,246"
"Oct 01, 2017",0.013226,0.013311,0.011682,0.011974,304,"75,413"
"Sep 30, 2017",0.011541,0.013275,0.011541,0.013275,332,"65,806"
"Sep 29, 2017",0.014248,0.014282,0.011175,0.011570,197,"81,242"
"Sep 28, 2017",0.011314,0.014269,0.011195,0.014256,90,"64,511"
"Sep 27, 2017",0.010261,0.013246,0.010253,0.011319,57,"58,507"
"Sep 26, 2017",0.012086,0.014241,0.010281,0.010285,220,"68,916"
"Sep 25, 2017",0.011111,0.012162,0.011107,0.012083,32,"63,355"
"Sep 24, 2017",0.011184,0.014356,0.010731,0.011121,165,"63,771"
"Sep 23, 2017",0.011507,0.012730,0.009864,0.011184,265,"65,614"
"Sep 22, 2017",0.009708,0.013325,0.009707,0.011540,188,"55,357"
"Sep 21, 2017",0.013360,0.014251,0.009651,0.009719,225,"76,181"
"Sep 20, 2017",0.013508,0.013902,0.012734,0.013423,125,"77,024"
"Sep 19, 2017",0.015316,0.015602,0.013329,0.013527,47,"87,331"
"Sep 18, 2017",0.012327,0.015279,0.012327,0.015279,55,"70,288"
"Sep 17, 2017",0.013023,0.014351,0.011735,0.012351,180,"74,256"
"Sep 16, 2017",0.012806,0.015756,0.012242,0.013031,40,"73,020"
"Sep 15, 2017",0.010760,0.015000,0.010069,0.012847,176,"61,352"
"Sep 14, 2017",0.012802,0.014854,0.010681,0.010681,120,"72,998"
"Sep 13, 2017",0.013716,0.013766,0.012514,0.012798,204,"78,212"
"Sep 12, 2017",0.013587,0.019011,0.013563,0.013768,334,"77,472"
"Sep 11, 2017",0.011457,0.016946,0.011183,0.013573,142,"65,331"
"Sep 10, 2017",0.013701,0.013701,0.010458,0.011477,52,"78,126"
"Sep 09, 2017",0.012101,0.014267,0.011721,0.013704,44,"69,001"
"Sep 08, 2017",0.015195,0.017192,0.010952,0.012077,366,"86,645"
"Sep 07, 2017",0.016200,0.016203,0.014069,0.015192,203,"92,372"
"Sep 06, 2017",0.016213,0.017737,0.013914,0.016233,338,"92,445"
"Sep 05, 2017",0.014035,0.016470,0.013223,0.016192,19,"80,030"
"Sep 04, 2017",0.018700,0.018714,0.013963,0.013963,523,"106,630"
"Sep 03, 2017",0.022008,0.025434,0.016556,0.018694,240,"125,489"
"Sep 02, 2017",0.021430,0.025799,0.016593,0.021996,244,"122,193"
"Sep 01, 2017",0.020900,0.037071,0.017245,0.021403,937,"119,170"
"Aug 31, 2017",0.055151,0.055151,0.016928,0.020963,"1,397","314,474"
"Aug 30, 2017",0.013770,0.045761,0.013469,0.040505,"5,653","78,518"
"Aug 29, 2017",0.014680,0.016495,0.013631,0.013788,536,"83,707"
"Aug 28, 2017",0.012561,0.015703,0.012000,0.014667,252,"71,623"
"Aug 27, 2017",0.012109,0.015198,0.011675,0.012575,370,"69,045"
"Aug 26, 2017",0.012653,0.012682,0.010423,0.012112,43,"72,146"
"Aug 25, 2017",0.010828,0.014455,0.010828,0.012649,64,"61,742"
"Aug 24, 2017",0.014408,0.016470,0.010585,0.010845,512,"82,158"
"Aug 23, 2017",0.017570,0.017839,0.014216,0.014399,162,"100,185"
"Aug 22, 2017",0.013440,0.017670,0.012512,0.017606,108,"76,637"
"Aug 21, 2017",0.017187,0.017385,0.012929,0.013410,139,"98,003"
"Aug 20, 2017",0.014260,0.017586,0.012624,0.017253,104,"81,311"
"Aug 19, 2017",0.015489,0.015773,0.013713,0.014327,128,"88,318"
"Aug 18, 2017",0.016092,0.018874,0.014986,0.015502,244,"91,757"
"Aug 17, 2017",0.018872,0.019451,0.015772,0.016141,204,"107,609"
"Aug 16, 2017",0.015176,0.019501,0.014498,0.018890,372,"86,535"
"Aug 15, 2017",0.018086,0.018490,0.014170,0.015161,195,"103,128"
"Aug 14, 2017",0.015060,0.018861,0.013952,0.018038,71,"85,874"
"Aug 13, 2017",0.017404,0.020227,0.014839,0.015051,205,"99,239"
"Aug 12, 2017",0.018916,0.021170,0.015112,0.017420,807,-
"Aug 11, 2017",0.016329,0.021442,0.015744,0.018931,236,-
