Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003118,0.003779,0.003095,0.003675,167,"43,914"
"Dec 15, 2017",0.003663,0.003753,0.002665,0.003114,322,"51,581"
"Dec 14, 2017",0.003667,0.003769,0.003023,0.003658,222,"51,647"
"Dec 13, 2017",0.003428,0.003910,0.003289,0.003663,118,"48,272"
"Dec 12, 2017",0.003822,0.003930,0.003421,0.003424,509,"53,823"
"Dec 11, 2017",0.002947,0.004317,0.002934,0.003805,111,"41,504"
"Dec 10, 2017",0.003256,0.003408,0.002755,0.002968,148,"45,854"
"Dec 09, 2017",0.004152,0.004621,0.002832,0.003244,221,"58,468"
"Dec 08, 2017",0.004195,0.004195,0.002291,0.004153,324,"59,083"
"Dec 07, 2017",0.004471,0.004744,0.002522,0.004186,382,"62,965"
"Dec 06, 2017",0.003825,0.004478,0.002522,0.004478,"1,385","53,870"
"Dec 05, 2017",0.004424,0.004439,0.003488,0.003842,310,"62,308"
"Dec 04, 2017",0.004228,0.004415,0.003462,0.004415,"1,034","59,550"
"Dec 03, 2017",0.004593,0.004751,0.003499,0.004214,374,"64,690"
"Dec 02, 2017",0.003383,0.006822,0.003344,0.004589,"1,744","47,647"
"Dec 01, 2017",0.003195,0.003412,0.002528,0.003386,89,"44,999"
"Nov 30, 2017",0.003239,0.003529,0.002490,0.003211,180,"45,621"
"Nov 29, 2017",0.002653,0.003660,0.002653,0.003190,149,"37,369"
"Nov 28, 2017",0.002981,0.003812,0.002378,0.002656,339,"41,987"
"Nov 27, 2017",0.002929,0.003499,0.002929,0.002974,451,"41,245"
"Nov 26, 2017",0.002964,0.003110,0.002918,0.002928,159,"41,746"
"Nov 25, 2017",0.002230,0.003045,0.002219,0.002965,153,"31,407"
"Nov 24, 2017",0.002505,0.002643,0.002220,0.002235,114,"35,273"
"Nov 23, 2017",0.003114,0.003282,0.002377,0.002510,248,"43,860"
"Nov 22, 2017",0.003860,0.003949,0.002619,0.003186,31,"54,368"
"Nov 21, 2017",0.004094,0.004661,0.002833,0.003764,44,"57,664"
