Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.092997,0.106359,0.092744,0.105435,"189,479","4,192,280"
"Dec 15, 2017",0.088204,0.097922,0.088204,0.094742,"193,877","3,976,210"
"Dec 14, 2017",0.080114,0.097079,0.079006,0.088139,"355,840","3,611,500"
"Dec 13, 2017",0.083874,0.090054,0.077731,0.080096,"208,768","3,781,010"
"Dec 12, 2017",0.078824,0.085054,0.076396,0.083876,"179,198","3,553,390"
"Dec 11, 2017",0.080268,0.084573,0.075931,0.078956,"183,791","3,618,460"
"Dec 10, 2017",0.085275,0.085724,0.071806,0.079845,"133,126","3,844,200"
"Dec 09, 2017",0.094928,0.100248,0.075753,0.084936,"468,033","4,279,350"
"Dec 08, 2017",0.108958,0.157047,0.083657,0.095013,"2,470,020","4,911,830"
"Dec 07, 2017",0.081727,0.122081,0.080075,0.109357,"1,231,260","3,684,220"
"Dec 06, 2017",0.071088,0.086449,0.067105,0.081857,"373,417","3,204,630"
"Dec 05, 2017",0.072252,0.074211,0.067375,0.071249,"219,706","3,257,130"
"Dec 04, 2017",0.064596,0.072210,0.063736,0.071775,"252,443","2,911,960"
"Dec 03, 2017",0.062952,0.067901,0.059430,0.064394,"83,760","2,837,850"
"Dec 02, 2017",0.058258,0.065691,0.058258,0.063904,"93,343","2,626,240"
"Dec 01, 2017",0.056282,0.061254,0.052261,0.058314,"102,260","2,537,180"
"Nov 30, 2017",0.055056,0.059774,0.049471,0.056593,"60,298","2,481,910"
"Nov 29, 2017",0.059940,0.065219,0.051811,0.053790,"93,983","2,702,070"
"Nov 28, 2017",0.063293,0.073091,0.057081,0.060010,"330,542","2,853,220"
"Nov 27, 2017",0.054739,0.070285,0.054727,0.062763,"306,637","2,467,620"
"Nov 26, 2017",0.050799,0.055944,0.049887,0.055069,"91,722","2,290,020"
"Nov 25, 2017",0.047085,0.051608,0.045981,0.050811,"62,570","2,122,590"
"Nov 24, 2017",0.048844,0.049259,0.046156,0.047187,"29,071","2,201,890"
"Nov 23, 2017",0.044898,0.049246,0.044898,0.047985,"58,602","2,024,000"
"Nov 22, 2017",0.044420,0.048548,0.044011,0.044910,"75,511","2,002,440"
"Nov 21, 2017",0.046926,0.047508,0.042658,0.044253,"50,143","2,115,390"
"Nov 20, 2017",0.046260,0.047683,0.045208,0.046621,"40,440","2,085,400"
"Nov 19, 2017",0.045534,0.049096,0.044040,0.046271,"54,497","2,052,670"
"Nov 18, 2017",0.044744,0.046461,0.042698,0.045621,"28,665","2,017,050"
"Nov 17, 2017",0.046797,0.048903,0.042644,0.044916,"160,866","2,109,610"
"Nov 16, 2017",0.043337,0.048939,0.041599,0.047002,"73,268","1,953,630"
"Nov 15, 2017",0.043109,0.045027,0.040970,0.043103,"100,389","1,943,350"
"Nov 14, 2017",0.043108,0.046359,0.040231,0.043065,"64,384","1,943,290"
"Nov 13, 2017",0.035096,0.045318,0.034678,0.043207,"139,932","1,582,130"
"Nov 12, 2017",0.042033,0.042530,0.033585,0.035068,"59,598","1,894,820"
"Nov 11, 2017",0.043798,0.046743,0.040529,0.042069,"53,626","1,974,400"
"Nov 10, 2017",0.045589,0.050445,0.042707,0.043944,"239,858","2,055,120"
"Nov 09, 2017",0.045703,0.049780,0.043832,0.046418,"89,507","2,060,280"
"Nov 08, 2017",0.043321,0.045939,0.040697,0.045606,"55,166","1,952,920"
"Nov 07, 2017",0.044590,0.045753,0.042081,0.043387,"47,410","2,010,120"
"Nov 06, 2017",0.043543,0.051898,0.041445,0.044657,"147,944","1,962,900"
"Nov 05, 2017",0.040266,0.052266,0.039289,0.041351,"176,174","1,815,190"
"Nov 04, 2017",0.040011,0.043474,0.039051,0.040837,"39,048","1,803,700"
"Nov 03, 2017",0.039797,0.043903,0.037894,0.039986,"48,056","1,794,060"
"Nov 02, 2017",0.041391,0.044501,0.035466,0.039860,"78,110","1,865,910"
"Nov 01, 2017",0.042965,0.043292,0.039755,0.042028,"53,560","1,936,830"
"Oct 31, 2017",0.046675,0.048192,0.040823,0.042937,"162,249","2,104,080"
"Oct 30, 2017",0.041822,0.052134,0.038207,0.048024,"227,732","1,885,350"
"Oct 29, 2017",0.039825,0.043851,0.039170,0.042067,"53,144","1,795,290"
"Oct 28, 2017",0.041556,0.043095,0.039598,0.039991,"40,379","1,873,320"
"Oct 27, 2017",0.040814,0.045760,0.037921,0.041443,"197,349","1,839,870"
"Oct 26, 2017",0.035127,0.054883,0.034910,0.041500,"694,415","1,583,510"
"Oct 25, 2017",0.034951,0.039511,0.033251,0.035130,"63,212","1,575,560"
"Oct 24, 2017",0.031322,0.039261,0.029111,0.034936,"105,738","1,412,000"
"Oct 23, 2017",0.031635,0.033422,0.029816,0.031248,"35,068","1,426,100"
"Oct 22, 2017",0.031057,0.035483,0.030094,0.032329,"70,358","1,400,040"
"Oct 21, 2017",0.034214,0.035342,0.029900,0.029900,"59,761","1,542,360"
"Oct 20, 2017",0.038047,0.039490,0.034278,0.035243,"63,599","1,715,150"
"Oct 19, 2017",0.037096,0.039037,0.036431,0.038032,"41,374","1,672,280"
"Oct 18, 2017",0.038501,0.039872,0.034547,0.037077,"130,218","1,735,590"
"Oct 17, 2017",0.039930,0.039930,0.037889,0.038493,"42,052","1,800,030"
"Oct 16, 2017",0.037286,0.042745,0.036547,0.039409,"108,682","1,680,840"
"Oct 15, 2017",0.039027,0.039892,0.035612,0.037283,"63,205","1,759,330"
"Oct 14, 2017",0.040070,0.047383,0.038029,0.038957,"126,123","1,806,360"
"Oct 13, 2017",0.040110,0.042277,0.034774,0.040057,"72,607","1,808,130"
"Oct 12, 2017",0.042356,0.043702,0.038388,0.040472,"147,449","1,909,410"
"Oct 11, 2017",0.037793,0.041791,0.036968,0.041791,"105,130","1,703,710"
"Oct 10, 2017",0.041064,0.041753,0.036512,0.038022,"63,629","1,851,150"
"Oct 09, 2017",0.041922,0.044181,0.038039,0.041066,"106,804","1,889,840"
"Oct 08, 2017",0.048713,0.051730,0.041964,0.042453,"114,725","2,195,950"
"Oct 07, 2017",0.045044,0.052326,0.043299,0.050125,"170,238","2,030,580"
"Oct 06, 2017",0.044314,0.056716,0.041429,0.045029,"290,149","1,997,690"
"Oct 05, 2017",0.046180,0.050703,0.043143,0.044315,"74,765","2,081,810"
"Oct 04, 2017",0.048927,0.053694,0.045548,0.045555,"129,149","2,205,610"
"Oct 03, 2017",0.052067,0.053004,0.043004,0.048817,"137,318","2,347,160"
"Oct 02, 2017",0.054136,0.057313,0.050666,0.052065,"122,540","2,440,420"
"Oct 01, 2017",0.061320,0.064023,0.053519,0.054159,"245,593","2,764,310"
"Sep 30, 2017",0.059290,0.068449,0.057728,0.060649,"285,803","2,672,790"
"Sep 29, 2017",0.063494,0.071525,0.054619,0.059282,"412,532","2,862,300"
"Sep 28, 2017",0.067365,0.070017,0.061791,0.063543,"296,730","3,036,810"
"Sep 27, 2017",0.069239,0.075812,0.066801,0.068326,"691,512","3,121,260"
"Sep 26, 2017",0.065880,0.070691,0.062642,0.069357,"486,526","2,969,860"
"Sep 25, 2017",0.068383,0.082460,0.062119,0.065220,"1,865,730","3,082,690"
"Sep 24, 2017",0.053803,0.079504,0.051745,0.068231,"2,583,290","2,425,420"
"Sep 23, 2017",0.045554,0.062816,0.044230,0.053810,"867,054","2,053,590"
"Sep 22, 2017",0.048778,0.052404,0.043065,0.045213,"298,018","2,198,890"
"Sep 21, 2017",0.067643,0.090689,0.047282,0.049525,"2,896,190","3,049,330"
"Sep 20, 2017",0.036028,0.128012,0.035557,0.067981,"11,384,200","1,624,130"
"Sep 19, 2017",0.037129,0.038730,0.034652,0.036082,"24,058","1,673,790"
"Sep 18, 2017",0.033550,0.037963,0.033339,0.037038,"48,295","1,512,420"
"Sep 17, 2017",0.030304,0.037406,0.028471,0.033617,"72,089","1,366,080"
"Sep 16, 2017",0.029371,0.031751,0.028716,0.030337,"6,807","1,324,040"
"Sep 15, 2017",0.026867,0.032151,0.023205,0.029896,"27,541","1,211,180"
"Sep 14, 2017",0.031775,0.035477,0.026560,0.026664,"30,943","1,432,410"
"Sep 13, 2017",0.035765,0.035880,0.029229,0.031774,"48,664","1,612,280"
"Sep 12, 2017",0.035447,0.037550,0.034410,0.035884,"33,134","1,597,930"
"Sep 11, 2017",0.035707,0.037172,0.034874,0.035412,"20,443","1,609,670"
"Sep 10, 2017",0.039314,0.039708,0.035171,0.035767,"37,234","1,772,260"
"Sep 09, 2017",0.040087,0.041031,0.038554,0.039413,"16,313","1,807,100"
"Sep 08, 2017",0.044153,0.044313,0.037822,0.040013,"12,998","1,990,400"
"Sep 07, 2017",0.043838,0.044569,0.042503,0.044143,"15,806","1,976,210"
"Sep 06, 2017",0.041204,0.046325,0.041154,0.043921,"21,889","1,857,480"
"Sep 05, 2017",0.040307,0.042515,0.037207,0.041156,"17,196","1,817,030"
"Sep 04, 2017",0.044354,0.044802,0.037619,0.040109,"39,286","1,999,460"
"Sep 03, 2017",0.044865,0.046476,0.042581,0.044626,"33,760","2,022,510"
"Sep 02, 2017",0.050453,0.051549,0.044076,0.044836,"25,985","2,274,400"
"Sep 01, 2017",0.047173,0.050391,0.045840,0.050391,"39,915","2,126,560"
"Aug 31, 2017",0.047997,0.048444,0.045752,0.046570,"51,414","2,163,680"
"Aug 30, 2017",0.046007,0.048042,0.045322,0.048042,"25,255","2,074,010"
"Aug 29, 2017",0.044846,0.048402,0.043978,0.046072,"54,719","2,021,670"
"Aug 28, 2017",0.043653,0.045427,0.041559,0.044774,"51,022","1,967,880"
"Aug 27, 2017",0.044316,0.047134,0.043507,0.044373,"31,191","1,997,750"
"Aug 26, 2017",0.044912,0.049036,0.041558,0.044881,"94,321","2,024,620"
