Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003706,0.003795,0.003659,0.003773,2,"69,021"
"Dec 15, 2017",0.002156,0.004145,0.002156,0.003701,4,"40,163"
"Dec 14, 2017",0.002146,0.002218,0.002111,0.002153,9,"39,972"
"Dec 13, 2017",0.002246,0.002276,0.002072,0.002177,22,"41,830"
"Dec 12, 2017",0.002189,0.004084,0.002137,0.002244,116,"40,766"
"Dec 11, 2017",0.001982,0.002254,0.001973,0.002182,11,"36,917"
"Dec 10, 2017",0.001955,0.002050,0.001721,0.001997,60,"36,410"
"Dec 09, 2017",0.001952,0.002008,0.001761,0.001947,112,"36,350"
"Dec 08, 2017",0.003471,0.003523,0.001690,0.001954,262,"64,649"
"Dec 07, 2017",0.003846,0.004010,0.002831,0.003463,20,"71,633"
"Dec 06, 2017",0.003159,0.003858,0.003159,0.003853,18,"58,840"
"Dec 05, 2017",0.002737,0.003189,0.002670,0.003166,964,"50,983"
"Dec 02, 2017",0.002503,0.002575,0.002467,0.002529,37,"46,626"
"Dec 01, 2017",0.002398,0.002822,0.002271,0.002506,57,"44,669"
"Nov 30, 2017",0.002261,0.002484,0.002246,0.002410,41,"42,104"
"Nov 29, 2017",0.002423,0.002631,0.002091,0.002226,11,"45,132"
"Nov 28, 2017",0.002244,0.002295,0.002222,0.002290,2,"41,790"
"Nov 27, 2017",0.002143,0.002242,0.002143,0.002238,31,"39,915"
"Nov 26, 2017",0.002056,0.002189,0.002033,0.002143,68,"38,292"
"Nov 25, 2017",0.002052,0.002120,0.002041,0.002109,11,"38,228"
"Nov 24, 2017",0.001977,0.002072,0.001953,0.002057,15,"36,817"
"Nov 21, 2017",0.001978,0.002009,0.001871,0.001931,23,"36,839"
"Nov 20, 2017",0.001850,0.001988,0.001828,0.001978,62,"34,456"
"Nov 19, 2017",0.001781,0.001866,0.001779,0.001851,1,"33,173"
"Nov 14, 2017",0.001371,0.001411,0.001350,0.001384,9,"25,544"
"Nov 13, 2017",0.001349,0.001376,0.001332,0.001369,9,"25,130"
"Nov 11, 2017",0.001381,0.001430,0.001379,0.001410,1,"25,716"
"Nov 10, 2017",0.001568,0.001682,0.001355,0.001386,8,"29,211"
"Nov 09, 2017",0.001643,0.001643,0.001551,0.001564,13,"30,598"
"Nov 08, 2017",0.001637,0.001734,0.001576,0.001645,3,"30,484"
"Nov 07, 2017",0.001614,0.001642,0.001611,0.001642,16,"30,064"
"Nov 02, 2017",0.001615,0.001755,0.001615,0.001696,2,"30,077"
"Nov 01, 2017",0.001534,0.001616,0.001431,0.001613,72,"28,576"
"Oct 31, 2017",0.002022,0.002038,0.002011,0.002022,1,"37,663"
"Oct 30, 2017",0.002155,0.002161,0.001992,0.002029,1,"40,136"
"Oct 29, 2017",0.002023,0.002213,0.002018,0.002168,1,"37,678"
"Oct 28, 2017",0.001960,0.001996,0.001940,0.001943,19,"36,497"
"Oct 27, 2017",0.001998,0.002013,0.001938,0.001954,28,"37,203"
"Oct 26, 2017",0.001950,0.002035,0.001937,0.002021,1,"36,313"
"Oct 25, 2017",0.001886,0.001953,0.001871,0.001950,1,"35,136"
"Oct 24, 2017",0.001408,0.001408,0.001336,0.001362,4,"26,219"
"Oct 23, 2017",0.002033,0.002048,0.001359,0.001411,4,"37,864"
"Oct 22, 2017",0.002045,0.002063,0.001954,0.002036,5,"38,082"
"Oct 21, 2017",0.002042,0.002106,0.002007,0.002044,42,"38,028"
"Oct 20, 2017",0.002038,0.002078,0.002025,0.002046,14,"37,963"
"Oct 17, 2017",0.001387,0.001391,0.001329,0.001343,29,"25,832"
"Oct 16, 2017",0.002106,0.002117,0.001356,0.001387,33,"39,224"
"Oct 15, 2017",0.002034,0.002127,0.002026,0.002106,3,"37,888"
"Oct 13, 2017",0.002067,0.002233,0.002054,0.002148,1,"38,507"
"Oct 12, 2017",0.001645,0.002061,0.001644,0.002061,2,"30,636"
"Oct 11, 2017",0.001619,0.001653,0.001606,0.001646,0,"30,160"
"Oct 10, 2017",0.001683,0.001725,0.001608,0.001620,18,"31,337"
"Oct 09, 2017",0.001749,0.001851,0.001732,0.001831,0,"32,576"
"Oct 08, 2017",0.001600,0.001753,0.001594,0.001749,1,"29,794"
"Oct 07, 2017",0.001706,0.001710,0.001563,0.001604,24,"31,771"
"Oct 06, 2017",0.001686,0.001726,0.001683,0.001705,15,"31,406"
"Oct 05, 2017",0.001435,0.001703,0.001413,0.001686,2,"26,732"
"Oct 04, 2017",0.001425,0.001477,0.001417,0.001434,0,"26,550"
"Oct 03, 2017",0.001421,0.001424,0.001420,0.001422,1,"26,468"
"Sep 30, 2017",0.001919,0.001980,0.001917,0.001977,4,"35,744"
"Sep 29, 2017",0.001921,0.001949,0.001910,0.001919,4,"35,784"
"Sep 28, 2017",0.001935,0.001960,0.001914,0.001953,0,"36,048"
"Sep 27, 2017",0.001817,0.001943,0.001812,0.001935,0,"33,850"
"Sep 25, 2017",0.001432,0.001546,0.001432,0.001526,2,"26,675"
"Sep 24, 2017",0.001445,0.001445,0.001428,0.001434,2,"26,912"
"Sep 23, 2017",0.001695,0.001739,0.001679,0.001737,0,"31,577"
"Sep 22, 2017",0.001755,0.001765,0.001662,0.001700,0,"32,686"
"Sep 16, 2017",0.001743,0.001824,0.001671,0.001677,0,"32,470"
"Sep 15, 2017",0.001265,0.001797,0.001175,0.001748,0,"23,568"
"Sep 14, 2017",0.001861,0.001886,0.001256,0.001256,1,"34,661"
"Sep 13, 2017",0.002035,0.002042,0.001852,0.001861,4,"37,896"
"Sep 12, 2017",0.001601,0.002094,0.001601,0.002042,43,"29,822"
"Sep 11, 2017",0.002040,0.002100,0.001600,0.001600,1,"37,997"
"Sep 10, 2017",0.002050,0.002064,0.002037,0.002044,1,"38,188"
"Sep 07, 2017",0.002077,0.002077,0.002025,0.002051,46,"38,685"
"Sep 06, 2017",0.002070,0.002098,0.002040,0.002081,47,"38,548"
"Sep 04, 2017",0.002309,0.002311,0.002164,0.002194,3,"43,014"
"Sep 03, 2017",0.002167,0.002364,0.002167,0.002309,3,"40,364"
"Sep 02, 2017",0.002122,0.002175,0.002112,0.002166,0,"39,525"
"Aug 31, 2017",0.002061,0.002144,0.002060,0.002127,0,"38,382"
"Aug 30, 2017",0.002067,0.002143,0.002047,0.002064,14,"38,490"
"Aug 29, 2017",0.001972,0.002089,0.001957,0.002069,0,"36,722"
"Aug 28, 2017",0.001954,0.001978,0.001889,0.001972,1,"36,402"
"Aug 27, 2017",0.001959,0.001970,0.001955,0.001957,1,"36,485"
"Aug 26, 2017",0.001965,0.001970,0.001921,0.001953,1,"36,606"
"Aug 25, 2017",0.001905,0.001971,0.001892,0.001965,1,"35,474"
"Aug 24, 2017",0.001823,0.001928,0.001808,0.001908,444,"33,952"
"Aug 23, 2017",0.001814,0.001832,0.001802,0.001822,0,"33,789"
"Aug 22, 2017",0.001800,0.001800,0.001630,0.001754,2,"33,533"
"Aug 21, 2017",0.001663,0.001831,0.001111,0.001796,42,"30,979"
"Aug 20, 2017",0.001741,0.001741,0.001660,0.001670,0,"32,427"
"Aug 19, 2017",0.001315,0.001752,0.001269,0.001749,3,"24,487"
"Aug 18, 2017",0.001455,0.001480,0.001272,0.001316,8,"27,102"
"Aug 17, 2017",0.001975,0.001982,0.001426,0.001460,18,"36,784"
"Aug 16, 2017",0.001703,0.001977,0.001654,0.001977,50,"31,719"
"Aug 15, 2017",0.001428,0.002550,0.001236,0.001701,"1,522","26,595"
"Aug 14, 2017",0.001462,0.001520,0.001368,0.001424,2,"27,236"
"Aug 13, 2017",0.001392,0.001484,0.001351,0.001461,7,"25,933"
"Aug 12, 2017",0.001570,0.001828,0.001353,0.001394,26,"29,235"
"Aug 11, 2017",0.001469,0.001734,0.001462,0.001571,1,"27,359"
"Aug 10, 2017",0.001471,0.001515,0.001460,0.001469,0,"27,396"
"Aug 09, 2017",0.001485,0.001485,0.001429,0.001471,1,"27,665"
"Aug 07, 2017",0.001352,0.001375,0.001341,0.001375,4,"25,190"
"Aug 06, 2017",0.001562,0.001581,0.001331,0.001355,5,"29,101"
"Aug 05, 2017",0.001370,0.001595,0.001369,0.001562,0,"25,520"
"Aug 04, 2017",0.001393,0.001435,0.001358,0.001371,5,"25,954"
"Aug 03, 2017",0.001512,0.001849,0.001151,0.001394,20,"28,152"
"Aug 02, 2017",0.001186,0.001895,0.001184,0.001509,235,"22,098"
"Aug 01, 2017",0.001030,0.001047,0.000959,0.000970,0,"19,192"
"Jul 31, 2017",0.001206,0.001207,0.000975,0.001030,0,"22,459"
"Jul 30, 2017",0.001223,0.001225,0.001150,0.001205,8,"22,778"
"Jul 29, 2017",0.001232,0.001239,0.001201,0.001223,1,"22,941"
"Jul 27, 2017",0.000858,0.000899,0.000855,0.000899,2,"15,988"
"Jul 26, 2017",0.000845,0.000862,0.000837,0.000856,1,"15,745"
"Jul 25, 2017",0.001269,0.001277,0.001267,0.001268,0,"23,630"
"Jul 24, 2017",0.001238,0.001287,0.001228,0.001269,0,"23,053"
"Jul 23, 2017",0.001217,0.001257,0.001144,0.001239,23,"22,669"
"Jul 22, 2017",0.000907,0.001220,0.000903,0.001217,45,"16,891"
"Jul 21, 2017",0.001359,0.001364,0.000898,0.000907,0,"25,317"
"Jul 20, 2017",0.001380,0.001380,0.001335,0.001349,0,"25,699"
"Jul 19, 2017",0.000714,0.000741,0.000698,0.000705,2,"13,295"
"Jul 18, 2017",0.000756,0.000784,0.000704,0.000713,17,"14,076"
"Jul 17, 2017",0.001115,0.001128,0.000677,0.000754,11,"20,772"
"Jul 16, 2017",0.001052,0.001135,0.000637,0.001117,34,"19,596"
"Jul 15, 2017",0.000643,0.001114,0.000594,0.001055,43,"11,983"
"Jul 14, 2017",0.001171,0.001335,0.000641,0.000644,204,"21,801"
"Jul 13, 2017",0.001217,0.001233,0.001021,0.001171,40,"22,667"
"Jul 12, 2017",0.000784,0.001226,0.000764,0.001216,62,"14,604"
"Jul 11, 2017",0.001194,0.001208,0.000784,0.000788,3,"22,230"
"Jul 10, 2017",0.001278,0.001284,0.000793,0.001196,4,"23,796"
"Jul 09, 2017",0.001300,0.001305,0.001275,0.001275,26,"24,216"
"Jul 08, 2017",0.001301,0.001307,0.001266,0.001299,0,"24,228"
"Jul 07, 2017",0.001333,0.001334,0.001287,0.001300,19,"24,830"
"Jul 05, 2017",0.001191,0.001191,0.001161,0.001187,1,"22,191"
"Jul 04, 2017",0.000806,0.001247,0.000805,0.001192,4,"15,017"
"Jul 03, 2017",0.001195,0.001239,0.001186,0.001220,0,"22,256"
"Jul 02, 2017",0.001190,0.001204,0.001182,0.001199,0,"22,166"
"Jul 01, 2017",0.001177,0.001197,0.001150,0.001152,1,"21,919"
"Jun 30, 2017",0.001139,0.001205,0.001123,0.001177,17,"21,222"
"Jun 29, 2017",0.000944,0.001160,0.000927,0.001137,33,"17,590"
"Jun 28, 2017",0.001114,0.001135,0.000929,0.000945,5,"20,741"
"Jun 26, 2017",0.000806,0.000819,0.000784,0.000796,2,"15,009"
"Jun 25, 2017",0.001231,0.001254,0.000783,0.000806,2,"22,935"
"Jun 24, 2017",0.001264,0.001278,0.001211,0.001234,0,"23,551"
"Jun 23, 2017",0.001199,0.001285,0.001199,0.001265,0,"22,332"
"Jun 22, 2017",0.001199,0.001199,0.001199,0.001199,5,"22,332"
"Jun 21, 2017",0.000799,0.000799,0.000799,0.000799,2,"14,888"
"Jun 20, 2017",0.001174,0.001199,0.000799,0.000799,6,"21,867"
"Jun 19, 2017",0.001149,0.001174,0.001149,0.001174,20,"21,402"
"Jun 17, 2017",0.000699,0.000699,0.000699,0.000699,7,"13,027"
"Jun 16, 2017",0.000999,0.000999,0.000699,0.000699,14,"18,610"
"Jun 15, 2017",0.001155,0.001155,0.001139,0.001139,1,"21,511"
"Jun 14, 2017",0.001274,0.001309,0.001104,0.001155,1,"23,723"
"Jun 13, 2017",0.001241,0.001298,0.001240,0.001279,4,"23,122"
"Jun 12, 2017",0.001339,0.001343,0.001133,0.001246,22,"24,930"
"Jun 11, 2017",0.001359,0.001360,0.001290,0.001340,3,"25,310"
"Jun 10, 2017",0.001096,0.001360,0.001096,0.001360,59,"20,414"
"Jun 09, 2017",0.000784,0.001111,0.000781,0.001094,9,"14,609"
"Jun 08, 2017",0.001022,0.001119,0.000757,0.000786,34,"19,043"
"Jun 07, 2017",0.001147,0.001170,0.000726,0.001017,24,"21,357"
"Jun 06, 2017",0.000808,0.001150,0.000808,0.001146,46,"15,057"
"Jun 05, 2017",0.000931,0.000943,0.000784,0.000806,6,"17,344"
"Jun 04, 2017",0.000919,0.000944,0.000916,0.000931,1,"17,121"
"Jun 02, 2017",0.000888,0.000898,0.000877,0.000892,0,"16,537"
"Jun 01, 2017",0.000846,0.000902,0.000846,0.000887,0,"15,760"
"May 31, 2017",0.000657,0.000855,0.000649,0.000845,2,"12,237"
"May 30, 2017",0.000843,0.000858,0.000647,0.000654,1,"15,697"
