Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.2e-07,9.7e-07,1.1e-07,4.6e-07,"580,619",-
"Dec 15, 2017",1.4e-07,2.2e-07,7.2e-08,1.1e-07,"94,304",-
"Dec 14, 2017",3.5e-08,2.3e-07,3.3e-08,1.4e-07,"78,978",-
"Dec 13, 2017",3e-08,4.3e-08,2.8e-08,3.5e-08,"7,940",-
"Dec 12, 2017",2.8e-08,3.7e-08,2.6e-08,3.6e-08,"7,925",-
"Dec 11, 2017",2.2e-08,3e-08,2.1e-08,2.7e-08,"7,111",-
"Dec 10, 2017",2.3e-08,2.4e-08,1.8e-08,2.2e-08,"1,055",-
"Dec 09, 2017",2.3e-08,3.1e-08,2e-08,2.3e-08,"4,085",-
"Dec 08, 2017",2.6e-08,2.7e-08,1.9e-08,2.2e-08,"3,274",-
"Dec 07, 2017",2.3e-08,2.9e-08,1.8e-08,2.6e-08,"1,943",-
"Dec 06, 2017",2.8e-08,3e-08,2.2e-08,2.2e-08,"3,388",-
"Dec 05, 2017",3.1e-08,3.2e-08,2.5e-08,2.9e-08,"1,309",-
"Dec 04, 2017",2.8e-08,3.1e-08,2.4e-08,3.1e-08,"1,237",-
"Dec 03, 2017",2.4e-08,3.2e-08,2.3e-08,2.7e-08,"3,872",-
"Dec 02, 2017",2e-08,2.6e-08,1.9e-08,2.4e-08,916,-
"Dec 01, 2017",2.1e-08,2.7e-08,1.8e-08,2e-08,518,-
"Nov 30, 2017",2.3e-08,3e-08,1.9e-08,2.1e-08,767,-
"Nov 29, 2017",3.2e-08,3.6e-08,1.5e-08,2.3e-08,"1,282",-
"Nov 28, 2017",2.7e-08,3.2e-08,2.4e-08,3.1e-08,971,-
"Nov 27, 2017",2.6e-08,2.9e-08,2.3e-08,2.7e-08,"1,300",-
"Nov 26, 2017",3.2e-08,3.2e-08,2.4e-08,2.5e-08,849,-
"Nov 25, 2017",3.4e-08,3.5e-08,2.4e-08,3.2e-08,"1,663",-
"Nov 24, 2017",3.1e-08,4e-08,2.6e-08,3.1e-08,"2,832",-
"Nov 23, 2017",3.7e-08,4.4e-08,2.6e-08,3.2e-08,"1,676",-
"Nov 22, 2017",2.8e-08,4.2e-08,2e-08,3.9e-08,"3,124",-
"Nov 21, 2017",2.5e-08,2.9e-08,2.3e-08,2.8e-08,567,-
"Nov 20, 2017",2.2e-08,2.6e-08,2e-08,2.5e-08,410,-
"Nov 19, 2017",2.3e-08,2.4e-08,1.7e-08,2.2e-08,"1,091",-
"Nov 18, 2017",1.9e-08,3.6e-08,1.8e-08,2.3e-08,963,-
"Nov 17, 2017",2.5e-08,2.8e-08,1.9e-08,1.9e-08,504,-
"Nov 16, 2017",1.9e-08,2.5e-08,1.9e-08,2.5e-08,959,-
"Nov 15, 2017",1.5e-08,2e-08,1.5e-08,1.9e-08,595,-
"Nov 14, 2017",1.5e-08,1.7e-08,1.3e-08,1.6e-08,437,-
"Nov 13, 2017",1.4e-08,1.7e-08,1.4e-08,1.5e-08,494,-
"Nov 12, 2017",1.6e-08,1.6e-08,1.3e-08,1.4e-08,239,-
"Nov 11, 2017",1.5e-08,1.8e-08,1.4e-08,1.6e-08,284,-
"Nov 10, 2017",1.9e-08,2e-08,1.4e-08,1.5e-08,283,-
"Nov 09, 2017",2e-08,2.2e-08,1.7e-08,1.9e-08,522,-
"Nov 08, 2017",1.9e-08,2.1e-08,1.7e-08,2e-08,481,-
"Nov 07, 2017",1.9e-08,2.1e-08,1.8e-08,1.9e-08,130,-
"Nov 06, 2017",1.7e-08,2.1e-08,1.6e-08,1.9e-08,401,-
"Nov 05, 2017",2.5e-08,2.5e-08,1.6e-08,1.7e-08,531,-
"Nov 04, 2017",2.3e-08,2.5e-08,2e-08,2.4e-08,274,-
"Nov 03, 2017",2.6e-08,2.6e-08,1.8e-08,2.3e-08,336,-
"Nov 02, 2017",1.7e-08,2.7e-08,1.6e-08,2.6e-08,"1,068",-
"Nov 01, 2017",2.1e-08,2.1e-08,1.5e-08,1.7e-08,269,-
"Oct 31, 2017",1.9e-08,2.6e-08,1.7e-08,2.1e-08,"1,096",-
"Oct 30, 2017",2.5e-08,2.6e-08,1.8e-08,1.9e-08,845,-
"Oct 29, 2017",2e-08,2.9e-08,2e-08,2.6e-08,408,-
"Oct 28, 2017",1.7e-08,2.1e-08,1.5e-08,2e-08,598,-
"Oct 27, 2017",1.6e-08,2e-08,1.4e-08,1.7e-08,404,-
"Oct 26, 2017",1.6e-08,1.9e-08,1.4e-08,1.7e-08,568,-
"Oct 25, 2017",2e-08,2.3e-08,1.6e-08,1.6e-08,437,-
"Oct 24, 2017",1.7e-08,2.3e-08,1.7e-08,1.9e-08,"1,512",-
"Oct 23, 2017",2.6e-08,2.7e-08,1.7e-08,1.7e-08,582,-
"Oct 22, 2017",3.4e-08,3.5e-08,2.6e-08,2.6e-08,238,-
"Oct 21, 2017",2.9e-08,3.5e-08,2.3e-08,3.5e-08,"1,676",-
