Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.040242,0.047624,0.029216,0.047241,"3,936","140,848"
"Dec 15, 2017",0.030416,0.040627,0.028701,0.040183,"1,349","106,454"
"Dec 14, 2017",0.031212,0.054740,0.030362,0.030437,"2,538","109,242"
"Dec 13, 2017",0.036361,0.038123,0.025213,0.031284,"1,517","127,264"
"Dec 12, 2017",0.029621,0.037364,0.019713,0.036335,657,"103,672"
"Dec 11, 2017",0.028342,0.032684,0.027338,0.029643,"2,062","99,198"
"Dec 10, 2017",0.024575,0.032565,0.021956,0.028365,589,"86,013"
"Dec 09, 2017",0.035875,0.036395,0.022171,0.024477,"1,216","125,562"
"Dec 08, 2017",0.026059,0.038900,0.023017,0.035910,"7,645","91,207"
"Dec 07, 2017",0.029473,0.036057,0.022789,0.025998,806,"103,155"
"Dec 06, 2017",0.036646,0.038660,0.025459,0.029525,"1,905","128,263"
"Dec 05, 2017",0.038467,0.039035,0.024650,0.036726,"3,577","134,635"
"Dec 04, 2017",0.035766,0.039779,0.023326,0.038394,"5,926","125,181"
"Dec 03, 2017",0.034967,0.040406,0.029333,0.035545,"8,214","122,385"
"Dec 02, 2017",0.034584,0.044448,0.031961,0.034935,"59,524","121,044"
"Dec 01, 2017",0.031846,0.046862,0.024412,0.034612,"122,344","111,460"
"Nov 30, 2017",0.041785,0.044771,0.022670,0.031934,"27,909","146,248"
"Nov 29, 2017",0.043760,0.055252,0.035016,0.041156,"172,842","153,161"
"Nov 28, 2017",0.049244,0.085556,0.042725,0.056646,"200,959","172,352"
"Nov 27, 2017",0.068484,0.087380,0.045711,0.056167,"251,587","239,695"
"Nov 26, 2017",0.075589,0.084349,0.057247,0.068493,"3,627","264,560"
"Nov 25, 2017",0.085738,0.095629,0.071847,0.075600,"10,005","300,085"
"Nov 24, 2017",0.087357,0.105686,0.070979,0.085851,"22,887","305,748"
"Nov 23, 2017",0.064809,0.118663,0.060397,0.087666,"82,611","226,833"
"Nov 22, 2017",0.058174,0.070205,0.046566,0.064661,"24,333","203,610"
"Nov 21, 2017",0.106925,0.117455,0.048326,0.058100,"29,579","374,239"
"Nov 20, 2017",0.075867,0.138045,0.065716,0.107094,"79,536",-
"Nov 19, 2017",0.090608,0.096489,0.048295,0.075948,"93,337",-
