Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.77,2.01,1.74,1.86,"2,181","576,488"
"Dec 15, 2017",1.66,1.84,1.56,1.76,"1,352","541,135"
"Dec 14, 2017",1.53,1.75,1.47,1.66,952,"496,655"
"Dec 13, 2017",1.57,1.64,1.48,1.53,847,"508,808"
"Dec 12, 2017",1.56,1.67,1.43,1.57,"1,421","504,461"
"Dec 11, 2017",1.41,1.86,1.40,1.55,"1,668","455,110"
"Dec 10, 2017",1.26,3.67,1.01,1.42,"12,068","404,572"
"Dec 09, 2017",1.38,1.40,1.13,1.25,261,"444,680"
"Dec 08, 2017",1.52,1.54,1.23,1.38,530,"487,196"
"Dec 07, 2017",1.38,1.69,1.37,1.51,910,"443,268"
"Dec 06, 2017",1.19,1.55,1.19,1.39,373,"380,265"
"Dec 05, 2017",1.25,1.34,1.17,1.19,120,"398,279"
"Dec 04, 2017",1.16,1.28,1.13,1.25,224,"370,592"
"Dec 03, 2017",1.10,1.19,1.07,1.16,314,"350,635"
"Dec 02, 2017",1.10,1.22,1.08,1.10,55,"348,450"
"Dec 01, 2017",1.16,1.28,0.955637,1.10,202,"367,675"
"Nov 30, 2017",0.998114,1.18,0.904221,1.16,492,"316,000"
"Nov 29, 2017",1.07,1.23,0.913694,0.983016,223,"336,947"
"Nov 28, 2017",1.34,1.56,1.07,1.07,"1,711","423,374"
"Nov 27, 2017",1.30,1.55,1.30,1.34,323,"409,556"
"Nov 26, 2017",1.21,1.33,1.21,1.30,99,"381,553"
"Nov 25, 2017",1.18,1.25,1.15,1.21,396,"370,257"
"Nov 24, 2017",1.32,1.35,1.12,1.18,265,"415,541"
"Nov 23, 2017",1.13,1.38,1.12,1.33,351,"353,851"
"Nov 22, 2017",1.15,1.16,1.11,1.13,381,"360,203"
"Nov 21, 2017",1.14,1.17,1.08,1.15,221,"355,821"
"Nov 20, 2017",1.11,1.15,1.10,1.14,211,"346,973"
"Nov 19, 2017",1.08,1.16,1.06,1.11,197,"334,333"
"Nov 18, 2017",1.06,1.09,1.03,1.08,170,"330,427"
"Nov 17, 2017",1.23,1.26,1.05,1.07,502,"381,044"
"Nov 16, 2017",1.13,1.28,1.12,1.23,329,"350,386"
"Nov 15, 2017",1.26,1.42,1.10,1.13,127,"388,177"
"Nov 14, 2017",1.30,1.50,1.25,1.26,536,"401,597"
"Nov 13, 2017",1.40,2.28,1.26,1.30,"2,013","432,034"
"Nov 12, 2017",0.879392,2.03,0.703360,1.40,"4,759","270,132"
"Nov 11, 2017",0.831460,1.06,0.790286,0.880040,141,"255,001"
"Nov 10, 2017",0.900547,0.971796,0.817291,0.835616,92,"275,874"
"Nov 09, 2017",1.01,1.02,0.891582,0.897796,177,"309,420"
"Nov 08, 2017",1.03,1.08,0.972426,1.01,321,"315,538"
"Nov 07, 2017",0.895067,1.07,0.895067,1.04,151,"272,857"
"Nov 06, 2017",0.976059,1.09,0.814111,0.896503,815,"296,785"
"Nov 05, 2017",1.01,1.04,0.963135,0.973897,103,"305,753"
"Nov 04, 2017",0.944241,1.14,0.925636,1.01,200,"286,353"
"Nov 03, 2017",1.11,1.42,0.904494,0.946702,119,"335,122"
"Nov 02, 2017",1.04,1.18,1.04,1.11,381,"314,587"
"Nov 01, 2017",1.10,1.69,0.999335,1.04,253,"330,890"
"Oct 31, 2017",1.10,1.15,1.06,1.10,248,"330,799"
"Oct 30, 2017",1.64,1.82,1.09,1.10,934,"491,433"
"Oct 29, 2017",1.26,2.88,1.13,1.65,"5,629","377,216"
"Oct 28, 2017",0.617646,2.09,0.614498,1.26,"6,158","184,688"
"Oct 27, 2017",0.676783,0.689452,0.611777,0.615965,571,"201,569"
"Oct 26, 2017",0.705697,0.762595,0.666981,0.676626,753,"209,315"
"Oct 25, 2017",0.683478,0.745751,0.666165,0.705781,327,"202,096"
"Oct 24, 2017",0.762523,0.829300,0.665299,0.683303,451,"224,716"
"Oct 23, 2017",0.841167,0.853545,0.751740,0.764204,458,"247,237"
"Oct 22, 2017",0.924578,0.931516,0.828524,0.842523,88,"271,440"
"Oct 21, 2017",0.844864,0.939992,0.832585,0.924299,27,"247,779"
"Oct 20, 2017",0.851089,0.905841,0.793738,0.846644,569,"249,002"
"Oct 19, 2017",0.733758,0.984775,0.730800,0.850851,599,"213,921"
"Oct 18, 2017",1.24,1.24,0.692623,0.733377,374,"359,037"
"Oct 17, 2017",1.32,1.33,0.978524,1.24,837,"382,193"
"Oct 16, 2017",1.16,1.38,1.13,1.32,157,"334,348"
"Oct 15, 2017",1.37,1.37,1.11,1.16,130,"395,870"
"Oct 14, 2017",1.23,1.37,1.18,1.37,181,"354,793"
"Oct 13, 2017",1.32,1.42,1.19,1.23,264,"378,850"
"Oct 12, 2017",1.85,1.94,1.05,1.31,688,"530,089"
"Oct 11, 2017",1.24,1.87,1.20,1.84,762,"355,423"
"Oct 10, 2017",1.47,1.51,1.23,1.24,181,"420,950"
"Oct 09, 2017",1.46,1.59,1.36,1.47,666,"416,627"
"Oct 08, 2017",2.29,2.29,1.35,1.46,"1,588","654,071"
"Oct 07, 2017",0.678251,4.11,0.675012,2.37,"48,515","192,970"
"Oct 06, 2017",0.875571,1.02,0.668554,0.678033,"1,062","248,527"
"Oct 05, 2017",0.881482,1.02,0.688257,0.875574,293,"249,667"
"Oct 04, 2017",0.764509,0.953516,0.760848,0.880686,49,"216,235"
"Oct 03, 2017",0.819903,1.90,0.756674,0.762649,247,"231,403"
"Oct 02, 2017",0.813602,0.955753,0.809969,0.819872,"1,555","229,219"
"Oct 01, 2017",0.869699,0.904925,0.779941,0.813960,317,"244,582"
"Sep 30, 2017",1.12,1.23,0.852501,0.869284,753,"314,305"
"Sep 29, 2017",0.745969,1.12,0.718867,1.12,"1,535","208,624"
"Sep 28, 2017",0.992162,1.71,0.682626,0.746541,"2,523","276,421"
"Sep 27, 2017",0.827435,1.01,0.792566,0.991175,267,"230,223"
"Sep 26, 2017",1.07,1.19,0.828012,0.829746,"1,152","298,097"
"Sep 25, 2017",0.940680,1.15,0.940098,1.07,"1,301","260,423"
