Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",3.7e-07,6.3e-07,1.6e-07,5.3e-07,115,"5,627"
"Dec 15, 2017",1.8e-07,3.7e-07,1.5e-07,3.7e-07,118,"2,812"
"Dec 14, 2017",1.5e-07,2e-07,1.4e-07,1.8e-07,19,"2,228"
"Dec 13, 2017",1.6e-07,1.9e-07,1.4e-07,1.4e-07,102,"2,506"
"Dec 12, 2017",1.5e-07,2.1e-07,1.1e-07,1.6e-07,31,"2,250"
"Dec 11, 2017",1.1e-07,1.5e-07,1.1e-07,1.4e-07,19,"1,763"
"Dec 10, 2017",1.4e-07,2.1e-07,1.2e-07,1.2e-07,32,"2,212"
"Dec 09, 2017",1.3e-07,2.2e-07,9.7e-08,1.4e-07,27,"2,054"
"Dec 08, 2017",1.1e-07,1.3e-07,9.7e-08,1.3e-07,49,"1,660"
"Dec 07, 2017",8.8e-08,1.1e-07,8.3e-08,1.1e-07,3,"1,346"
"Dec 06, 2017",1.8e-07,2.3e-07,8.1e-08,8.5e-08,1,"2,810"
"Dec 05, 2017",1.7e-07,2.1e-07,1.2e-07,1.8e-07,47,"2,627"
"Dec 04, 2017",1.7e-07,2.5e-07,1.1e-07,1.7e-07,65,"2,558"
"Dec 03, 2017",1e-07,1.7e-07,8.6e-08,1.7e-07,5,"1,542"
"Dec 02, 2017",8.1e-08,1.1e-07,5.6e-08,1e-07,0,"1,249"
"Dec 01, 2017",1.2e-07,1.5e-07,6.3e-08,8.1e-08,5,"1,830"
"Nov 30, 2017",7.5e-08,1.2e-07,4.5e-08,1.2e-07,106,"1,158"
"Nov 29, 2017",1.8e-07,1.9e-07,6.7e-08,7.5e-08,28,"2,827"
"Nov 28, 2017",1.5e-07,1.9e-07,7.9e-08,1.8e-07,125,"2,271"
"Nov 27, 2017",9.5e-08,1.6e-07,9.1e-08,1.5e-07,0,"1,454"
"Nov 26, 2017",9.8e-08,1.2e-07,8.8e-08,9.3e-08,12,"1,496"
"Nov 25, 2017",1.7e-07,2e-07,9.1e-08,9.7e-08,7,"2,675"
