Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",930.98,942.15,925.04,934.76,292,-
"Dec 14, 2017",769.65,802.00,760.95,779.78,166,-
"Dec 13, 2017",259.14,772.13,259.14,772.13,246,-
"Dec 12, 2017",264.80,266.38,258.45,258.92,17,-
"Dec 09, 2017",780.66,792.23,758.08,760.07,538,-
"Dec 08, 2017",516.67,865.28,339.65,781.45,"10,615",-
"Dec 07, 2017",659.32,682.43,659.32,682.43,43,-
"Dec 06, 2017",570.06,661.39,569.33,660.46,41,-
"Dec 05, 2017",349.69,357.51,344.81,350.85,12,-
"Dec 04, 2017",340.34,349.00,334.50,349.00,12,-
"Nov 29, 2017",496.40,571.95,496.40,537.46,118,-
"Nov 28, 2017",396.94,498.38,395.65,496.89,109,-
"Nov 26, 2017",437.31,437.31,436.83,436.83,9,-
"Nov 25, 2017",410.50,437.46,408.18,437.46,9,-
"Nov 24, 2017",401.85,416.95,394.19,411.33,8,-
"Nov 23, 2017",407.59,411.11,402.40,402.40,32,-
"Nov 22, 2017",608.56,622.48,605.99,612.93,49,-
"Nov 21, 2017",329.66,617.21,311.85,607.08,49,-
"Nov 20, 2017",321.74,331.40,317.89,329.60,8,-
"Nov 19, 2017",319.97,324.46,318.99,321.89,8,-
"Nov 15, 2017",280.99,307.75,280.99,306.26,36,-
"Nov 14, 2017",278.17,282.32,276.32,280.80,33,-
"Nov 12, 2017",222.64,224.28,193.79,214.56,6,-
"Nov 11, 2017",235.52,235.52,218.11,222.81,6,-
"Nov 09, 2017",373.37,539.17,149.71,533.11,107,-
"Nov 08, 2017",213.48,388.14,212.22,373.76,"1,383",-
"Nov 07, 2017",211.54,214.22,209.64,214.16,107,-
"Nov 05, 2017",184.42,190.29,182.59,185.26,15,-
"Nov 04, 2017",373.42,377.48,184.74,184.77,22,-
"Nov 02, 2017",168.22,182.79,168.22,176.66,184,-
"Nov 01, 2017",161.10,200.10,160.19,168.03,296,-
"Oct 31, 2017",260.43,261.17,152.38,161.22,239,-
"Oct 30, 2017",260.00,261.32,258.96,261.32,37,-
"Oct 28, 2017",311.80,317.59,306.93,310.44,63,-
"Oct 27, 2017",324.36,330.40,310.79,310.95,63,-
"Oct 26, 2017",315.12,329.74,313.90,324.29,6,-
"Oct 25, 2017",304.06,314.10,296.54,311.90,11,-
"Oct 24, 2017",323.19,323.19,302.25,303.94,22,-
"Oct 23, 2017",329.46,334.31,312.10,323.90,12,-
"Oct 22, 2017",240.55,332.95,229.91,329.99,36,-
"Oct 21, 2017",345.30,356.08,236.09,240.47,126,-
"Oct 20, 2017",456.37,457.81,323.18,346.02,24,-
"Oct 19, 2017",446.98,459.29,442.88,456.24,17,-
"Oct 18, 2017",425.31,448.90,410.77,446.75,6,-
"Oct 17, 2017",462.32,463.65,442.87,448.04,6,-
"Oct 16, 2017",455.35,464.67,445.35,462.25,6,-
"Oct 15, 2017",263.31,459.91,136.91,455.29,193,-
"Oct 14, 2017",459.13,467.91,454.95,467.26,6,-
"Oct 10, 2017",215.38,218.72,214.66,216.97,82,-
"Oct 09, 2017",368.22,370.19,206.38,215.39,81,-
"Oct 08, 2017",367.46,368.93,367.45,368.13,18,-
"Oct 02, 2017",188.95,192.02,188.42,190.08,18,-
"Oct 01, 2017",184.11,189.03,183.79,189.03,18,-
"Sep 24, 2017",155.33,155.33,149.19,150.82,74,-
"Sep 23, 2017",144.29,155.34,142.91,155.34,76,-
"Sep 22, 2017",143.81,145.79,141.43,144.70,76,-
"Sep 20, 2017",215.25,221.03,211.51,220.53,4,-
"Sep 19, 2017",218.21,222.62,213.57,215.53,4,-
"Sep 09, 2017",216.44,220.40,210.31,215.03,4,-
"Sep 08, 2017",239.68,241.94,207.24,216.02,4,-
"Sep 07, 2017",253.86,257.63,247.49,252.46,5,-
"Sep 06, 2017",254.86,256.37,251.04,254.35,9,-
"Sep 03, 2017",230.55,232.70,230.55,231.54,"1,125",-
"Sep 02, 2017",246.15,249.08,224.65,230.41,"1,120",-
"Aug 30, 2017",229.70,232.54,224.63,228.98,137,-
"Aug 29, 2017",245.98,250.94,227.19,230.01,382,-
"Aug 28, 2017",390.89,392.10,377.78,390.50,95,-
"Aug 27, 2017",347.53,394.03,345.60,391.30,96,-
"Aug 26, 2017",519.13,519.24,342.60,347.61,252,-
"Aug 20, 2017",227.99,228.41,222.73,226.83,8,-
"Aug 19, 2017",226.59,229.49,226.59,229.06,8,-
"Aug 18, 2017",213.99,215.19,210.03,211.51,42,-
"Aug 17, 2017",216.17,224.12,209.74,214.65,43,-
"Aug 14, 2017",528.06,561.35,517.49,553.93,"4,223",-
"Aug 13, 2017",531.67,531.67,527.72,527.72,"4,023",-
"Aug 09, 2017",170.94,171.34,162.93,165.10,3,-
"Aug 08, 2017",168.91,172.80,168.41,171.05,3,-
"Jul 26, 2017",128.01,130.29,128.01,129.33,13,-
"Jul 25, 2017",138.49,138.60,122.53,127.95,13,-
"Jul 22, 2017",133.36,137.31,132.72,137.30,549,-
"Jul 21, 2017",139.82,139.82,130.88,133.39,534,-
"Jul 19, 2017",310.63,321.21,303.70,321.21,12,-
"Jul 18, 2017",111.14,321.28,108.00,310.14,11,-
"Jul 17, 2017",96.15,111.04,96.15,110.86,231,-
"Jul 16, 2017",99.26,113.48,93.70,96.25,206,-
"Jul 15, 2017",110.93,111.13,99.48,99.56,398,-
"Jul 14, 2017",316.04,317.49,107.90,111.12,400,-
"Jul 13, 2017",118.43,323.24,118.35,316.27,389,-
"Jul 12, 2017",309.04,322.21,301.08,318.57,"1,274",-
"Jul 11, 2017",312.72,312.94,310.58,310.58,"1,242",-
"Jul 09, 2017",234.50,235.42,232.24,233.64,"1,453",-
"Jul 08, 2017",230.85,234.54,229.71,234.29,"1,457",-
"Jul 07, 2017",213.06,213.45,211.25,211.52,21,-
"Jul 06, 2017",213.16,213.50,210.63,212.90,21,-
"Jul 05, 2017",362.51,513.60,212.61,213.05,18,-
"Jul 04, 2017",389.72,393.45,129.16,362.70,"11,193",-
"Jul 03, 2017",717.13,723.14,716.38,720.28,2,-
"Jul 02, 2017",200.15,719.07,197.21,718.09,15,-
"Jul 01, 2017",699.65,704.47,198.46,200.17,"2,504",-
"Jan 06, 2017",35.98,37.17,34.65,34.89,679,"42,344"
"Jan 05, 2017",32.91,47.11,32.30,35.88,698,"38,732"
"Jan 04, 2017",35.44,44.17,31.49,32.88,808,"41,710"
"Jan 03, 2017",40.86,43.84,31.09,35.45,"1,277","48,093"
"Jan 02, 2017",38.75,61.44,38.53,40.87,"1,317","45,608"
"Jan 01, 2017",57.82,63.52,38.73,38.73,"1,440","68,055"
"Dec 31, 2016",54.79,69.32,48.77,57.82,"1,960","64,484"
"Dec 30, 2016",33.98,103.56,24.40,54.78,"12,643","39,986"
"Dec 29, 2016",29.78,36.53,22.91,33.98,"1,437","35,044"
"Dec 28, 2016",32.66,37.65,28.66,29.77,297,"38,440"
