Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",2.09,2.61,2.06,2.44,"272,269","6,817,210"
"Dec 15, 2017",2.12,2.17,1.88,2.08,"91,199","6,922,760"
"Dec 14, 2017",2.06,2.31,1.96,2.06,"131,910","6,731,700"
"Dec 13, 2017",2.10,2.40,1.90,2.07,"167,047","6,861,760"
"Dec 12, 2017",1.89,2.16,1.79,2.10,"45,327","6,144,380"
"Dec 11, 2017",1.73,2.01,1.72,1.88,"35,375","5,632,600"
"Dec 10, 2017",1.98,2.01,1.69,1.74,"28,195","6,444,150"
"Dec 09, 2017",2.00,2.24,1.72,1.98,"37,208","6,497,380"
"Dec 08, 2017",1.98,2.17,1.56,1.92,"49,949","6,429,710"
"Dec 07, 2017",2.10,2.44,1.94,2.05,"59,272","6,828,080"
"Dec 06, 2017",1.93,2.19,1.86,2.11,"121,605","6,268,310"
"Dec 05, 2017",1.95,2.14,1.87,1.94,"120,249","6,318,250"
"Dec 04, 2017",1.73,1.97,1.70,1.95,"38,705","5,611,360"
"Dec 03, 2017",1.64,2.01,1.61,1.73,"60,632","5,296,990"
"Dec 02, 2017",1.59,1.68,1.53,1.64,"23,340","5,155,310"
"Dec 01, 2017",1.46,1.63,1.40,1.60,"22,248","4,711,010"
"Nov 30, 2017",1.51,1.61,1.30,1.47,"31,984","4,867,760"
"Nov 29, 2017",1.74,1.85,1.41,1.49,"30,153","5,620,170"
"Nov 28, 2017",1.76,1.82,1.69,1.74,"43,754","5,680,270"
"Nov 27, 2017",1.71,1.84,1.70,1.79,"31,268","5,509,300"
"Nov 26, 2017",1.62,1.76,1.60,1.71,"43,861","5,204,110"
"Nov 25, 2017",1.55,1.64,1.48,1.62,"37,690","4,990,250"
"Nov 24, 2017",1.46,1.61,1.46,1.56,"20,176","4,705,950"
"Nov 23, 2017",1.55,1.56,1.44,1.47,"17,071","4,969,950"
"Nov 22, 2017",1.49,1.57,1.45,1.55,"15,948","4,772,330"
"Nov 21, 2017",1.57,1.57,1.42,1.44,"18,296","5,021,660"
"Nov 20, 2017",1.54,1.59,1.51,1.57,"14,687","4,918,860"
