Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001236,0.001374,0.001220,0.001363,2,"47,810"
"Dec 09, 2017",0.001626,0.001650,0.001591,0.001594,2,"62,892"
"Dec 08, 2017",0.001736,0.001761,0.001408,0.001628,2,"67,113"
"Dec 07, 2017",0.001406,0.001731,0.001356,0.001731,2,"54,381"
"Dec 05, 2017",0.001166,0.001170,0.001157,0.001163,5,"45,074"
"Dec 04, 2017",0.001012,0.001163,0.001011,0.001163,5,"39,124"
"Dec 03, 2017",0.000984,0.001065,0.000953,0.001008,958,"38,045"
"Dec 02, 2017",0.000980,0.001106,0.000968,0.000983,21,"37,881"
"Dec 01, 2017",0.000885,0.000986,0.000882,0.000980,64,"34,213"
"Nov 30, 2017",0.000885,0.000962,0.000810,0.000886,9,"34,206"
"Nov 29, 2017",0.000993,0.001087,0.000818,0.000871,14,"38,391"
"Nov 28, 2017",0.000878,0.000998,0.000869,0.000994,3,"33,951"
"Nov 27, 2017",0.000867,0.000877,0.000865,0.000876,2,"33,519"
"Nov 24, 2017",0.000723,0.000728,0.000710,0.000728,12,"27,971"
"Nov 23, 2017",0.000742,0.000743,0.000724,0.000724,12,"28,709"
"Nov 21, 2017",0.000742,0.000743,0.000702,0.000737,33,"28,682"
"Nov 20, 2017",0.000643,0.000746,0.000642,0.000742,38,"24,883"
"Nov 19, 2017",0.000623,0.000702,0.000616,0.000644,4,"24,089"
"Nov 18, 2017",0.000615,0.000702,0.000596,0.000624,2,"23,779"
"Nov 17, 2017",0.000632,0.000632,0.000609,0.000617,8,"24,427"
"Nov 15, 2017",0.000529,0.000579,0.000529,0.000579,41,"20,454"
"Nov 14, 2017",0.000588,0.000605,0.000520,0.000529,37,"22,729"
"Nov 13, 2017",0.000411,0.000605,0.000408,0.000587,6,"15,892"
"Nov 12, 2017",0.000504,0.000515,0.000396,0.000410,18,"19,494"
"Nov 11, 2017",0.000526,0.000545,0.000525,0.000537,1,"20,340"
"Nov 10, 2017",0.000570,0.000581,0.000516,0.000528,1,"22,054"
"Nov 09, 2017",0.000597,0.000597,0.000564,0.000569,2,"23,101"
"Nov 08, 2017",0.000427,0.000980,0.000424,0.000598,33,"16,511"
"Nov 07, 2017",0.000428,0.000428,0.000421,0.000428,101,"16,539"
"Nov 02, 2017",0.000807,0.000877,0.000807,0.000849,17,"31,223"
"Nov 01, 2017",0.000580,0.000808,0.000573,0.000807,16,"22,427"
"Oct 31, 2017",0.000735,0.000739,0.000579,0.000580,63,"28,435"
"Oct 30, 2017",0.000739,0.000744,0.000671,0.000738,93,"28,570"
"Oct 29, 2017",0.000744,0.000761,0.000696,0.000743,10,"28,780"
"Oct 28, 2017",0.000749,0.000763,0.000745,0.000754,8,"28,973"
"Oct 27, 2017",0.000761,0.000770,0.000741,0.000747,7,"29,440"
"Oct 26, 2017",0.000688,0.000695,0.000684,0.000688,5,"26,610"
"Oct 25, 2017",0.000717,0.000726,0.000654,0.000688,5,"27,741"
"Oct 24, 2017",0.000704,0.000749,0.000676,0.000717,8,"27,218"
"Oct 23, 2017",0.000715,0.000728,0.000680,0.000705,14,"27,664"
"Oct 22, 2017",0.000782,0.000789,0.000747,0.000775,1,"30,231"
"Oct 21, 2017",0.000781,0.000795,0.000767,0.000782,1,"30,188"
"Oct 20, 2017",0.000740,0.000794,0.000731,0.000782,1,"28,633"
"Oct 17, 2017",0.000693,0.000695,0.000664,0.000671,1,"26,817"
"Oct 16, 2017",0.000682,0.000802,0.000668,0.000693,11,"26,354"
"Oct 15, 2017",0.000761,0.000763,0.000715,0.000718,3,"29,415"
"Oct 14, 2017",0.000735,0.000760,0.000732,0.000759,3,"28,432"
"Oct 10, 2017",0.000574,0.000583,0.000572,0.000580,112,"22,210"
"Oct 09, 2017",0.000736,0.000830,0.000556,0.000574,120,"28,478"
"Oct 08, 2017",0.000844,0.000849,0.000727,0.000736,1,"32,648"
"Oct 07, 2017",0.000700,0.000849,0.000694,0.000847,4,"27,080"
"Oct 03, 2017",0.000881,0.000886,0.000849,0.000858,2,"34,051"
"Oct 02, 2017",0.000705,0.000884,0.000701,0.000881,3,"27,278"
"Sep 24, 2017",0.000644,0.000644,0.000619,0.000627,0,"24,905"
"Sep 23, 2017",0.000644,0.000645,0.000633,0.000644,0,"24,920"
"Sep 22, 2017",0.000688,0.000705,0.000687,0.000705,8,"26,603"
"Sep 21, 2017",0.000727,0.000742,0.000682,0.000689,7,"28,119"
"Sep 18, 2017",0.000739,0.000820,0.000739,0.000804,3,"28,578"
