Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.729692,0.755407,0.678015,0.710340,"294,728",-
"Dec 15, 2017",0.663450,0.776993,0.663324,0.728644,"654,594",-
"Dec 14, 2017",0.762474,0.791597,0.660276,0.662467,"543,019",-
"Dec 13, 2017",0.838537,0.848675,0.742641,0.764917,"336,902",-
"Dec 12, 2017",0.941279,0.948878,0.826674,0.837899,"271,221",-
"Dec 11, 2017",0.878354,1.01,0.875311,0.939307,"370,019",-
"Dec 10, 2017",0.903832,1.08,0.805185,0.883426,"474,095",-
"Dec 09, 2017",0.829364,1.08,0.723444,0.900194,"698,665",-
"Dec 08, 2017",0.870952,0.943465,0.664987,0.830191,"420,738",-
"Dec 07, 2017",0.771102,0.922569,0.712868,0.868936,"305,431",-
"Dec 06, 2017",0.631244,0.886849,0.483087,0.772404,"638,282",-
"Dec 05, 2017",0.859185,0.892582,0.544861,0.632418,"39,608",-
"Dec 04, 2017",0.921066,0.941476,0.685895,0.857957,"467,602",-
"Dec 03, 2017",0.857701,1.13,0.852008,0.918032,"581,234",-
"Dec 02, 2017",0.900231,0.926411,0.855144,0.856882,"326,069",-
"Dec 01, 2017",0.857908,0.906464,0.752600,0.900997,"404,467",-
"Nov 30, 2017",0.891942,0.969110,0.771852,0.862171,"133,021",-
"Nov 29, 2017",1.02,1.15,0.774567,0.878628,"224,662",-
"Nov 28, 2017",1.16,1.31,0.764501,1.03,"944,640",-
"Nov 27, 2017",0.979736,1.23,0.870336,1.16,"282,251",-
"Nov 26, 2017",0.962387,1.12,0.944564,0.979550,"331,825",-
"Nov 25, 2017",0.998450,1.02,0.782469,0.962705,"387,499",-
"Nov 24, 2017",0.881026,1.09,0.873697,1.00,"599,874",-
"Nov 23, 2017",0.987917,1.03,0.882232,0.882232,"455,422",-
"Nov 22, 2017",1.06,1.14,0.966364,0.988232,"472,156",-
"Nov 21, 2017",0.939194,1.30,0.853658,1.05,"1,115,350",-
"Nov 20, 2017",1.01,1.03,0.931292,0.939069,"452,757",-
"Nov 19, 2017",0.988733,1.04,0.971239,1.01,"390,541",-
"Nov 18, 2017",1.02,1.04,0.877900,0.990585,"284,848",-
"Nov 17, 2017",1.05,1.09,0.993157,1.03,"639,483",-
"Nov 16, 2017",1.08,1.25,0.999124,1.05,"948,465",-
"Nov 15, 2017",0.655118,1.32,0.654220,1.08,"1,353,060",-
"Nov 14, 2017",0.758598,0.768229,0.644438,0.649152,"402,970",-
"Nov 13, 2017",0.690106,0.760442,0.576053,0.757575,"569,916",-
"Nov 12, 2017",0.842680,0.842680,0.554748,0.689128,"613,344",-
"Nov 11, 2017",0.747636,0.860926,0.620432,0.852385,"535,546",-
"Nov 10, 2017",0.744619,0.783958,0.646887,0.750231,"829,595",-
"Nov 09, 2017",0.821310,0.821633,0.721971,0.742435,"950,945",-
"Nov 08, 2017",0.875497,1.24,0.734159,0.822154,"1,083,370",-
"Nov 07, 2017",1.06,1.13,0.871852,0.878252,"659,371",-
"Nov 06, 2017",1.09,1.26,1.05,1.06,"1,034,860",-
"Nov 05, 2017",0.954906,1.65,0.948528,1.09,"1,319,310",-
"Nov 04, 2017",1.15,2.07,0.665862,0.956626,"903,591",-
"Nov 03, 2017",0.508476,4.05,0.493278,0.874112,"1,109,530",-
"Nov 02, 2017",0.521910,0.555384,0.481227,0.508754,"24,836",-
"Nov 01, 2017",0.504888,0.532307,0.449104,0.521530,"39,809",-
"Oct 31, 2017",0.506908,0.545951,0.473315,0.505258,"17,527",-
"Oct 30, 2017",0.485264,0.557098,0.482108,0.508298,"31,908",-
"Oct 29, 2017",0.556260,0.612325,0.486369,0.487316,"102,125",-
"Oct 28, 2017",0.467655,0.585163,0.467085,0.556865,"93,564",-
"Oct 27, 2017",0.508306,0.554295,0.466569,0.466890,"33,347",-
"Oct 26, 2017",0.517426,0.530590,0.492166,0.508275,"12,171",-
"Oct 25, 2017",0.422531,0.519537,0.385873,0.517508,"100,713",-
"Oct 24, 2017",0.510816,0.533668,0.418541,0.422362,711,-
"Oct 23, 2017",0.485909,0.524004,0.476158,0.511265,"26,992",-
"Oct 22, 2017",0.507417,0.513294,0.468878,0.486419,"51,021",-
"Oct 21, 2017",0.532149,0.542442,0.507264,0.507264,"11,238",-
"Oct 20, 2017",0.524393,0.558374,0.519637,0.532519,"72,240",-
"Oct 19, 2017",0.476500,0.541643,0.444407,0.524246,"197,391",-
"Oct 18, 2017",0.547102,0.547117,0.454052,0.476258,"27,938",-
"Oct 17, 2017",0.530286,0.580685,0.508381,0.547065,"44,080",-
"Oct 16, 2017",0.581469,0.587597,0.523357,0.530204,"220,368",-
"Oct 15, 2017",0.593315,0.598463,0.555172,0.581391,"16,852",-
"Oct 14, 2017",0.568174,0.593076,0.560862,0.592256,"46,624",-
"Oct 13, 2017",0.584168,0.636287,0.560416,0.568021,"88,276",-
"Oct 12, 2017",0.551408,0.585443,0.527317,0.582374,"22,492",-
"Oct 11, 2017",0.579218,0.580838,0.543091,0.550942,"71,631",-
"Oct 10, 2017",0.594933,0.614904,0.575095,0.579315,"276,280",-
"Oct 09, 2017",0.538204,0.597633,0.532953,0.594976,"91,697",-
"Oct 08, 2017",0.543054,0.570904,0.536122,0.538067,"144,085",-
"Oct 07, 2017",0.534010,0.551479,0.525217,0.544509,"37,814",-
"Oct 06, 2017",0.513653,0.556070,0.512627,0.533839,"105,191",-
"Oct 05, 2017",0.508674,0.530334,0.500494,0.513646,"4,945",-
"Oct 04, 2017",0.542121,0.543376,0.508216,0.508225,"14,853",-
