Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000083,0.000096,0.000040,0.000051,453,"116,979"
"Dec 15, 2017",0.000095,0.000098,0.000083,0.000083,107,"134,325"
"Dec 14, 2017",0.000147,0.000155,0.000091,0.000094,351,"207,833"
"Dec 13, 2017",0.000144,0.000194,0.000134,0.000147,"1,341","203,865"
"Dec 12, 2017",0.000165,0.000169,0.000108,0.000144,808,"232,944"
"Dec 11, 2017",0.000126,0.000170,0.000107,0.000164,328,"178,238"
"Dec 10, 2017",0.000128,0.000136,0.000112,0.000128,144,"180,836"
"Dec 09, 2017",0.000124,0.000130,0.000056,0.000128,89,"175,165"
"Dec 08, 2017",0.000150,0.000151,0.000053,0.000124,153,"212,547"
"Dec 07, 2017",0.000137,0.000243,0.000131,0.000150,396,"193,089"
"Dec 06, 2017",0.000144,0.000248,0.000127,0.000136,267,"203,437"
"Dec 05, 2017",0.000117,0.000145,0.000115,0.000144,"1,476","164,768"
"Dec 04, 2017",0.000112,0.000222,0.000109,0.000116,874,"158,881"
"Dec 03, 2017",0.000213,0.000215,0.000106,0.000112,"2,184","301,854"
"Dec 02, 2017",0.000109,0.000215,0.000104,0.000213,"2,817","153,883"
"Dec 01, 2017",0.000098,0.000110,0.000094,0.000109,503,"138,863"
"Nov 30, 2017",0.000099,0.000106,0.000089,0.000099,823,"140,621"
"Nov 29, 2017",0.000189,0.000212,0.000091,0.000098,"1,408","266,907"
"Nov 28, 2017",0.000096,0.000189,0.000096,0.000189,"3,958","136,352"
"Nov 27, 2017",0.000086,0.000183,0.000080,0.000096,"1,453","121,707"
"Nov 26, 2017",0.000088,0.000091,0.000085,0.000086,470,"123,823"
"Nov 25, 2017",0.000082,0.000139,0.000082,0.000088,127,"116,199"
"Nov 24, 2017",0.000081,0.000165,0.000081,0.000082,280,"113,867"
"Nov 23, 2017",0.000104,0.000159,0.000081,0.000081,"4,292","147,226"
"Nov 22, 2017",0.000084,0.000161,0.000082,0.000106,403,"118,631"
"Nov 21, 2017",0.000139,0.000139,0.000083,0.000084,254,"196,296"
"Nov 20, 2017",0.000080,0.000165,0.000080,0.000139,542,"113,825"
"Nov 19, 2017",0.000087,0.000087,0.000077,0.000081,"1,511","122,373"
"Nov 18, 2017",0.000095,0.000175,0.000085,0.000086,866,"134,357"
"Nov 17, 2017",0.000079,0.000158,0.000078,0.000095,340,"111,216"
"Nov 16, 2017",0.000134,0.000154,0.000072,0.000079,"2,889","190,172"
"Nov 15, 2017",0.000070,0.000134,0.000070,0.000134,470,"99,594"
"Nov 14, 2017",0.000065,0.000129,0.000064,0.000070,59,"92,235"
"Nov 13, 2017",0.000110,0.000131,0.000061,0.000065,"1,402","154,858"
"Nov 12, 2017",0.000126,0.000126,0.000058,0.000109,521,"177,925"
"Nov 11, 2017",0.000131,0.000135,0.000064,0.000126,"1,469","184,870"
"Nov 10, 2017",0.000071,0.000136,0.000065,0.000131,"3,258","100,447"
"Nov 09, 2017",0.000076,0.000146,0.000071,0.000071,"1,193","107,812"
"Nov 08, 2017",0.000071,0.000078,0.000071,0.000076,572,"100,623"
"Nov 07, 2017",0.000068,0.000072,0.000068,0.000071,"2,173","96,049"
"Nov 06, 2017",0.000073,0.000136,0.000065,0.000068,"2,225","103,116"
"Nov 05, 2017",0.000061,0.000073,0.000059,0.000073,639,"85,814"
"Nov 04, 2017",0.000081,0.000081,0.000060,0.000060,434,"114,143"
"Nov 03, 2017",0.000066,0.000123,0.000065,0.000081,731,"93,103"
"Nov 02, 2017",0.000067,0.000073,0.000066,0.000066,665,"94,593"
"Nov 01, 2017",0.000064,0.000112,0.000064,0.000067,760,"90,914"
"Oct 31, 2017",0.000122,0.000123,0.000063,0.000064,467,"173,126"
"Oct 30, 2017",0.000084,0.000123,0.000061,0.000123,"8,137","118,713"
"Oct 29, 2017",0.000058,0.000086,0.000058,0.000085,"7,129","82,379"
"Oct 28, 2017",0.000063,0.000116,0.000057,0.000058,"10,316","88,657"
"Oct 27, 2017",0.000113,0.000194,0.000063,0.000063,203,"160,168"
"Oct 26, 2017",0.000119,0.000126,0.000089,0.000113,218,"168,786"
"Oct 25, 2017",0.000060,0.000120,0.000055,0.000119,"2,422","85,490"
"Oct 24, 2017",0.000089,0.000115,0.000057,0.000060,73,"125,425"
