Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",2.45,3.00,2.44,2.91,"20,847,000","256,181,000"
"Dec 15, 2017",2.56,2.57,2.16,2.45,"10,062,700","267,593,000"
"Dec 14, 2017",2.34,2.64,2.29,2.57,"12,869,900","245,366,000"
"Dec 13, 2017",2.22,2.43,2.08,2.38,"10,059,800","232,633,000"
"Dec 12, 2017",2.13,2.32,2.05,2.22,"10,193,500","223,082,000"
"Dec 11, 2017",1.93,2.29,1.91,2.11,"6,871,600","201,597,000"
"Dec 10, 2017",2.16,2.16,1.80,1.95,"5,839,650","225,891,000"
"Dec 09, 2017",2.34,2.34,1.92,2.15,"6,269,350","245,086,000"
"Dec 08, 2017",1.96,2.44,1.87,2.35,"8,592,790","204,718,000"
"Dec 07, 2017",2.23,2.42,1.92,1.94,"11,229,200","233,168,000"
"Dec 06, 2017",2.64,2.66,2.23,2.25,"12,131,500","276,385,000"
"Dec 05, 2017",2.70,2.95,2.59,2.66,"17,721,300","282,641,000"
"Dec 04, 2017",2.39,2.73,2.36,2.70,"9,442,190","249,682,000"
"Dec 03, 2017",2.35,2.49,2.22,2.38,"5,821,760","245,476,000"
"Dec 02, 2017",2.40,2.43,2.23,2.34,"4,476,150","250,880,000"
"Dec 01, 2017",2.14,2.39,1.97,2.39,"4,928,220","223,874,000"
"Nov 30, 2017",2.07,2.33,1.88,2.15,"6,059,510","217,071,000"
"Nov 29, 2017",2.67,2.91,1.92,2.04,"13,209,400","279,232,000"
"Nov 28, 2017",2.37,2.74,2.29,2.68,"13,254,900","247,669,000"
"Nov 27, 2017",2.33,2.39,2.16,2.36,"6,787,580","244,349,000"
"Nov 26, 2017",2.01,2.37,2.01,2.34,"9,158,000","210,669,000"
"Nov 25, 2017",1.89,2.04,1.86,2.01,"3,554,900","198,005,000"
"Nov 24, 2017",1.88,1.93,1.82,1.90,"2,940,540","196,284,000"
"Nov 23, 2017",1.89,1.93,1.85,1.88,"3,252,390","198,182,000"
"Nov 22, 2017",1.86,1.95,1.84,1.91,"3,539,160","195,042,000"
"Nov 21, 2017",1.98,2.05,1.70,1.87,"6,465,280","206,906,000"
"Nov 20, 2017",1.67,2.35,1.66,1.99,"17,108,600","174,402,000"
"Nov 19, 2017",1.71,1.73,1.63,1.67,"2,376,050","178,982,000"
"Nov 18, 2017",1.64,1.75,1.58,1.71,"2,325,690","171,429,000"
"Nov 17, 2017",1.64,1.67,1.56,1.64,"2,184,110","171,594,000"
"Nov 16, 2017",1.66,1.71,1.60,1.65,"2,465,150","173,477,000"
"Nov 15, 2017",1.69,1.73,1.62,1.64,"2,120,990","177,381,000"
"Nov 14, 2017",1.64,1.71,1.57,1.71,"1,972,060","171,936,000"
"Nov 13, 2017",1.54,1.69,1.53,1.64,"1,939,190","160,912,000"
"Nov 12, 2017",1.68,1.70,1.41,1.54,"2,781,570","176,060,000"
"Nov 11, 2017",1.73,1.82,1.69,1.70,"1,556,640","181,557,000"
"Nov 10, 2017",1.99,2.08,1.66,1.74,"3,848,040","208,425,000"
"Nov 09, 2017",1.90,2.04,1.83,1.98,"3,661,920","199,379,000"
"Nov 08, 2017",1.69,1.99,1.63,1.90,"3,642,740","176,875,000"
"Nov 07, 2017",1.60,1.73,1.59,1.70,"1,840,750","167,903,000"
"Nov 06, 2017",1.63,1.66,1.55,1.60,"1,778,150","170,162,000"
"Nov 05, 2017",1.64,1.67,1.55,1.61,"1,473,870","172,007,000"
"Nov 04, 2017",1.72,1.72,1.62,1.64,"1,288,170","179,649,000"
"Nov 03, 2017",1.54,1.81,1.54,1.73,"3,130,570","161,099,000"
"Nov 02, 2017",1.51,1.57,1.41,1.54,"3,165,970","158,432,000"
"Nov 01, 2017",1.78,1.79,1.52,1.52,"3,436,630","186,362,000"
"Oct 31, 2017",1.77,1.84,1.75,1.78,"1,749,920","185,261,000"
"Oct 30, 2017",1.71,1.82,1.69,1.78,"1,515,540","178,539,000"
"Oct 29, 2017",1.73,1.81,1.70,1.71,"1,600,250","181,261,000"
"Oct 28, 2017",1.81,1.83,1.72,1.73,"877,822","189,057,000"
"Oct 27, 2017",1.80,1.84,1.74,1.80,"1,353,430","187,876,000"
"Oct 26, 2017",1.81,1.95,1.76,1.79,"1,999,040","189,557,000"
"Oct 25, 2017",1.88,1.92,1.75,1.82,"1,537,370","196,494,000"
"Oct 24, 2017",1.70,1.97,1.65,1.87,"3,257,940","177,877,000"
"Oct 23, 2017",1.76,1.79,1.62,1.70,"1,626,990","184,311,000"
"Oct 22, 2017",1.79,1.85,1.72,1.78,"1,364,770","187,671,000"
"Oct 21, 2017",1.80,1.82,1.66,1.79,"1,803,770","187,989,000"
"Oct 20, 2017",1.94,2.02,1.76,1.76,"2,239,300","203,351,000"
"Oct 19, 2017",1.98,2.08,1.90,1.95,"2,116,140","207,425,000"
"Oct 18, 2017",1.86,2.01,1.80,1.99,"3,166,310","194,536,000"
"Oct 17, 2017",1.93,1.95,1.79,1.85,"1,935,210","202,485,000"
"Oct 16, 2017",1.93,1.98,1.81,1.93,"1,765,220","202,249,000"
"Oct 15, 2017",1.91,1.99,1.79,1.93,"2,014,170","199,668,000"
"Oct 14, 2017",1.96,2.00,1.84,1.90,"1,953,950","205,649,000"
"Oct 13, 2017",2.07,2.07,1.93,1.97,"3,008,780","216,959,000"
"Oct 12, 2017",2.19,2.25,2.01,2.07,"3,646,780","229,278,000"
"Oct 11, 2017",2.03,2.27,1.98,2.19,"3,066,290","212,143,000"
"Oct 10, 2017",1.87,2.06,1.85,2.04,"2,615,710","196,224,000"
"Oct 09, 2017",1.87,2.03,1.81,1.88,"3,114,140","196,112,000"
"Oct 08, 2017",2.12,2.13,1.84,1.88,"3,127,350","221,967,000"
"Oct 07, 2017",2.18,2.19,2.06,2.13,"1,399,150","228,600,000"
"Oct 06, 2017",2.13,2.31,2.11,2.19,"1,841,650","222,831,000"
"Oct 05, 2017",2.19,2.20,1.95,2.12,"2,960,440","229,425,000"
"Oct 04, 2017",2.37,2.38,2.11,2.19,"2,734,090","247,936,000"
"Oct 03, 2017",2.42,2.49,2.25,2.36,"2,411,880","252,767,000"
"Oct 02, 2017",2.73,2.75,2.41,2.42,"3,960,140","286,130,000"
"Oct 01, 2017",2.70,2.80,2.57,2.73,"3,566,410","282,157,000"
"Sep 30, 2017",2.50,2.71,2.49,2.69,"2,678,700","262,043,000"
"Sep 29, 2017",2.75,2.75,2.35,2.50,"4,474,950","288,115,000"
"Sep 28, 2017",3.08,3.11,2.56,2.78,"8,056,480","322,714,000"
"Sep 27, 2017",2.50,3.10,2.50,3.09,"9,783,940","261,987,000"
"Sep 26, 2017",2.32,2.73,2.29,2.51,"8,809,800","243,071,000"
"Sep 25, 2017",2.07,2.45,2.05,2.32,"5,107,580","216,610,000"
"Sep 24, 2017",2.09,2.16,2.01,2.06,"2,556,770","218,457,000"
"Sep 23, 2017",2.01,2.24,1.95,2.08,"5,925,450","210,564,000"
"Sep 22, 2017",1.61,2.41,1.58,2.01,"20,251,500","168,761,000"
"Sep 21, 2017",1.87,1.87,1.55,1.61,"3,126,050","195,509,000"
"Sep 20, 2017",1.98,2.01,1.80,1.87,"3,408,460","206,955,000"
"Sep 19, 2017",2.19,2.20,1.92,1.98,"3,948,150","229,159,000"
"Sep 18, 2017",2.06,2.33,2.06,2.18,"3,764,930","215,784,000"
"Sep 17, 2017",2.16,2.18,1.93,2.06,"1,812,480","226,442,000"
"Sep 16, 2017",2.22,2.27,1.97,2.17,"3,924,690","232,609,000"
"Sep 15, 2017",1.73,2.22,1.34,2.22,"7,176,660","180,783,000"
"Sep 14, 2017",2.34,2.37,1.73,1.74,"5,434,480","244,994,000"
"Sep 13, 2017",2.51,2.54,2.17,2.33,"4,374,450","262,647,000"
"Sep 12, 2017",2.56,2.86,2.46,2.53,"6,993,150","268,266,000"
"Sep 11, 2017",2.60,2.65,2.48,2.55,"3,785,740","272,602,000"
"Sep 10, 2017",2.68,2.72,2.37,2.57,"5,583,990","280,382,000"
