Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,97,-
"Dec 15, 2017",0.000175,0.000181,0.000173,0.000176,39,-
"Dec 13, 2017",0.000167,0.000167,0.000165,0.000166,17,-
"Dec 10, 2017",0.000150,0.000150,0.000132,0.000141,7,-
"Dec 09, 2017",0.000163,0.000165,0.000135,0.000150,7,-
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,3,-
"Dec 07, 2017",0.000151,0.000173,0.000151,0.000173,35,-
"Nov 25, 2017",0.000082,0.000086,0.000082,0.000086,9,-
"Nov 24, 2017",0.000080,0.000083,0.000079,0.000082,8,-
"Nov 23, 2017",0.000082,0.000083,0.000080,0.000080,8,-
"Nov 22, 2017",0.000082,0.000083,0.000081,0.000082,8,-
"Nov 13, 2017",0.000059,0.000067,0.000058,0.000065,6,-
"Nov 12, 2017",0.000064,0.000064,0.000055,0.000059,5,-
"Nov 11, 2017",0.000063,0.000065,0.000062,0.000064,2,-
"Nov 10, 2017",0.000071,0.000073,0.000071,0.000072,8,-
"Nov 09, 2017",0.000072,0.000073,0.000071,0.000071,7,-
"Nov 07, 2017",0.000070,0.000072,0.000070,0.000071,1,-
"Nov 06, 2017",0.000072,0.000073,0.000069,0.000070,1,-
"Nov 03, 2017",0.000070,0.000075,0.000069,0.000073,6,-
"Nov 02, 2017",0.000070,0.000071,0.000069,0.000070,11,-
"Oct 31, 2017",0.000061,0.000062,0.000061,0.000061,3,-
"Oct 30, 2017",0.000061,0.000062,0.000060,0.000061,180,-
"Oct 29, 2017",0.000057,0.000059,0.000057,0.000058,1,-
"Oct 28, 2017",0.000057,0.000058,0.000057,0.000057,1,-
"Oct 25, 2017",0.000055,0.000056,0.000054,0.000056,1,-
"Oct 24, 2017",0.000059,0.000059,0.000055,0.000055,6,-
"Oct 23, 2017",0.000057,0.000060,0.000057,0.000059,18,-
"Oct 21, 2017",0.000060,0.000061,0.000060,0.000061,7,-
"Oct 20, 2017",0.000057,0.000061,0.000056,0.000060,7,-
"Oct 19, 2017",0.000056,0.000057,0.000055,0.000057,6,-
"Oct 18, 2017",0.000056,0.000056,0.000051,0.000056,1,-
"Oct 17, 2017",0.000058,0.000058,0.000055,0.000056,22,-
"Oct 16, 2017",0.000057,0.000058,0.000056,0.000057,1,-
"Oct 15, 2017",0.000055,0.000057,0.000055,0.000057,58,-
"Oct 14, 2017",0.000057,0.000057,0.000056,0.000056,35,-
"Oct 13, 2017",0.000054,0.000059,0.000054,0.000057,35,-
"Oct 12, 2017",0.000048,0.000054,0.000048,0.000054,34,-
"Oct 11, 2017",0.000048,0.000049,0.000047,0.000048,31,-
"Oct 10, 2017",0.000049,0.000049,0.000047,0.000048,13,-
"Oct 09, 2017",0.000046,0.000049,0.000046,0.000048,8,-
"Oct 08, 2017",0.000044,0.000046,0.000044,0.000046,51,-
"Oct 07, 2017",0.000044,0.000045,0.000043,0.000045,519,-
"Oct 06, 2017",0.000043,0.000044,0.000043,0.000044,"1,405",-
"Oct 05, 2017",0.000042,0.000044,0.000042,0.000043,695,-
"Oct 04, 2017",0.000043,0.000085,0.000042,0.000042,969,-
"Oct 03, 2017",0.000088,0.000089,0.000043,0.000043,917,-
"Oct 02, 2017",0.000132,0.000177,0.000044,0.000088,"40,819",-
"Oct 01, 2017",0.000043,0.000176,0.000043,0.000132,"20,489",-
"Sep 30, 2017",0.000083,0.000087,0.000043,0.000043,"4,939",-
"Sep 29, 2017",0.000042,0.000085,0.000041,0.000083,"2,499",-
"Sep 28, 2017",0.000084,0.000128,0.000043,0.000084,"2,451",-
