Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",5.03,6.03,4.99,5.98,"755,714",-
"Dec 15, 2017",4.44,5.28,4.44,5.00,"972,025",-
"Dec 14, 2017",4.03,4.44,3.94,4.44,"582,458",-
"Dec 13, 2017",4.30,4.37,3.98,4.07,"692,505",-
"Dec 12, 2017",3.90,4.34,3.84,4.30,"838,919",-
"Dec 11, 2017",3.45,3.97,3.27,3.87,"735,963",-
"Dec 10, 2017",3.42,3.65,3.01,3.45,"923,580",-
"Dec 09, 2017",3.83,3.93,3.15,3.41,"866,925",-
"Dec 08, 2017",3.78,3.95,3.32,3.82,"924,748",-
"Dec 07, 2017",3.30,3.78,3.09,3.78,"463,861",-
"Dec 06, 2017",2.79,3.72,2.79,3.31,"708,488",-
"Dec 05, 2017",2.67,2.84,2.65,2.80,"496,599",-
"Dec 04, 2017",2.72,2.78,2.55,2.67,"643,893",-
"Dec 03, 2017",2.48,2.88,2.47,2.72,"511,950",-
"Dec 02, 2017",2.42,2.52,2.38,2.49,"463,783",-
"Dec 01, 2017",2.19,2.42,2.07,2.42,"530,200",-
"Nov 30, 2017",2.06,2.29,1.95,2.19,"340,965",-
"Nov 29, 2017",2.13,2.40,1.94,2.06,"412,355",-
"Nov 28, 2017",2.18,2.26,2.07,2.13,"504,296",-
"Nov 27, 2017",2.18,2.26,2.03,2.17,"391,622",-
"Nov 26, 2017",2.02,2.21,2.02,2.17,"799,362",-
"Nov 25, 2017",1.95,2.21,1.93,2.03,"589,199",-
"Nov 24, 2017",2.02,2.11,1.85,1.98,"787,662",-
"Nov 23, 2017",2.29,2.39,2.02,2.02,"321,518",-
"Nov 22, 2017",1.73,2.43,1.72,2.32,"853,953",-
"Nov 21, 2017",1.75,1.77,1.68,1.72,"295,924",-
"Nov 20, 2017",1.71,1.77,1.69,1.75,"287,842",-
"Nov 19, 2017",1.68,1.73,1.64,1.72,"255,118",-
"Nov 18, 2017",1.64,1.71,1.62,1.69,"187,698",-
"Nov 17, 2017",1.65,1.70,1.63,1.65,"271,884",-
"Nov 16, 2017",1.62,1.68,1.53,1.66,"386,974",-
"Nov 15, 2017",1.56,1.66,1.54,1.61,"178,352",-
"Nov 14, 2017",1.45,1.59,1.45,1.56,"372,245",-
"Nov 13, 2017",1.50,1.56,1.40,1.46,"390,003",-
"Nov 12, 2017",1.58,1.60,1.44,1.48,"278,535",-
"Nov 11, 2017",1.55,1.63,1.51,1.58,"500,045",-
"Nov 10, 2017",1.73,1.79,1.51,1.56,"507,916",-
"Nov 09, 2017",1.62,1.77,1.56,1.71,"506,992",-
"Nov 08, 2017",1.72,1.76,1.61,1.62,"603,375",-
"Nov 07, 2017",1.56,1.85,1.52,1.72,"599,851",-
"Nov 06, 2017",1.70,1.78,1.55,1.55,"504,421",-
"Nov 05, 2017",1.78,1.81,1.69,1.70,"338,133",-
"Nov 04, 2017",1.75,1.88,1.75,1.77,"567,026",-
"Nov 03, 2017",1.62,1.78,1.59,1.74,"642,585",-
"Nov 02, 2017",1.72,1.75,1.49,1.61,"701,330",-
"Nov 01, 2017",1.73,1.80,1.65,1.72,"486,612",-
"Oct 31, 2017",1.74,1.82,1.66,1.75,"714,885",-
"Oct 30, 2017",1.74,1.86,1.72,1.75,"666,903",-
"Oct 29, 2017",1.80,1.83,1.70,1.75,"571,833",-
"Oct 28, 2017",1.77,1.85,1.74,1.80,"353,571",-
"Oct 27, 2017",1.79,1.86,1.78,1.78,"283,231",-
"Oct 26, 2017",1.78,1.80,1.72,1.79,"215,177",-
"Oct 25, 2017",1.84,1.88,1.72,1.78,"185,990",-
"Oct 24, 2017",1.71,1.98,1.67,1.84,"391,817",-
"Oct 23, 2017",1.67,1.80,1.66,1.72,"437,565",-
"Oct 22, 2017",1.82,1.90,1.63,1.68,"568,426",-
"Oct 21, 2017",1.89,1.96,1.64,1.82,"662,759",-
"Oct 20, 2017",2.00,2.24,1.82,1.89,"869,169",-
"Oct 19, 2017",2.29,2.50,1.70,2.03,"1,489,370",-
"Oct 18, 2017",2.50,2.52,2.25,2.28,"1,072,900",-
"Oct 17, 2017",2.57,2.63,2.36,2.50,"1,080,100",-
"Oct 16, 2017",2.48,2.64,2.41,2.59,"478,468",-
"Oct 15, 2017",2.64,2.79,2.40,2.50,"339,115",-
"Oct 14, 2017",2.45,2.66,2.41,2.62,"649,276",-
"Oct 13, 2017",2.49,2.51,2.34,2.44,"691,607",-
"Oct 12, 2017",2.25,2.48,2.25,2.47,"460,146",-
"Oct 11, 2017",2.29,2.33,2.23,2.26,"484,819",-
"Oct 10, 2017",2.30,2.39,2.10,2.32,"799,158",-
"Oct 09, 2017",2.34,2.44,2.12,2.32,"751,712",-
"Oct 08, 2017",2.40,2.46,2.32,2.35,"466,671",-
"Oct 07, 2017",2.18,2.44,2.18,2.38,"453,749",-
"Oct 06, 2017",2.11,2.20,2.10,2.18,"524,678",-
"Oct 05, 2017",2.18,2.19,1.96,2.13,"501,729",-
"Oct 04, 2017",1.88,2.18,1.88,2.15,"476,292",-
"Oct 03, 2017",1.90,2.07,1.76,1.92,"476,488",-
"Oct 02, 2017",1.66,1.96,1.66,1.85,"459,394",-
