Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000703,0.000721,0.000528,0.000585,136,-
"Dec 15, 2017",0.000652,0.000722,0.000537,0.000702,624,-
"Dec 14, 2017",0.000503,0.000652,0.000478,0.000651,372,-
"Dec 13, 2017",0.000521,0.000702,0.000483,0.000503,632,-
"Dec 12, 2017",0.001317,0.001350,0.000510,0.000521,"2,359",-
"Dec 11, 2017",0.000458,0.002543,0.000456,0.001312,"3,153",-
"Dec 10, 2017",0.000291,0.000488,0.000282,0.000461,101,-
"Dec 09, 2017",0.000444,0.000573,0.000263,0.000290,44,-
"Dec 08, 2017",0.000348,0.000527,0.000346,0.000477,133,-
"Dec 07, 2017",0.000411,0.000533,0.000406,0.000512,22,-
"Dec 06, 2017",0.000470,0.000481,0.000370,0.000411,222,-
"Dec 05, 2017",0.000466,0.000476,0.000233,0.000472,207,-
"Dec 04, 2017",0.000450,0.000465,0.000327,0.000465,286,-
"Dec 03, 2017",0.000328,0.000588,0.000328,0.000448,223,-
"Dec 02, 2017",0.000334,0.000446,0.000323,0.000328,144,-
"Dec 01, 2017",0.000400,0.000538,0.000288,0.000335,161,-
"Nov 30, 2017",0.000491,0.000534,0.000289,0.000402,23,-
"Nov 29, 2017",0.000500,0.000652,0.000313,0.000483,436,-
"Nov 28, 2017",0.000878,0.001090,0.000310,0.000500,634,-
"Nov 27, 2017",0.000838,0.000877,0.000386,0.000876,"1,143",-
"Nov 26, 2017",0.000909,0.000977,0.000462,0.000838,95,-
"Nov 25, 2017",0.000992,0.001157,0.000692,0.000909,89,-
"Nov 24, 2017",0.001018,0.001135,0.000657,0.000997,34,-
"Nov 23, 2017",0.000801,0.001064,0.000664,0.001021,121,-
"Nov 22, 2017",0.000951,0.000958,0.000651,0.000807,13,-
"Nov 21, 2017",0.000976,0.001001,0.000598,0.000949,14,-
"Nov 20, 2017",0.000960,0.000992,0.000642,0.000976,13,-
"Nov 19, 2017",0.000857,0.000973,0.000768,0.000961,64,-
"Nov 18, 2017",0.000922,0.001085,0.000466,0.000858,80,-
"Nov 17, 2017",0.000628,0.001089,0.000386,0.000926,698,-
"Nov 16, 2017",0.000511,0.000640,0.000296,0.000629,88,-
"Nov 15, 2017",0.000463,0.000513,0.000463,0.000509,0,-
"Nov 14, 2017",0.000457,0.000470,0.000450,0.000462,1,-
"Nov 13, 2017",0.000235,0.000465,0.000233,0.000456,7,-
"Nov 12, 2017",0.000382,0.000450,0.000226,0.000234,3,-
"Nov 11, 2017",0.000329,0.000391,0.000265,0.000382,21,-
"Nov 10, 2017",0.000356,0.000367,0.000323,0.000330,13,-
"Nov 09, 2017",0.000373,0.000373,0.000286,0.000355,66,-
"Nov 08, 2017",0.000427,0.000471,0.000358,0.000374,223,-
"Nov 07, 2017",0.000418,0.000433,0.000418,0.000428,6,-
"Nov 06, 2017",0.000354,0.000430,0.000348,0.000418,5,-
"Nov 05, 2017",0.000369,0.000381,0.000365,0.000371,7,-
"Nov 04, 2017",0.000430,0.000440,0.000369,0.000370,7,-
"Nov 03, 2017",0.000351,0.000448,0.000347,0.000431,44,-
"Nov 02, 2017",0.000336,0.000426,0.000336,0.000352,8,-
"Nov 01, 2017",0.000387,0.000397,0.000329,0.000336,12,-
"Oct 31, 2017",0.000368,0.000387,0.000366,0.000387,0,-
"Oct 30, 2017",0.000369,0.000370,0.000302,0.000369,3,-
"Oct 29, 2017",0.000286,0.000379,0.000286,0.000372,1,-
"Oct 28, 2017",0.000346,0.000352,0.000286,0.000287,2,-
"Oct 27, 2017",0.000353,0.000360,0.000342,0.000345,2,-
