Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.080559,0.080937,0.062822,0.078318,"11,937","1,009,390"
"Dec 15, 2017",0.089028,0.089092,0.059009,0.080408,"3,263","1,115,500"
"Dec 14, 2017",0.063860,0.089186,0.055407,0.088945,"6,177","800,145"
"Dec 13, 2017",0.070305,0.079995,0.048419,0.063893,"4,993","880,902"
"Dec 12, 2017",0.071958,0.080326,0.057191,0.070257,"6,833","901,619"
"Dec 11, 2017",0.074140,0.080043,0.023796,0.072423,"10,382","928,960"
"Dec 10, 2017",0.080758,0.080758,0.060940,0.074057,"2,593","1,011,880"
"Dec 09, 2017",0.076956,0.088434,0.070858,0.080500,865,"964,241"
"Dec 08, 2017",0.054922,0.078595,0.053568,0.076958,"2,437","688,156"
"Dec 07, 2017",0.065560,0.103202,0.054488,0.054842,"14,206","821,445"
"Dec 06, 2017",0.077311,0.087290,0.065351,0.065788,"6,313","968,686"
"Dec 05, 2017",0.080559,0.087956,0.072234,0.077447,"2,785","1,009,380"
"Dec 04, 2017",0.087762,0.093303,0.062149,0.080518,"5,124","1,099,640"
"Dec 03, 2017",0.095869,0.100619,0.085041,0.087600,"1,888","1,201,220"
"Dec 02, 2017",0.096626,0.110640,0.088284,0.095837,"11,602","1,210,700"
"Dec 01, 2017",0.083131,0.096629,0.080501,0.096629,"2,416","1,041,620"
"Nov 30, 2017",0.089883,0.096128,0.060611,0.083311,"8,136","1,126,210"
"Nov 29, 2017",0.081888,0.096665,0.058219,0.084524,"6,484","1,026,030"
"Nov 28, 2017",0.079914,0.086524,0.060451,0.081822,"8,910","1,001,300"
"Nov 27, 2017",0.084741,0.093337,0.078063,0.080023,"5,543","1,061,790"
"Nov 26, 2017",0.091686,0.095530,0.081736,0.084763,"4,760","1,148,810"
"Nov 25, 2017",0.092268,0.095504,0.064913,0.091683,"12,580","1,156,090"
"Nov 24, 2017",0.081532,0.097485,0.048097,0.092283,"18,787","1,021,580"
"Nov 23, 2017",0.085327,0.099872,0.081943,0.081943,"7,953","1,069,130"
"Nov 22, 2017",0.100938,0.103832,0.079038,0.085127,"7,594","1,264,730"
"Nov 21, 2017",0.084652,0.107688,0.080911,0.100810,"13,117","1,060,660"
"Nov 20, 2017",0.097501,0.106925,0.084785,0.084785,"19,272","1,221,660"
"Nov 19, 2017",0.099509,0.111507,0.093210,0.097606,"9,210","1,246,820"
"Nov 18, 2017",0.089870,0.100867,0.088641,0.099766,"5,488","1,126,040"
"Nov 17, 2017",0.101803,0.116220,0.081164,0.090005,"19,020","1,275,570"
"Nov 16, 2017",0.115808,0.118260,0.098971,0.101874,"26,602","1,451,050"
"Nov 15, 2017",0.122396,0.127765,0.114606,0.115899,"13,231","1,533,600"
"Nov 14, 2017",0.107964,0.123059,0.107964,0.122330,"21,249","1,352,760"
"Nov 13, 2017",0.112065,0.122555,0.103483,0.107968,"5,349","1,404,150"
"Nov 12, 2017",0.112915,0.115247,0.087415,0.111888,"13,197","1,414,800"
"Nov 11, 2017",0.110981,0.123121,0.110033,0.112903,"9,256","1,390,560"
"Nov 10, 2017",0.128068,0.128338,0.109212,0.114175,"17,556","1,604,660"
"Nov 09, 2017",0.135350,0.143237,0.118218,0.128007,"25,049","1,695,900"
"Nov 08, 2017",0.139285,0.142904,0.122169,0.136084,"26,406","1,745,210"
"Nov 07, 2017",0.162615,0.163115,0.121268,0.139384,"57,498","2,037,530"
"Nov 06, 2017",0.133361,0.171346,0.126366,0.162372,"82,324","1,670,980"
"Nov 05, 2017",0.125144,0.146292,0.110414,0.133235,"30,038","1,568,030"
"Nov 04, 2017",0.112769,0.130451,0.106125,0.119214,"24,888","1,412,970"
"Nov 03, 2017",0.111012,0.124338,0.104152,0.118840,"31,087","1,390,960"
"Nov 02, 2017",0.112810,0.214764,0.092268,0.110470,"366,518","1,413,480"
"Nov 01, 2017",0.106446,0.120594,0.100164,0.112498,"43,050","1,333,740"
"Oct 31, 2017",0.111485,0.118859,0.102450,0.106643,"21,748","1,396,880"
"Oct 30, 2017",0.101667,0.121471,0.097218,0.111424,"25,633","1,273,860"
"Oct 29, 2017",0.115645,0.125501,0.095186,0.101872,"44,521","1,449,000"
"Oct 28, 2017",0.103539,0.120432,0.101431,0.115694,"32,612","1,297,310"
"Oct 27, 2017",0.109320,0.117398,0.094823,0.103446,"37,679","1,369,750"
"Oct 26, 2017",0.105699,0.114004,0.085775,0.109376,"19,742","1,324,390"
"Oct 25, 2017",0.101726,0.118753,0.078587,0.103355,"33,112","1,274,610"
"Oct 24, 2017",0.102285,0.112689,0.093401,0.101661,"23,137","1,281,610"
"Oct 23, 2017",0.109423,0.109488,0.087557,0.102354,"9,793","1,371,040"
"Oct 22, 2017",0.112080,0.114532,0.096949,0.109486,"15,000","1,404,340"
"Oct 21, 2017",0.131624,0.131624,0.104224,0.112067,"28,142","1,649,220"
"Oct 20, 2017",0.122941,0.146943,0.107109,0.131802,"60,564","1,503,460"
"Oct 19, 2017",0.116216,0.123929,0.097450,0.123041,"55,183","1,421,210"
"Oct 18, 2017",0.085900,0.116582,0.079719,0.116487,"31,743","1,041,880"
"Oct 17, 2017",0.112382,0.135490,0.082294,0.086001,"66,420","1,347,920"
"Oct 16, 2017",0.088049,0.113278,0.074249,0.112820,"24,355","1,063,590"
"Oct 15, 2017",0.066055,0.089342,0.066055,0.087817,"12,150","797,916"
"Oct 14, 2017",0.067253,0.086198,0.061679,0.065862,"17,959","812,389"
"Oct 13, 2017",0.069624,0.074002,0.057012,0.067187,"12,247","841,023"
"Oct 12, 2017",0.066879,0.070693,0.054906,0.069760,"11,413","791,153"
"Oct 11, 2017",0.074495,0.077655,0.054160,0.066879,"34,761","881,241"
"Oct 10, 2017",0.083323,0.083788,0.065683,0.074498,"20,413","974,344"
"Oct 09, 2017",0.079464,0.112063,0.072804,0.083116,"31,629","926,097"
"Oct 08, 2017",0.103999,0.111808,0.063282,0.076607,"37,673","1,210,520"
"Oct 07, 2017",0.123596,0.124522,0.082866,0.104147,"50,066","1,438,620"
"Oct 06, 2017",0.118948,0.127831,0.092593,0.123984,"59,568","1,384,520"
"Oct 05, 2017",0.102757,0.171385,0.092861,0.118920,"212,655","1,196,060"
"Oct 04, 2017",0.099781,0.129404,0.083093,0.097613,"65,237","1,161,420"
"Oct 03, 2017",0.053130,0.136204,0.052002,0.120730,"82,545","618,414"
"Oct 02, 2017",0.050248,0.056491,0.039511,0.053094,"20,505","584,868"
"Oct 01, 2017",0.048835,0.059212,0.027141,0.050248,"34,405","564,225"
"Sep 30, 2017",0.040926,0.054227,0.038063,0.048814,"30,790","472,836"
"Sep 29, 2017",0.043913,0.044247,0.029226,0.038023,"44,169","507,346"
"Sep 28, 2017",0.040310,0.049531,0.036708,0.043995,"6,174","463,678"
"Sep 27, 2017",0.046589,0.049652,0.032810,0.040332,"10,557","535,899"
"Sep 26, 2017",0.038330,0.058264,0.029543,0.046623,"23,875","437,948"
"Sep 25, 2017",0.017727,0.047309,0.017670,0.047154,"12,612","202,546"
