Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.506067,0.537561,0.447267,0.464001,"10,530","2,357,780"
"Dec 15, 2017",0.418155,0.569343,0.362127,0.506025,"23,364","1,890,520"
"Dec 14, 2017",0.408677,0.483737,0.380345,0.417585,"15,762","1,838,620"
"Dec 13, 2017",0.563845,0.571713,0.407080,0.409972,"5,779","2,529,890"
"Dec 12, 2017",0.510830,0.564430,0.450058,0.563400,"9,951","2,286,880"
"Dec 11, 2017",0.446173,0.532844,0.444662,0.508602,"6,420","1,997,420"
"Dec 10, 2017",0.606824,0.606824,0.395344,0.448653,"9,341","2,709,430"
"Dec 09, 2017",0.544060,0.650950,0.478677,0.604761,"10,602","2,429,190"
"Dec 08, 2017",0.754938,0.768844,0.541588,0.544937,"7,726","3,370,750"
"Dec 07, 2017",1.23,1.28,0.633013,0.754763,"23,639","5,511,800"
"Dec 06, 2017",0.380277,1.36,0.355754,1.23,"28,795","1,697,910"
"Dec 05, 2017",0.467647,0.469249,0.378521,0.381114,"6,890","2,083,690"
"Dec 04, 2017",0.503548,0.530071,0.372265,0.466751,"7,560","2,229,240"
"Dec 03, 2017",0.546453,0.563556,0.384673,0.501929,"10,669","2,276,350"
"Dec 02, 2017",0.571968,0.591151,0.512470,0.545951,"9,245","2,371,470"
"Dec 01, 2017",0.547313,0.628156,0.473864,0.573428,"16,295","2,256,460"
"Nov 30, 2017",0.581343,0.632476,0.466164,0.562034,"16,535","2,379,890"
"Nov 29, 2017",0.736785,0.743467,0.446416,0.572634,"14,368","2,928,300"
"Nov 28, 2017",0.635455,0.736996,0.518079,0.736996,"18,207","2,508,760"
"Nov 27, 2017",0.748724,0.784104,0.503377,0.633847,"8,068","2,942,900"
"Nov 26, 2017",0.730010,0.825731,0.143664,0.748591,"8,678","2,820,400"
"Nov 25, 2017",0.710667,0.815903,0.710461,0.729977,"6,412","2,729,920"
"Nov 24, 2017",0.799913,0.823529,0.708515,0.712081,"15,399","2,997,440"
"Nov 23, 2017",0.828521,0.893883,0.714461,0.801115,"17,933","3,075,870"
"Nov 22, 2017",0.899546,0.901759,0.710064,0.828644,"11,174","3,314,310"
"Nov 21, 2017",0.915119,0.915119,0.715433,0.897452,"13,902","3,345,290"
"Nov 20, 2017",0.924112,0.927953,0.837853,0.915056,"12,594","3,317,940"
"Nov 19, 2017",0.901673,0.950152,0.865082,0.924321,"20,032","3,203,570"
"Nov 18, 2017",0.811363,0.911231,0.792157,0.891571,"12,248","2,865,910"
"Nov 17, 2017",0.940333,0.955844,0.808725,0.814377,"7,760","3,291,350"
"Nov 16, 2017",0.885434,0.947794,0.820274,0.941640,"18,320","3,086,810"
"Nov 15, 2017",0.863487,0.886454,0.821425,0.882011,"15,097","2,910,360"
"Nov 14, 2017",0.871201,0.884782,0.796408,0.862935,"21,801","2,866,900"
"Nov 13, 2017",0.871164,0.897489,0.725936,0.870656,"22,806","2,667,850"
"Nov 12, 2017",0.929500,0.931630,0.686906,0.869767,"25,782","2,834,080"
"Nov 11, 2017",0.819774,0.945008,0.742938,0.929555,"17,046","2,490,380"
"Nov 10, 2017",0.803542,0.884882,0.778315,0.822536,"25,213","2,384,340"
"Nov 09, 2017",0.952271,0.952271,0.750818,0.801293,"19,793","2,794,280"
"Nov 08, 2017",0.938341,1.01,0.917706,0.953517,"19,627","2,731,720"
"Nov 07, 2017",0.936045,0.986146,0.925466,0.941209,"20,184","2,616,790"
"Nov 06, 2017",0.973656,1.01,0.916093,0.937388,"14,922","2,705,470"
"Nov 05, 2017",1.04,1.05,0.954805,0.971568,"16,278","2,865,940"
"Nov 04, 2017",1.03,1.11,1.01,1.04,"16,900","2,820,120"
"Nov 03, 2017",1.11,1.20,1.02,1.03,"27,022","2,914,430"
"Nov 02, 2017",1.21,1.28,0.825700,1.10,"38,556","3,138,160"
"Nov 01, 2017",1.31,1.33,0.927544,1.21,"27,614","3,242,640"
"Oct 31, 2017",1.31,1.39,1.24,1.31,"24,769","3,188,560"
"Oct 30, 2017",1.38,1.44,0.986899,1.31,"16,672","3,140,470"
"Oct 29, 2017",1.38,1.45,1.31,1.39,"24,044","3,041,210"
"Oct 28, 2017",1.41,1.45,1.33,1.38,"14,403","3,099,810"
"Oct 27, 2017",1.47,1.48,1.29,1.39,"26,669","3,165,400"
"Oct 26, 2017",1.44,1.49,1.27,1.47,"37,450","3,075,940"
"Oct 25, 2017",1.33,1.48,1.32,1.44,"60,536","2,828,010"
"Oct 24, 2017",1.47,1.48,1.32,1.33,"27,386","3,125,930"
"Oct 23, 2017",1.50,1.59,1.16,1.47,"42,248","3,190,510"
"Oct 22, 2017",1.80,1.82,1.48,1.50,"35,084","2,043,010"
"Oct 21, 2017",1.96,2.02,1.64,1.80,"41,751","2,144,390"
"Oct 20, 2017",1.93,2.06,1.78,1.97,"69,244",-
"Oct 19, 2017",1.37,2.09,1.28,1.91,"76,456",-
