Date,Open,High,Low,Close,Volume,Market Cap
"Dec 13, 2017",0.000173,0.000869,0.000173,0.000836,17,"1,372"
"Dec 12, 2017",0.001179,0.001218,0.000173,0.000173,35,"9,321"
"Dec 11, 2017",0.001220,0.001353,0.001148,0.001175,17,"9,607"
"Dec 10, 2017",0.001244,0.001252,0.001171,0.001229,15,"9,792"
"Dec 08, 2017",0.003298,0.003347,0.002809,0.002809,15,"25,644"
"Dec 07, 2017",0.002610,0.003290,0.002576,0.003290,17,"20,210"
"Dec 06, 2017",0.001287,0.002618,0.001287,0.002614,14,"9,932"
"Dec 05, 2017",0.001283,0.001311,0.001264,0.001290,12,"9,867"
"Dec 04, 2017",0.000562,0.000577,0.000561,0.000569,46,"4,308"
"Dec 03, 2017",0.001771,0.001782,0.000333,0.000560,45,"13,532"
"Dec 02, 2017",0.002721,0.002770,0.002682,0.002708,152,"20,739"
"Dec 01, 2017",0.001599,0.002739,0.001514,0.002723,153,"12,139"
"Nov 30, 2017",0.001671,0.001818,0.001440,0.001607,30,"12,642"
"Nov 29, 2017",0.001588,0.001945,0.001455,0.001646,19,"11,992"
"Nov 28, 2017",0.001756,0.001891,0.001481,0.001590,80,"13,210"
"Nov 27, 2017",0.001770,0.001844,0.001695,0.001751,29,"13,278"
"Nov 26, 2017",0.001224,0.001784,0.001061,0.001770,19,"9,148"
"Nov 25, 2017",0.001276,0.001289,0.001111,0.001225,52,"9,519"
"Nov 24, 2017",0.002090,0.002125,0.002050,0.002121,33,"15,588"
"Nov 23, 2017",0.002468,0.002480,0.002092,0.002092,105,"18,407"
"Nov 22, 2017",0.002434,0.002490,0.002424,0.002468,58,"18,159"
"Nov 21, 2017",0.002555,0.002661,0.002394,0.002428,65,"19,029"
"Nov 20, 2017",0.002574,0.002659,0.002384,0.002554,190,"19,086"
"Nov 19, 2017",0.002180,0.004103,0.002001,0.002575,153,"16,111"
"Nov 18, 2017",0.000922,0.002830,0.000906,0.002106,125,"6,788"
"Nov 17, 2017",0.001098,0.001124,0.000388,0.000926,23,"8,046"
"Nov 16, 2017",0.001095,0.001806,0.001000,0.001100,259,"7,989"
"Nov 15, 2017",0.000926,0.001172,0.000926,0.001090,22,"6,720"
"Nov 14, 2017",0.000849,0.001388,0.000771,0.000925,92,"6,136"
"Nov 13, 2017",0.000822,0.000982,0.000802,0.000847,20,"5,915"
"Nov 12, 2017",0.001145,0.002177,0.000721,0.000821,129,"8,204"
"Nov 11, 2017",0.000855,0.001221,0.000852,0.001146,45,"6,099"
"Nov 10, 2017",0.001069,0.001169,0.000856,0.000858,20,"7,613"
"Nov 09, 2017",0.001195,0.001295,0.001063,0.001066,36,"8,470"
