Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.069875,0.070108,0.059557,0.059557,"13,395","5,769,850"
"Dec 15, 2017",0.071310,0.078643,0.068543,0.069698,"16,699","5,877,960"
"Dec 14, 2017",0.063065,0.076441,0.062576,0.071202,"15,406","5,189,220"
"Dec 13, 2017",0.065068,0.073734,0.059284,0.063258,"15,202","5,344,540"
"Dec 12, 2017",0.080659,0.084699,0.064964,0.065013,"19,286","6,613,670"
"Dec 11, 2017",0.076981,0.085994,0.075987,0.080363,"11,082","6,301,010"
"Dec 10, 2017",0.067964,0.092626,0.062428,0.077400,"21,636","5,553,060"
"Dec 09, 2017",0.078041,0.088649,0.066977,0.067690,"24,015","6,365,190"
"Dec 08, 2017",0.072657,0.094445,0.056880,0.080072,"19,858","5,915,500"
"Dec 07, 2017",0.082555,0.098495,0.062737,0.072487,"27,706","6,709,480"
"Dec 06, 2017",0.091169,0.094291,0.054075,0.082695,"43,083","7,396,600"
"Dec 05, 2017",0.078691,0.098594,0.078675,0.091373,"30,066","6,372,980"
"Dec 04, 2017",0.078535,0.138872,0.069899,0.078536,"115,529","6,349,260"
"Dec 03, 2017",0.065069,0.090699,0.058799,0.078387,"80,932","5,251,090"
"Dec 02, 2017",0.056343,0.070502,0.053457,0.065007,"67,275","4,538,860"
"Dec 01, 2017",0.039903,0.065401,0.036176,0.056392,"63,261","3,208,660"
"Nov 30, 2017",0.029485,0.045967,0.026878,0.040105,"28,836","2,366,610"
"Nov 29, 2017",0.024482,0.037653,0.023855,0.028559,"21,143","1,961,600"
"Nov 28, 2017",0.022220,0.025275,0.022190,0.024507,"4,008","1,777,090"
"Nov 27, 2017",0.021588,0.024581,0.020986,0.024581,"7,262","1,723,450"
"Nov 26, 2017",0.022551,0.023969,0.019925,0.021583,"6,142","1,797,050"
"Nov 25, 2017",0.018051,0.023284,0.017183,0.022559,"10,466","1,435,790"
"Nov 24, 2017",0.016962,0.019599,0.015982,0.018087,"5,489","1,346,780"
"Nov 23, 2017",0.016986,0.017952,0.016432,0.016989,"2,762","1,346,210"
"Nov 22, 2017",0.015421,0.018810,0.015421,0.017299,"4,425","1,219,980"
"Nov 21, 2017",0.019941,0.019955,0.014967,0.015423,"8,561","1,574,740"
"Nov 20, 2017",0.017132,0.020046,0.015908,0.019938,"8,690","1,350,520"
"Nov 19, 2017",0.016393,0.018837,0.016042,0.017125,"4,275","1,289,910"
"Nov 18, 2017",0.016755,0.017151,0.016022,0.016431,"1,788","1,316,110"
"Nov 17, 2017",0.017156,0.018594,0.016559,0.016820,"1,563","1,345,160"
"Nov 16, 2017",0.016807,0.018153,0.016432,0.017185,"5,248","1,315,390"
"Nov 15, 2017",0.017239,0.017942,0.015164,0.016706,"2,226","1,346,840"
"Nov 14, 2017",0.014967,0.017268,0.013972,0.017221,"3,905","1,167,190"
"Nov 13, 2017",0.012899,0.017067,0.012899,0.014952,"5,747","1,004,060"
"Nov 12, 2017",0.012913,0.013642,0.010997,0.012877,"3,964","1,003,360"
"Nov 11, 2017",0.012765,0.013633,0.011956,0.012923,"1,696","990,038"
"Nov 10, 2017",0.013990,0.015422,0.012716,0.012811,"5,702","1,083,000"
"Nov 09, 2017",0.012593,0.016520,0.012470,0.013989,"3,321","973,063"
"Nov 08, 2017",0.014706,0.015862,0.009216,0.012600,"4,230","1,127,950"
"Nov 07, 2017",0.015421,0.017975,0.014387,0.014745,"2,358","1,182,800"
"Nov 06, 2017",0.015571,0.017742,0.015060,0.015423,"3,561","1,194,270"
"Nov 05, 2017",0.016992,0.018419,0.015358,0.015529,"2,377","1,303,270"
"Nov 04, 2017",0.016494,0.018929,0.015387,0.017021,"3,397","1,262,910"
"Nov 03, 2017",0.017393,0.020326,0.015935,0.016564,"11,374","1,329,270"
"Nov 02, 2017",0.016149,0.018785,0.015952,0.017440,"8,434","1,231,800"
"Nov 01, 2017",0.014241,0.019666,0.014014,0.016141,"6,234","1,084,280"
"Oct 31, 2017",0.012623,0.015352,0.012556,0.014276,"5,528","959,318"
"Oct 30, 2017",0.014592,0.019085,0.012145,0.012617,"12,359","1,106,820"
"Oct 29, 2017",0.012315,0.018113,0.012303,0.014651,"7,645","932,332"
"Oct 28, 2017",0.013659,0.013659,0.012039,0.012315,"2,380","1,032,210"
"Oct 27, 2017",0.011656,0.013680,0.011597,0.013622,"6,604","879,194"
"Oct 26, 2017",0.010723,0.012989,0.010685,0.011653,"2,426","807,330"
"Oct 25, 2017",0.010043,0.013190,0.010011,0.011470,"5,259","754,696"
"Oct 24, 2017",0.009796,0.013343,0.009294,0.010039,"3,955","734,700"
"Oct 23, 2017",0.010703,0.012035,0.009696,0.009817,"1,389","801,231"
"Oct 22, 2017",0.010163,0.012307,0.010162,0.010719,845,"759,419"
"Oct 21, 2017",0.012911,0.012931,0.009440,0.010135,"2,177","962,896"
"Oct 20, 2017",0.012892,0.014181,0.012296,0.012936,"5,004","959,656"
"Oct 19, 2017",0.012180,0.014063,0.012013,0.012905,"3,326","904,896"
"Oct 18, 2017",0.012490,0.013230,0.011250,0.012185,"3,265","926,099"
"Oct 17, 2017",0.012830,0.014985,0.011658,0.012489,"1,691","949,445"
"Oct 16, 2017",0.011498,0.015228,0.011182,0.011788,"3,248","849,209"
"Oct 15, 2017",0.011586,0.012942,0.010965,0.011496,"1,366","854,017"
"Oct 14, 2017",0.011311,0.014394,0.010141,0.011565,"4,018","832,232"
"Oct 13, 2017",0.013602,0.015349,0.009051,0.009934,"2,311","998,804"
"Oct 12, 2017",0.010618,0.011676,0.005755,0.009145,"3,166","778,148"
"Oct 11, 2017",0.011097,0.012485,0.009686,0.010609,"2,339","811,685"
"Oct 10, 2017",0.009716,0.012864,0.009697,0.009816,"2,722","709,244"
"Oct 09, 2017",0.014775,0.016766,0.008768,0.009944,"7,756",-
"Oct 08, 2017",0.018619,0.019419,0.014034,0.014771,"9,189",-
"Oct 07, 2017",0.016664,0.019668,0.015305,0.018664,"14,645",-
"Oct 06, 2017",0.011847,0.021099,0.009407,0.016604,"21,043",-
"Oct 05, 2017",0.007810,0.012437,0.007800,0.010464,"8,312",-
"Oct 04, 2017",0.009935,0.010590,0.007724,0.007806,"1,846","835,979"
"Oct 03, 2017",0.010919,0.012090,0.009017,0.009914,"4,784","917,185"
"Oct 02, 2017",0.010722,0.013359,0.010073,0.010919,"12,341","899,045"
"Oct 01, 2017",0.009124,0.011980,0.009005,0.010686,"7,863",-
"Sep 30, 2017",0.009512,0.013879,0.006787,0.009118,"23,617",-
"Sep 29, 2017",0.003468,0.009511,0.003468,0.009511,"24,311","289,725"
