Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.095907,0.140236,0.093360,0.112823,"14,619","628,123"
"Dec 15, 2017",0.078590,0.102326,0.078510,0.095794,"3,877","514,710"
"Dec 14, 2017",0.083735,0.083735,0.073038,0.078467,"1,247","548,403"
"Dec 13, 2017",0.093230,0.097630,0.076953,0.083906,"2,196","610,588"
"Dec 12, 2017",0.078113,0.095038,0.076955,0.093080,"2,121","511,581"
"Dec 11, 2017",0.071911,0.086771,0.071711,0.077600,"3,333","470,957"
"Dec 10, 2017",0.064678,0.082074,0.060634,0.072588,"2,998","423,585"
"Dec 09, 2017",0.084783,0.087780,0.062618,0.064514,"5,145","555,256"
"Dec 08, 2017",0.089237,0.097137,0.065321,0.084958,"5,552","584,429"
"Dec 07, 2017",0.068236,0.102753,0.065537,0.099221,"4,400","446,868"
"Dec 06, 2017",0.069724,0.082141,0.069140,0.072897,"1,854","456,615"
"Dec 05, 2017",0.073847,0.079331,0.068448,0.069878,"1,468","483,610"
"Dec 04, 2017",0.073733,0.083085,0.069263,0.073683,"1,110","482,862"
"Dec 03, 2017",0.071329,0.092582,0.071329,0.081058,"5,622","467,116"
"Dec 02, 2017",0.055859,0.079728,0.055750,0.071246,"7,368","365,663"
"Dec 01, 2017",0.050173,0.063308,0.045800,0.055907,"1,801","328,436"
"Nov 30, 2017",0.053893,0.062025,0.044259,0.050410,"1,529","352,789"
"Nov 29, 2017",0.049987,0.062437,0.045260,0.053096,"2,208","327,222"
"Nov 28, 2017",0.045578,0.050041,0.043961,0.050041,"1,113","298,360"
"Nov 27, 2017",0.048671,0.058033,0.043557,0.045244,"1,008","318,603"
"Nov 26, 2017",0.048683,0.056604,0.046102,0.048653,653,"318,682"
"Nov 25, 2017",0.041183,0.049067,0.039481,0.048592,"3,411","269,583"
"Nov 24, 2017",0.046609,0.047907,0.041712,0.041712,418,"305,107"
"Nov 23, 2017",0.043976,0.050174,0.034134,0.046766,"1,790","287,866"
"Nov 22, 2017",0.046740,0.047295,0.041776,0.044074,495,"305,960"
"Nov 21, 2017",0.048490,0.048912,0.042308,0.046629,829,"317,413"
"Nov 20, 2017",0.051820,0.051848,0.045502,0.048481,864,"339,216"
"Nov 19, 2017",0.055456,0.064562,0.036037,0.051846,"6,008","363,011"
"Nov 18, 2017",0.045074,0.055716,0.044649,0.055558,"1,409","295,051"
"Nov 17, 2017",0.054092,0.055236,0.041680,0.045242,"1,467","354,086"
"Nov 16, 2017",0.043230,0.055882,0.040274,0.054182,"1,160","282,980"
"Nov 15, 2017",0.042281,0.045399,0.039600,0.043014,936,"276,768"
"Nov 14, 2017",0.041341,0.044898,0.040325,0.042248,"1,086","270,610"
"Nov 13, 2017",0.035786,0.042774,0.035456,0.041542,"3,033","234,248"
"Nov 12, 2017",0.040793,0.044578,0.035435,0.035735,"2,008","267,022"
"Nov 11, 2017",0.045730,0.053074,0.040149,0.040577,491,"299,341"
"Nov 10, 2017",0.050950,0.055957,0.043597,0.045893,"2,056","333,505"
"Nov 09, 2017",0.050959,0.053523,0.046105,0.050795,"1,499","333,566"
"Nov 08, 2017",0.045134,0.056373,0.044152,0.051015,"2,509","295,436"
"Nov 07, 2017",0.051403,0.051513,0.044296,0.045250,866,"336,469"
"Nov 06, 2017",0.040549,0.055443,0.038375,0.051526,"2,468","265,422"
"Nov 05, 2017",0.044322,0.049043,0.038948,0.040460,"1,423","290,118"
"Nov 04, 2017",0.044742,0.060968,0.043765,0.044397,936,"292,865"
"Nov 03, 2017",0.046651,0.050300,0.040443,0.044859,703,"305,361"
"Nov 02, 2017",0.047172,0.050069,0.043935,0.046712,"1,730","308,771"
"Nov 01, 2017",0.050461,0.052457,0.045790,0.047120,"1,842","330,298"
"Oct 31, 2017",0.042737,0.055062,0.042655,0.050498,"3,556","279,743"
"Oct 30, 2017",0.043516,0.055804,0.042579,0.042883,"2,643","284,836"
"Oct 29, 2017",0.040860,0.050584,0.040770,0.043781,470,"267,453"
"Oct 28, 2017",0.043971,0.050534,0.040825,0.040883,381,"287,815"
"Oct 27, 2017",0.048458,0.048467,0.038651,0.041140,"1,101","317,181"
"Oct 26, 2017",0.045339,0.052011,0.044875,0.048448,548,"296,768"
"Oct 25, 2017",0.047673,0.047769,0.040174,0.045346,"1,115","312,045"
"Oct 24, 2017",0.046151,0.054109,0.041103,0.047653,306,"302,081"
"Oct 23, 2017",0.047214,0.047214,0.039876,0.046253,318,"309,040"
"Oct 22, 2017",0.049199,0.049991,0.041084,0.041488,851,"322,030"
"Oct 21, 2017",0.052322,0.053038,0.046934,0.049184,"1,539","342,472"
"Oct 20, 2017",0.053973,0.056779,0.052325,0.052432,329,"353,277"
"Oct 19, 2017",0.049832,0.054276,0.045873,0.053959,357,"326,173"
"Oct 18, 2017",0.048714,0.051358,0.045714,0.049825,"1,251","318,852"
"Oct 17, 2017",0.048572,0.055402,0.046567,0.048747,"2,266","317,926"
"Oct 16, 2017",0.046560,0.052464,0.045923,0.048464,849,"304,754"
"Oct 15, 2017",0.067595,0.067814,0.043696,0.046552,"1,602","442,440"
"Oct 14, 2017",0.053446,0.067475,0.051312,0.067475,"3,452","349,826"
"Oct 13, 2017",0.057586,0.059779,0.047884,0.053431,"2,838","376,923"
"Oct 12, 2017",0.051527,0.057410,0.051258,0.057410,"1,357","337,261"
"Oct 11, 2017",0.053150,0.055397,0.050873,0.051483,"2,268","347,887"
"Oct 10, 2017",0.057463,0.067339,0.049952,0.053159,"4,546","376,118"
"Oct 09, 2017",0.050031,0.099516,0.048570,0.057468,"100,262","327,468"
"Oct 08, 2017",0.050211,0.057277,0.048050,0.049901,710,"328,650"
"Oct 07, 2017",0.051291,0.052174,0.049120,0.050343,501,"335,716"
"Oct 06, 2017",0.052766,0.055605,0.050793,0.051279,702,"345,368"
"Oct 05, 2017",0.091099,0.092747,0.045716,0.052758,540,"596,268"
"Oct 04, 2017",0.054887,0.189740,0.044386,0.091092,"2,661","359,253"
"Oct 03, 2017",0.060841,0.062151,0.049379,0.054760,"1,234","398,223"
"Oct 02, 2017",0.060082,0.062288,0.052261,0.061682,723,"393,254"
"Oct 01, 2017",0.053376,0.061669,0.053369,0.060109,628,"349,356"
"Sep 30, 2017",0.052662,0.060666,0.047420,0.053347,"2,028","344,683"
"Sep 29, 2017",0.052314,0.056469,0.049027,0.052655,"1,038","342,403"
"Sep 28, 2017",0.054507,0.058826,0.051589,0.052354,382,"356,759"
"Sep 27, 2017",0.041437,0.057843,0.041437,0.054520,"1,082","271,209"
"Sep 26, 2017",0.041098,0.045818,0.040306,0.045698,576,"268,995"
"Sep 25, 2017",0.042561,0.043600,0.037450,0.041102,299,"278,571"
"Sep 24, 2017",0.039359,0.043038,0.037889,0.042605,751,"257,612"
"Sep 23, 2017",0.037297,0.042744,0.037153,0.039363,521,"244,115"
"Sep 22, 2017",0.037247,0.043802,0.034695,0.037403,441,"243,782"
"Sep 21, 2017",0.037649,0.043172,0.028154,0.037289,"2,128","246,412"
"Sep 20, 2017",0.041490,0.044384,0.037571,0.037834,562,"271,551"
"Sep 19, 2017",0.051204,0.053871,0.040078,0.041555,"1,547","335,132"
"Sep 18, 2017",0.041327,0.054758,0.041327,0.051260,"1,594","270,484"
"Sep 17, 2017",0.037642,0.045366,0.035953,0.041383,"1,327","246,363"
"Sep 16, 2017",0.043998,0.044541,0.037087,0.037255,"1,964","287,966"
"Sep 15, 2017",0.040102,0.044631,0.034879,0.044124,197,"262,465"
"Sep 14, 2017",0.047769,0.049316,0.039793,0.039793,336,"312,641"
"Sep 13, 2017",0.065111,0.079139,0.045486,0.047771,657,"426,143"
"Sep 12, 2017",0.044270,0.067325,0.044270,0.065197,926,"289,741"
"Sep 11, 2017",0.053629,0.056392,0.044228,0.044228,"1,728","350,987"
"Sep 10, 2017",0.052141,0.056130,0.049480,0.053720,345,"341,249"
"Sep 09, 2017",0.056136,0.059936,0.050483,0.052274,952,"367,392"
"Sep 08, 2017",0.099459,0.099577,0.055303,0.056028,957,"650,911"
"Sep 07, 2017",0.062435,0.106711,0.050964,0.099455,"4,086","408,603"
"Sep 06, 2017",0.059277,0.069961,0.058749,0.062554,"1,134","387,938"
"Sep 05, 2017",0.057331,0.062310,0.054356,0.059204,246,"375,198"
"Sep 04, 2017",0.062605,0.066706,0.054903,0.057531,"1,702","409,713"
"Sep 03, 2017",0.063645,0.065658,0.058060,0.062585,"1,027","416,508"
"Sep 02, 2017",0.064629,0.068372,0.058278,0.063604,503,"422,947"
"Sep 01, 2017",0.065468,0.068340,0.056415,0.064549,"1,510","428,434"
"Aug 31, 2017",0.065235,0.065568,0.059848,0.065457,521,"426,885"
"Aug 30, 2017",0.065672,0.066067,0.057407,0.065345,"1,296","429,690"
"Aug 29, 2017",0.064877,0.066323,0.055981,0.065758,"1,358","424,492"
"Aug 28, 2017",0.060754,0.065641,0.058873,0.064774,"2,535","397,507"
"Aug 27, 2017",0.055464,0.065982,0.055454,0.060824,815,"362,893"
"Aug 26, 2017",0.065870,0.066020,0.054420,0.055476,495,"430,978"
"Aug 25, 2017",0.070406,0.070882,0.052346,0.065858,"6,170","460,659"
"Aug 24, 2017",0.067659,0.079662,0.062680,0.070518,"5,750","442,682"
"Aug 23, 2017",0.070052,0.079596,0.067630,0.067630,993,"458,335"
"Aug 22, 2017",0.066330,0.070731,0.060091,0.070180,"1,070","433,983"
"Aug 21, 2017",0.067811,0.073697,0.059729,0.072059,"1,313","443,670"
"Aug 20, 2017",0.085050,0.086388,0.062010,0.068046,"2,586","556,466"
"Aug 19, 2017",0.077842,0.089511,0.075376,0.085441,"5,596","509,302"
"Aug 18, 2017",0.077228,0.083292,0.067459,0.077908,"2,342","505,284"
"Aug 17, 2017",0.076713,0.085055,0.071324,0.077465,"2,850","501,915"
"Aug 16, 2017",0.073811,0.085045,0.067286,0.076784,"1,137","482,923"
"Aug 15, 2017",0.083307,0.084859,0.066347,0.072738,628,"545,053"
"Aug 14, 2017",0.083362,0.622140,0.077555,0.083457,"3,735","545,413"
"Aug 13, 2017",0.077850,0.087221,0.076583,0.083286,"2,508","509,347"
"Aug 12, 2017",0.076529,0.087614,0.073786,0.077922,"3,362","500,703"
"Aug 11, 2017",0.073097,0.079008,0.072949,0.076588,"1,471","478,251"
"Aug 10, 2017",0.123150,0.123876,0.070019,0.073102,"3,562","805,721"
"Aug 09, 2017",0.070776,0.338795,0.070607,0.123309,"5,449","463,059"
"Aug 08, 2017",0.075332,0.076810,0.068560,0.070824,583,"492,867"
"Aug 07, 2017",0.074907,0.076931,0.069979,0.075252,"1,705","490,077"
"Aug 06, 2017",0.066675,0.080606,0.065440,0.075071,996,"436,218"
"Aug 05, 2017",0.063916,0.079169,0.063916,0.066659,"1,286","418,165"
"Aug 04, 2017",0.062927,0.082085,0.060450,0.063944,"1,253","411,694"
"Aug 03, 2017",0.067170,0.067206,0.062056,0.062918,"2,625","439,454"
"Aug 02, 2017",0.061316,0.076787,0.055953,0.067051,"3,952","401,141"
"Aug 01, 2017",0.058366,0.063846,0.052105,0.061328,296,"381,834"
"Jul 31, 2017",0.064419,0.069311,0.056541,0.058338,"2,659","421,428"
"Jul 30, 2017",0.071081,0.076091,0.063956,0.064346,515,"465,010"
"Jul 29, 2017",0.073414,0.073615,0.063666,0.071091,"1,001","480,268"
"Jul 28, 2017",0.071847,0.076569,0.067435,0.073693,558,"470,015"
"Jul 27, 2017",0.064387,0.077346,0.060081,0.071630,"1,773","421,207"
"Jul 26, 2017",0.068738,0.080680,0.060027,0.064205,"6,086","449,668"
"Jul 25, 2017",0.065159,0.093293,0.051988,0.068597,"5,879","426,256"
"Jul 24, 2017",0.057222,0.112989,0.056712,0.065166,"3,970","374,326"
"Jul 23, 2017",0.066423,0.066581,0.056082,0.057287,"1,171","434,517"
"Jul 22, 2017",0.059646,0.066615,0.059361,0.066423,304,"390,183"
"Jul 21, 2017",0.069847,0.071072,0.058615,0.059658,"1,669","456,910"
"Jul 20, 2017",0.050231,0.071521,0.050231,0.069331,"1,345","328,589"
"Jul 19, 2017",0.051008,0.056090,0.049904,0.051036,576,"333,668"
"Jul 18, 2017",0.052629,0.056555,0.049148,0.050927,"1,149","344,274"
"Jul 17, 2017",0.040535,0.053122,0.040535,0.052494,639,"265,158"
"Jul 16, 2017",0.044839,0.046565,0.039258,0.040576,"1,872","293,315"
"Jul 15, 2017",0.047557,0.047994,0.042941,0.044467,"1,570","311,091"
"Jul 14, 2017",0.049476,0.051641,0.044898,0.047544,"1,052","323,647"
"Jul 13, 2017",0.048592,0.052863,0.047173,0.049513,"2,320","317,857"
"Jul 12, 2017",0.047039,0.051423,0.045736,0.051423,"1,116","307,699"
"Jul 11, 2017",0.049569,0.051281,0.047263,0.047274,"1,934","324,253"
"Jul 10, 2017",0.056111,0.056246,0.048303,0.049675,"2,408","367,046"
"Jul 09, 2017",0.054420,0.062772,0.053156,0.056002,"5,084","355,979"
"Jul 08, 2017",0.050220,0.055838,0.050220,0.054371,"5,233","328,508"
"Jul 07, 2017",0.064689,0.071088,0.049610,0.050178,"5,240","423,150"
"Jul 06, 2017",0.063523,0.073427,0.057572,0.064641,"1,514","415,525"
