Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000044,0.000053,0.000030,0.000030,"2,338",-
"Dec 15, 2017",0.000062,0.000063,0.000031,0.000052,"1,169",-
"Dec 14, 2017",0.000112,0.000115,0.000036,0.000062,"1,069",-
"Dec 13, 2017",0.000087,0.000130,0.000037,0.000112,"5,641",-
"Dec 12, 2017",0.000257,0.000259,0.000011,0.000086,"15,129",-
"Dec 11, 2017",0.000410,0.000642,0.000231,0.000258,"7,071",-
"Dec 10, 2017",0.000441,0.000459,0.000400,0.000409,"1,643",-
"Dec 09, 2017",0.000371,0.000478,0.000363,0.000439,210,-
"Dec 08, 2017",0.000380,0.000439,0.000333,0.000371,"1,843",-
"Dec 07, 2017",0.000508,0.000523,0.000379,0.000380,885,-
"Dec 06, 2017",0.000605,0.000606,0.000500,0.000510,"3,805",-
"Dec 05, 2017",0.000802,0.000804,0.000580,0.000606,"6,096",-
"Dec 04, 2017",0.000481,0.000808,0.000349,0.000802,"12,834",-
"Nov 30, 2017",0.034908,0.037235,0.033627,0.035223,"1,962,800",-
"Nov 29, 2017",0.035786,0.036924,0.033686,0.034453,"16,397",-
