Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.649747,0.679315,0.646133,0.658178,"615,991",-
"Dec 15, 2017",0.659170,0.660250,0.584455,0.648531,"607,354",-
"Dec 14, 2017",0.663341,0.722990,0.627238,0.658553,"615,871",-
"Dec 13, 2017",0.638222,0.694741,0.550283,0.665699,"474,307",-
"Dec 12, 2017",0.485928,0.642329,0.459823,0.637785,"353,200",-
"Dec 11, 2017",0.426241,0.489056,0.393833,0.489056,"371,000",-
"Dec 10, 2017",0.454920,0.500668,0.328640,0.425799,"224,517",-
"Dec 09, 2017",0.423978,0.487809,0.407040,0.453472,"239,291",-
"Dec 08, 2017",0.404235,0.435784,0.388478,0.423991,"44,305",-
"Dec 07, 2017",0.398048,0.419553,0.389655,0.403615,"55,727",-
"Dec 06, 2017",0.440811,0.445710,0.391383,0.399432,"125,686",-
"Dec 05, 2017",0.433695,0.457762,0.425859,0.441587,"140,737",-
"Dec 04, 2017",0.453278,0.460756,0.420363,0.433472,"132,315",-
"Dec 03, 2017",0.444067,0.492372,0.437988,0.452442,"90,534",-
"Dec 02, 2017",0.452612,0.464352,0.441511,0.443917,"38,202",-
"Dec 01, 2017",0.427526,0.457302,0.407847,0.452625,"62,389",-
"Nov 30, 2017",0.415189,0.450110,0.380776,0.428589,"164,650",-
"Nov 29, 2017",0.452185,0.497110,0.401134,0.409942,"136,573",-
"Nov 28, 2017",0.467020,0.467521,0.445130,0.451823,"116,868",-
"Nov 27, 2017",0.442328,0.476900,0.432444,0.467468,"172,163",-
"Nov 26, 2017",0.450914,0.450914,0.424732,0.442438,"102,031",-
"Nov 25, 2017",0.455814,0.466500,0.430646,0.450900,"184,271",-
"Nov 24, 2017",0.379134,0.462995,0.375591,0.455889,"193,357",-
"Nov 23, 2017",0.353826,0.418485,0.339972,0.381041,"136,765",-
"Nov 22, 2017",0.346280,0.367829,0.325393,0.353014,"126,328",-
"Nov 21, 2017",0.342157,0.361068,0.319677,0.345841,"56,237",-
"Nov 20, 2017",0.354270,0.358781,0.325518,0.342695,"147,973",-
"Nov 19, 2017",0.332860,0.365634,0.317363,0.354649,"104,938",-
"Nov 18, 2017",0.331571,0.334975,0.315695,0.333361,"63,213",-
"Nov 17, 2017",0.323059,0.338889,0.314895,0.332071,"158,981",-
"Nov 16, 2017",0.329585,0.342805,0.318231,0.323284,"124,797",-
"Nov 15, 2017",0.356030,0.358008,0.316550,0.329810,"38,782",-
"Nov 14, 2017",0.350962,0.367305,0.318566,0.355836,"121,682",-
