Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.017103,0.053585,0.016887,0.053165,12,"3,414"
"Dec 15, 2017",0.017004,0.026108,0.004443,0.017079,143,"3,394"
"Dec 14, 2017",0.024891,0.025359,0.011402,0.016978,202,"4,968"
"Dec 13, 2017",0.026087,0.055249,0.024795,0.024971,31,"5,207"
"Dec 12, 2017",0.016837,0.033971,0.013185,0.026065,163,"3,360"
"Dec 11, 2017",0.051840,0.057522,0.009996,0.016783,149,"10,347"
"Dec 10, 2017",0.033684,0.053628,0.029654,0.052217,2,"6,723"
"Dec 09, 2017",0.040660,0.041262,0.033195,0.033548,155,"8,115"
"Dec 08, 2017",0.056710,0.061043,0.031291,0.040701,"1,450","11,317"
"Dec 07, 2017",0.004945,0.049995,0.004882,0.049995,444,987
"Dec 06, 2017",0.010790,0.011558,0.004496,0.004953,14,"2,152"
"Dec 05, 2017",0.020423,0.026365,0.006224,0.010814,122,"4,074"
"Dec 04, 2017",0.021535,0.025654,0.019807,0.020383,39,"4,296"
"Dec 03, 2017",0.017062,0.021482,0.012524,0.021463,79,"3,378"
"Dec 02, 2017",0.018920,0.037055,0.016911,0.017045,30,"3,746"
"Dec 01, 2017",0.022385,0.022514,0.003784,0.018936,40,"4,432"
"Nov 30, 2017",0.026520,0.026919,0.017836,0.022496,45,"5,243"
"Nov 29, 2017",0.022338,0.041957,0.015122,0.026119,372,"4,137"
"Nov 28, 2017",0.016784,0.022454,0.005348,0.022360,118,"3,097"
"Nov 27, 2017",0.017667,0.027059,0.016529,0.016740,62,"3,243"
"Nov 26, 2017",0.018941,0.019328,0.007885,0.017664,214,"3,426"
"Nov 25, 2017",0.015763,0.018981,0.015674,0.018947,198,"2,834"
"Nov 24, 2017",0.007997,0.015915,0.004864,0.015795,4,"1,435"
"Nov 23, 2017",0.009917,0.011522,0.007727,0.008008,131,"1,669"
"Nov 22, 2017",0.011304,0.015271,0.004730,0.009920,118,"1,902"
"Nov 21, 2017",0.029350,0.029370,0.011211,0.011276,107,"4,809"
"Nov 20, 2017",0.006782,0.038966,0.004739,0.029344,941,"1,058"
