Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.931577,1.11,0.894059,0.894059,"2,948,340","2,122,270"
"Dec 15, 2017",0.645757,1.35,0.562659,0.972035,"14,467,800","1,471,130"
"Dec 14, 2017",0.614899,0.695237,0.582683,0.645450,"519,136","1,400,830"
"Dec 13, 2017",0.632647,0.638009,0.576018,0.606201,"343,973","1,441,270"
"Dec 12, 2017",0.613864,0.676250,0.571621,0.633500,"564,237","1,398,480"
"Dec 11, 2017",0.570389,0.697834,0.558012,0.612403,"1,170,440","1,299,430"
"Dec 10, 2017",0.728267,0.728267,0.467178,0.565630,"1,413,670","1,659,100"
"Dec 09, 2017",0.514750,0.788511,0.465380,0.676054,"2,983,760","1,172,680"
"Dec 08, 2017",0.485951,0.791378,0.382880,0.515269,"2,024,160","1,107,070"
"Dec 07, 2017",0.471690,0.616829,0.447200,0.484810,"1,780,530","1,074,580"
"Dec 06, 2017",0.579188,0.579188,0.456994,0.464246,"1,146,890","1,319,480"
"Dec 05, 2017",0.380694,0.743434,0.365551,0.581999,"9,600,260","867,277"
"Dec 04, 2017",0.341637,0.398289,0.323455,0.380063,"172,628","778,301"
"Dec 03, 2017",0.349158,0.370989,0.320189,0.340509,"32,302","795,435"
"Dec 02, 2017",0.355918,0.377434,0.326428,0.348825,"88,521","810,836"
"Dec 01, 2017",0.276109,0.358182,0.269475,0.358182,"100,317","629,017"
"Nov 30, 2017",0.275203,0.308124,0.243688,0.282807,"56,580","626,954"
"Nov 29, 2017",0.345493,0.361715,0.266274,0.271040,"196,231","787,084"
"Nov 28, 2017",0.345926,0.370322,0.328784,0.346532,"107,976","788,070"
"Nov 27, 2017",0.327237,0.345969,0.326793,0.341334,"52,506","745,495"
"Nov 26, 2017",0.326237,0.341725,0.318536,0.331553,"57,210","743,216"
"Nov 25, 2017",0.321010,0.386925,0.298269,0.326258,"484,731","731,308"
"Nov 24, 2017",0.314570,0.332991,0.291700,0.315325,"333,912","716,637"
"Nov 23, 2017",0.303427,0.318649,0.293067,0.315081,"24,410","691,252"
"Nov 22, 2017",0.301844,0.314022,0.279250,0.303524,"30,318","687,646"
"Nov 21, 2017",0.300813,0.306785,0.273880,0.290185,"21,335","685,296"
"Nov 20, 2017",0.300501,0.312042,0.290456,0.300757,"10,692","684,586"
"Nov 19, 2017",0.303378,0.313168,0.295137,0.297744,"12,582","691,140"
"Nov 18, 2017",0.301550,0.311758,0.292266,0.303942,"13,670","686,977"
"Nov 17, 2017",0.306099,0.320589,0.295958,0.302711,"26,663","697,340"
"Nov 16, 2017",0.301105,0.320856,0.291204,0.306602,"24,909","685,962"
"Nov 15, 2017",0.277291,0.301670,0.273213,0.299535,"26,728","631,710"
"Nov 14, 2017",0.264826,0.296799,0.261128,0.281131,"56,779","603,314"
"Nov 13, 2017",0.224969,0.273689,0.224969,0.264267,"30,498","512,514"
"Nov 12, 2017",0.273277,0.274898,0.219962,0.224642,"33,437","622,565"
