Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.034808,0.043314,0.034204,0.039331,"8,833","1,628,550"
"Dec 15, 2017",0.031789,0.036729,0.031789,0.034760,"5,225","1,487,260"
"Dec 14, 2017",0.031296,0.034969,0.031035,0.031747,"4,877","1,464,220"
"Dec 13, 2017",0.033999,0.035763,0.027488,0.031396,"12,057","1,590,650"
"Dec 12, 2017",0.030067,0.036767,0.028315,0.033970,"11,565","1,406,720"
"Dec 11, 2017",0.026609,0.037991,0.025500,0.029971,"10,365","1,244,940"
"Dec 10, 2017",0.025964,0.043531,0.021458,0.026803,"7,368","1,214,730"
"Dec 09, 2017",0.028402,0.028908,0.021506,0.025863,"2,263","1,328,800"
"Dec 08, 2017",0.027221,0.031923,0.019154,0.028430,"2,599","1,273,560"
"Dec 07, 2017",0.026932,0.033865,0.017058,0.027157,"10,918","1,260,030"
"Dec 06, 2017",0.025158,0.028085,0.023384,0.026974,"8,670","1,177,030"
"Dec 05, 2017",0.025353,0.026349,0.020345,0.025214,"7,678","1,186,160"
"Dec 04, 2017",0.022804,0.027233,0.019831,0.025303,"4,510","1,066,930"
"Dec 03, 2017",0.020790,0.023859,0.018871,0.022837,"1,610","972,681"
"Dec 02, 2017",0.025135,0.031304,0.010788,0.020768,"13,216","1,175,970"
"Dec 01, 2017",0.021984,0.027536,0.020432,0.025157,"2,490","1,028,530"
"Nov 30, 2017",0.020712,0.023953,0.017951,0.022093,"2,309","969,031"
"Nov 29, 2017",0.021702,0.028074,0.018845,0.023818,"10,150","1,015,370"
"Nov 28, 2017",0.021563,0.023523,0.021264,0.021724,"1,318","1,008,840"
"Nov 27, 2017",0.019999,0.028527,0.019712,0.021507,"8,452","935,666"
"Nov 26, 2017",0.022949,0.022949,0.018102,0.019996,"1,091","1,073,700"
"Nov 25, 2017",0.021295,0.024919,0.017472,0.021041,"14,872","996,306"
"Nov 24, 2017",0.020891,0.023792,0.020341,0.021335,"2,152","977,418"
"Nov 23, 2017",0.022282,0.023714,0.020767,0.020921,"2,415","1,042,480"
"Nov 22, 2017",0.026965,0.027092,0.021386,0.022296,"4,564","1,261,580"
"Nov 21, 2017",0.027030,0.032690,0.024572,0.026900,"5,337","1,264,640"
"Nov 20, 2017",0.028288,0.032089,0.024984,0.026861,"4,547","1,323,490"
"Nov 19, 2017",0.029390,0.033727,0.023443,0.028302,"12,558","1,375,050"
"Nov 18, 2017",0.028824,0.032078,0.026863,0.030286,"4,538","1,348,550"
"Nov 17, 2017",0.031360,0.033240,0.023281,0.028934,"20,495","1,467,210"
"Nov 16, 2017",0.023480,0.034955,0.022635,0.031412,"20,481","1,098,540"
"Nov 15, 2017",0.023672,0.033640,0.018766,0.023362,"30,642","1,107,530"
"Nov 14, 2017",0.016423,0.032930,0.016163,0.025416,"25,202","768,360"
"Nov 13, 2017",0.012239,0.018677,0.012239,0.016391,"14,630","572,614"
"Nov 12, 2017",0.012635,0.016813,0.011832,0.012278,"3,708","591,139"
"Nov 11, 2017",0.012820,0.013622,0.012372,0.012703,"1,447","599,809"
"Nov 10, 2017",0.013711,0.015087,0.012764,0.012866,"2,833","641,463"
"Nov 09, 2017",0.014547,0.015476,0.012807,0.013664,"2,050","680,608"
"Nov 08, 2017",0.011123,0.014747,0.011057,0.014563,"2,585","520,395"
"Nov 07, 2017",0.010786,0.012270,0.010339,0.011158,"4,515","504,644"
"Nov 06, 2017",0.011888,0.012962,0.009673,0.010804,"4,183","556,167"
"Nov 05, 2017",0.011533,0.013041,0.011210,0.011864,632,"539,565"
"Nov 04, 2017",0.010970,0.012316,0.010718,0.011554,621,"513,241"
"Nov 03, 2017",0.010887,0.011677,0.010784,0.010999,229,"509,379"
"Nov 02, 2017",0.010998,0.011902,0.010164,0.010902,"1,541","514,551"
"Nov 01, 2017",0.010490,0.011053,0.010341,0.010919,662,"490,783"
"Oct 31, 2017",0.010107,0.011786,0.010084,0.010499,447,"472,862"
"Oct 30, 2017",0.010229,0.010649,0.009896,0.010141,509,"478,577"
"Oct 29, 2017",0.009670,0.017453,0.009653,0.010290,"1,504","452,416"
"Oct 28, 2017",0.009541,0.011410,0.009540,0.009683,208,"446,400"
"Oct 27, 2017",0.009483,0.010800,0.009108,0.009515,187,"443,683"
"Oct 26, 2017",0.010051,0.011800,0.008371,0.009481,"2,152","470,229"
"Oct 25, 2017",0.009006,0.010162,0.008676,0.010052,313,"421,357"
"Oct 24, 2017",0.008496,0.009485,0.008006,0.008995,"2,386","397,503"
"Oct 23, 2017",0.008482,0.008547,0.008058,0.008532,151,"396,825"
"Oct 22, 2017",0.008743,0.008853,0.008303,0.008529,660,"409,033"
"Oct 21, 2017",0.009910,0.010104,0.008680,0.008740,338,"463,647"
"Oct 20, 2017",0.009640,0.010359,0.009619,0.009931,598,"451,020"
"Oct 19, 2017",0.009331,0.010122,0.009241,0.009637,463,"436,538"
"Oct 18, 2017",0.009400,0.009766,0.008429,0.009327,224,"439,791"
"Oct 17, 2017",0.010288,0.011193,0.009289,0.009401,442,"481,342"
"Oct 16, 2017",0.010089,0.014767,0.009315,0.010287,568,"472,018"
"Oct 15, 2017",0.010333,0.012711,0.009107,0.010087,"16,838","483,432"
"Oct 14, 2017",0.007628,0.011971,0.007602,0.010315,518,"356,906"
"Oct 13, 2017",0.009803,0.011909,0.007356,0.007625,345,"458,638"
"Oct 12, 2017",0.010529,0.011826,0.006854,0.009773,"1,621","492,627"
"Oct 11, 2017",0.011037,0.012312,0.010175,0.010521,379,"516,370"
"Oct 10, 2017",0.012572,0.013600,0.010372,0.010810,"1,319","588,205"
"Oct 09, 2017",0.012203,0.013344,0.012145,0.012563,801,"570,936"
"Oct 08, 2017",0.011982,0.013601,0.011851,0.012202,654,"560,570"
"Oct 07, 2017",0.014884,0.014891,0.011691,0.013051,677,"696,377"
"Oct 06, 2017",0.013376,0.014896,0.011876,0.014879,"1,253","625,798"
"Oct 05, 2017",0.013035,0.022565,0.011641,0.013376,"12,123","609,873"
"Oct 04, 2017",0.012364,0.013634,0.011942,0.013024,"1,167","578,461"
"Oct 03, 2017",0.013736,0.014940,0.012181,0.012294,"1,606","642,643"
"Oct 02, 2017",0.013905,0.014682,0.013632,0.013735,"1,104","650,535"
"Oct 01, 2017",0.013859,0.015868,0.013440,0.013910,395,"648,406"
"Sep 30, 2017",0.013020,0.013874,0.012991,0.013851,"1,457","609,145"
"Sep 29, 2017",0.013306,0.013936,0.012599,0.013018,"1,159","622,552"
"Sep 28, 2017",0.013181,0.014842,0.013019,0.013317,"1,374","616,702"
"Sep 27, 2017",0.012527,0.015051,0.012527,0.013181,614,"586,075"
"Sep 26, 2017",0.013843,0.014713,0.012116,0.013024,"6,066","647,633"
"Sep 25, 2017",0.012485,0.016975,0.012125,0.013841,"1,296","584,124"
"Sep 24, 2017",0.013984,0.015841,0.010978,0.013305,"1,261","654,263"
"Sep 23, 2017",0.010316,0.016011,0.010217,0.014740,"1,933","482,632"
"Sep 22, 2017",0.011383,0.012767,0.009478,0.010346,"1,233","532,580"
"Sep 21, 2017",0.013698,0.016145,0.011244,0.012807,415,"640,888"
"Sep 20, 2017",0.016265,0.016792,0.011702,0.013767,"1,577","760,953"
"Sep 19, 2017",0.017666,0.017696,0.014883,0.016286,"2,525","826,508"
"Sep 18, 2017",0.014816,0.018689,0.014755,0.017623,"4,187","693,163"
"Sep 17, 2017",0.014041,0.016186,0.013559,0.014845,"5,410","656,935"
"Sep 16, 2017",0.018571,0.019454,0.012087,0.014051,"7,598","868,840"
"Sep 15, 2017",0.015300,0.018893,0.011830,0.018618,"1,880","715,814"
"Sep 14, 2017",0.015273,0.017916,0.012506,0.015460,"1,773","714,545"
"Sep 13, 2017",0.016006,0.017221,0.014460,0.015274,599,"748,876"
"Sep 12, 2017",0.017944,0.019450,0.015589,0.016058,"2,747","839,538"
"Sep 11, 2017",0.009187,0.025844,0.009118,0.017612,"3,532","429,834"
"Sep 10, 2017",0.013992,0.019869,0.009078,0.009193,"67,171","654,617"
"Sep 09, 2017",0.008335,0.021421,0.007841,0.013998,"104,545","389,971"
"Sep 08, 2017",0.024543,0.024545,0.008002,0.008381,"62,528","1,148,270"
"Sep 07, 2017",0.016257,0.024545,0.016255,0.024543,"178,093","760,577"
"Sep 06, 2017",0.013528,0.025978,0.013517,0.016277,"118,762","632,933"
"Sep 05, 2017",0.015661,0.026147,0.012706,0.013524,"102,031","732,715"
"Sep 04, 2017",0.023883,0.024592,0.015654,0.015654,"117,119","1,117,360"
"Sep 03, 2017",0.023753,0.025967,0.022306,0.023777,"176,344","1,111,310"
"Sep 02, 2017",0.023600,0.029134,0.023545,0.023769,"175,527","1,104,160"
"Sep 01, 2017",0.023884,0.027040,0.023238,0.023425,"172,854","1,117,430"
"Aug 31, 2017",0.027190,0.027263,0.020565,0.023862,"174,123","1,272,110"
"Aug 30, 2017",0.020159,0.027312,0.015661,0.027194,"203,647","943,173"
"Aug 29, 2017",0.029680,0.029706,0.020050,0.020149,"150,251","1,388,600"
"Aug 28, 2017",0.027224,0.030355,0.027211,0.029667,"219,462","1,273,690"
"Aug 27, 2017",0.029992,0.029992,0.024100,0.026994,"201,356","1,403,180"
"Aug 26, 2017",0.025638,0.029994,0.024285,0.029993,"223,360","1,199,520"
"Aug 25, 2017",0.024964,0.026348,0.024170,0.025613,"201,539","1,167,970"
"Aug 24, 2017",0.030390,0.037371,0.024970,0.024970,"186,710","1,421,840"
"Aug 23, 2017",0.024157,0.030646,0.024090,0.030354,"240,784","1,130,210"
"Aug 22, 2017",0.023678,0.024318,0.022025,0.024151,"191,389","1,107,810"
"Aug 21, 2017",0.015839,0.023799,0.015839,0.023657,"197,837","741,065"
"Aug 20, 2017",0.015850,0.020235,0.015837,0.015838,"116,767","741,544"
"Aug 19, 2017",0.018447,0.018956,0.015834,0.015851,"116,167","863,082"
"Aug 18, 2017",0.018019,0.018494,0.017871,0.018432,"135,859","843,030"
"Aug 17, 2017",0.015440,0.018162,0.014682,0.018027,"134,714","722,389"
"Aug 16, 2017",0.015484,0.017403,0.015359,0.015432,"115,822","724,417"
"Aug 15, 2017",0.018010,0.018081,0.015297,0.015493,"122,723","842,621"
"Aug 14, 2017",0.015232,0.018087,0.015165,0.018019,"131,398","712,667"
"Aug 13, 2017",0.018222,0.019230,0.015169,0.015232,"113,716","852,531"
"Aug 12, 2017",0.017979,0.018226,0.015042,0.018223,"138,488","841,171"
"Aug 11, 2017",0.019501,0.019597,0.014730,0.017973,"135,651","912,392"
"Aug 10, 2017",0.017951,0.019509,0.017947,0.019454,"144,105","839,856"
"Aug 09, 2017",0.015019,0.017945,0.014853,0.017936,"130,756","702,668"
"Aug 08, 2017",0.012873,0.023333,0.012869,0.015021,"127,346","602,251"
"Aug 07, 2017",0.012732,0.014759,0.012701,0.012878,"96,185","595,690"
"Aug 06, 2017",0.014126,0.014823,0.012719,0.012720,"92,523","660,894"
"Aug 05, 2017",0.014842,0.014878,0.013416,0.014126,"106,350","694,390"
"Aug 04, 2017",0.013406,0.014849,0.013406,0.014848,"108,288","627,224"
"Aug 03, 2017",0.011453,0.013436,0.011346,0.013423,"98,145","535,841"
"Aug 02, 2017",0.010509,0.013372,0.010509,0.011457,"83,363","491,682"
"Aug 01, 2017",0.011169,0.011893,0.010424,0.010504,"76,247","522,541"
