Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.009840,0.009840,0.005938,0.007738,"31,565","1,987,650"
"Dec 15, 2017",0.009581,0.013066,0.007805,0.009845,"108,545","1,935,400"
"Dec 14, 2017",0.009370,0.012130,0.006372,0.009570,"10,079","1,892,720"
"Dec 13, 2017",0.010838,0.011241,0.007193,0.009398,"31,971","2,189,360"
"Dec 12, 2017",0.011734,0.011857,0.010123,0.010679,"15,981","2,370,280"
"Dec 11, 2017",0.012853,0.013524,0.009870,0.011750,"27,207","2,596,250"
"Dec 10, 2017",0.007429,0.014627,0.006374,0.012898,"25,197","1,500,630"
"Dec 09, 2017",0.007795,0.008493,0.007024,0.007042,"8,361","1,574,570"
"Dec 08, 2017",0.006000,0.009783,0.005378,0.007799,"15,763","1,212,070"
"Dec 07, 2017",0.007278,0.008603,0.005773,0.005989,"21,280","1,470,200"
"Dec 06, 2017",0.007499,0.008924,0.006396,0.007291,"23,787","1,514,860"
"Dec 05, 2017",0.007294,0.007911,0.006637,0.007515,"6,651","1,473,310"
"Dec 04, 2017",0.007845,0.008755,0.006664,0.007281,"6,574","1,584,780"
"Dec 03, 2017",0.007772,0.008629,0.006913,0.008049,"10,423","1,570,010"
"Dec 02, 2017",0.007640,0.008466,0.007633,0.007768,"2,900","1,543,310"
"Dec 01, 2017",0.007889,0.009272,0.007568,0.007644,"5,449","1,593,580"
"Nov 30, 2017",0.007021,0.007995,0.006391,0.007924,"2,508","1,418,310"
"Nov 29, 2017",0.008608,0.010941,0.006498,0.006931,"6,271","1,738,800"
"Nov 28, 2017",0.007601,0.011322,0.007045,0.008612,"19,564","1,535,390"
"Nov 27, 2017",0.008003,0.008235,0.007175,0.007586,"2,502","1,616,540"
"Nov 26, 2017",0.007777,0.008817,0.007329,0.008287,"14,850","1,571,050"
"Nov 25, 2017",0.011493,0.014124,0.008266,0.008284,"9,459","2,321,510"
"Nov 24, 2017",0.010726,0.012412,0.010283,0.011511,"7,757","2,166,540"
"Nov 23, 2017",0.011812,0.013101,0.010739,0.010739,"8,365","2,385,970"
"Nov 22, 2017",0.013712,0.018569,0.009755,0.011812,"35,164","2,769,830"
"Nov 21, 2017",0.014784,0.016212,0.010885,0.015095,"64,895","2,986,390"
"Nov 20, 2017",0.011014,0.017049,0.010507,0.014792,"48,080","2,224,770"
"Nov 19, 2017",0.008921,0.015697,0.008805,0.010793,"26,048","1,802,040"
"Nov 18, 2017",0.008207,0.009004,0.007170,0.008966,"13,536","1,657,850"
"Nov 17, 2017",0.007471,0.009169,0.007062,0.008189,"17,514","1,509,060"
"Nov 16, 2017",0.007063,0.008903,0.006782,0.007921,"6,351","1,426,720"
"Nov 15, 2017",0.008245,0.008432,0.007014,0.007039,"4,413","1,665,500"
"Nov 14, 2017",0.011782,0.012036,0.007934,0.008275,"10,257","2,379,920"
"Nov 13, 2017",0.010171,0.012178,0.009352,0.011347,"29,941","2,054,450"
"Nov 12, 2017",0.010768,0.011924,0.008945,0.010153,"10,216","2,175,070"
"Nov 11, 2017",0.011683,0.013264,0.010282,0.010773,"6,396","2,359,950"
"Nov 10, 2017",0.014449,0.015294,0.009742,0.011740,"6,296","2,918,730"
"Nov 09, 2017",0.012473,0.014531,0.008520,0.014411,"15,854","2,519,490"
"Nov 08, 2017",0.012798,0.013619,0.009384,0.012486,"2,575","2,585,150"
"Nov 07, 2017",0.013138,0.013667,0.012115,0.012831,811,"2,653,860"
"Nov 06, 2017",0.013665,0.014950,0.012487,0.013156,"2,886","2,760,410"
"Nov 05, 2017",0.013468,0.014664,0.011886,0.013638,"4,412","2,720,570"
"Nov 04, 2017",0.014733,0.015722,0.012414,0.013489,"5,279","2,976,020"
"Nov 03, 2017",0.013440,0.016760,0.012486,0.014765,"14,382","2,714,850"
"Nov 02, 2017",0.014209,0.014745,0.011533,0.013445,"1,768","2,870,270"
"Nov 01, 2017",0.015413,0.015413,0.012186,0.014196,"3,834","3,113,350"
"Oct 31, 2017",0.014446,0.015548,0.010852,0.015367,"15,081","2,918,100"
"Oct 30, 2017",0.017137,0.017181,0.014194,0.014483,"4,045","3,461,590"
"Oct 29, 2017",0.014089,0.018930,0.013941,0.017236,"57,392","2,845,910"
"Oct 28, 2017",0.012584,0.015749,0.012584,0.014106,"8,171","2,541,940"
"Oct 27, 2017",0.017358,0.017481,0.012159,0.012552,"19,386","3,506,250"
"Oct 26, 2017",0.021713,0.021713,0.014359,0.017354,"33,226","4,386,040"
"Oct 25, 2017",0.018235,0.026206,0.017199,0.021716,"85,910","3,683,550"
"Oct 24, 2017",0.015240,0.026391,0.015240,0.018227,"7,758","3,078,490"
"Oct 23, 2017",0.019823,0.022876,0.015186,0.015269,"9,523","4,004,270"
"Oct 22, 2017",0.016859,0.025162,0.016859,0.019853,"22,399","3,405,520"
"Oct 21, 2017",0.017036,0.018274,0.011966,0.016854,"8,288","3,441,220"
"Oct 20, 2017",0.017003,0.019080,0.011087,0.017071,"12,831","3,434,600"
"Oct 19, 2017",0.017238,0.019353,0.014682,0.016999,"8,488","3,482,080"
"Oct 18, 2017",0.017500,0.020249,0.015308,0.017234,"10,265","3,534,900"
"Oct 17, 2017",0.021994,0.022053,0.016701,0.017499,"2,496","4,442,790"
"Oct 16, 2017",0.022690,0.024250,0.019479,0.021989,"9,802","4,583,380"
"Oct 15, 2017",0.024449,0.026937,0.018840,0.022733,"1,482","4,938,680"
"Oct 14, 2017",0.034948,0.035297,0.017182,0.024403,"5,874","7,059,570"
"Oct 13, 2017",0.033707,0.036525,0.033492,0.034939,"76,708","6,808,820"
"Oct 12, 2017",0.031347,0.033604,0.026621,0.033604,"73,604","6,332,020"
"Oct 11, 2017",0.026758,0.044595,0.015789,0.031325,"73,338","5,405,110"
"Oct 10, 2017",0.023127,0.026564,0.021531,0.026564,"3,681","4,671,680"
"Oct 09, 2017",0.024666,0.025770,0.020301,0.023127,"1,895","4,982,450"
"Oct 08, 2017",0.026379,0.031909,0.021732,0.024659,"15,255","5,328,470"
"Oct 07, 2017",0.031625,0.031639,0.023575,0.026448,"1,661","6,388,240"
"Oct 06, 2017",0.029626,0.034027,0.027065,0.031617,"8,398","5,984,450"
"Oct 05, 2017",0.033834,0.037236,0.028620,0.029626,"5,356","6,834,550"
"Oct 04, 2017",0.030201,0.035203,0.027531,0.033805,"15,182","6,100,690"
"Oct 03, 2017",0.024455,0.034939,0.023303,0.030132,"19,238","4,939,880"
"Oct 02, 2017",0.028314,0.035506,0.023919,0.024454,"6,914","5,719,500"
"Oct 01, 2017",0.028732,0.033601,0.026023,0.028324,"2,612","5,803,820"
"Sep 30, 2017",0.034107,0.037738,0.026416,0.028724,"5,365","6,889,590"
"Sep 29, 2017",0.032129,0.037398,0.026181,0.034102,"11,332","6,490,100"
"Sep 28, 2017",0.033641,0.037898,0.025307,0.032153,"4,964","6,795,440"
"Sep 27, 2017",0.032075,0.036521,0.031871,0.033641,"11,293","6,479,200"
"Sep 26, 2017",0.035893,0.036562,0.026835,0.032158,"18,146","7,250,440"
"Sep 25, 2017",0.032073,0.038199,0.028966,0.035897,"10,239","6,478,690"
"Sep 24, 2017",0.030041,0.034475,0.028926,0.032102,"3,969","6,068,240"
"Sep 23, 2017",0.030058,0.034152,0.029202,0.030043,"15,284","6,071,620"
"Sep 22, 2017",0.033629,0.034199,0.028665,0.030135,"8,445","6,793,080"
"Sep 21, 2017",0.029518,0.036317,0.029518,0.033667,"10,364","5,962,730"
"Sep 20, 2017",0.038708,0.039352,0.029853,0.029921,"32,996","7,819,050"
"Sep 19, 2017",0.037347,0.039978,0.028842,0.038760,"24,181","7,544,130"
"Sep 18, 2017",0.034760,0.039134,0.026723,0.037254,"37,698","7,021,620"
"Sep 17, 2017",0.023577,0.035551,0.023392,0.034829,"72,190","4,762,580"
"Sep 16, 2017",0.024788,0.030412,0.016339,0.023593,"23,757","5,007,160"
"Sep 15, 2017",0.021798,0.025777,0.020132,0.024852,"29,584","4,403,110"
"Sep 14, 2017",0.027659,0.027733,0.021632,0.021632,"6,558","5,587,040"
"Sep 13, 2017",0.028414,0.028435,0.023998,0.027661,"10,526","5,739,590"
"Sep 12, 2017",0.018895,0.031059,0.018686,0.028405,"8,358","3,816,750"
"Sep 11, 2017",0.037299,0.038771,0.018870,0.018901,"2,003","7,534,480"
"Sep 10, 2017",0.043154,0.043154,0.028371,0.037183,"4,379","8,717,020"
"Sep 09, 2017",0.034592,0.043268,0.032283,0.043110,"4,911","6,987,510"
"Sep 08, 2017",0.043930,0.043930,0.030755,0.034528,"7,265","8,873,850"
"Sep 07, 2017",0.041516,0.044019,0.032787,0.043921,"8,211","8,386,170"
"Sep 06, 2017",0.044152,0.044807,0.035482,0.041585,"2,976","8,918,680"
"Sep 05, 2017",0.043956,0.044899,0.037748,0.044033,"2,771","8,879,030"
"Sep 04, 2017",0.044027,0.049408,0.037935,0.042086,"1,349","8,893,480"
"Sep 03, 2017",0.043107,0.048784,0.039250,0.044012,"4,477","8,707,680"
"Sep 02, 2017",0.038529,0.054457,0.032785,0.043080,"7,681","7,782,880"
"Sep 01, 2017",0.051076,0.051667,0.024420,0.038485,"25,778","10,317,300"
"Aug 31, 2017",0.051168,0.055091,0.041841,0.051071,"5,924","10,336,000"
"Aug 30, 2017",0.055016,0.056204,0.045174,0.051256,"4,435","11,113,300"
"Aug 29, 2017",0.049430,0.057615,0.049301,0.055110,"10,653","9,984,860"
"Aug 28, 2017",0.147913,0.147913,0.047789,0.049351,"28,503","29,878,400"
"Aug 27, 2017",0.147820,0.149743,0.146964,0.147765,1,"29,859,600"
"Aug 26, 2017",0.050150,0.148142,0.049272,0.147859,1,"10,130,200"
"Aug 25, 2017",0.055146,0.055799,0.049446,0.050062,"7,930","11,139,600"
"Aug 24, 2017",0.047935,0.055582,0.046218,0.055226,"10,533","9,682,920"
"Aug 23, 2017",0.052439,0.056104,0.043935,0.047916,"10,058","10,592,700"
"Aug 22, 2017",0.054554,0.062969,0.044893,0.052548,"77,278","11,020,000"
"Aug 21, 2017",0.057623,0.058649,0.047277,0.054439,"10,801","11,639,800"
"Aug 20, 2017",0.059737,0.059829,0.055287,0.057842,"21,103","12,066,900"
"Aug 19, 2017",0.054606,0.060711,0.045795,0.059985,"20,104","11,030,300"
"Aug 18, 2017",0.063625,0.063893,0.051713,0.054651,"12,392","12,852,200"
"Aug 17, 2017",0.068066,0.069409,0.059672,0.063789,"11,712","13,749,400"
"Aug 16, 2017",0.060740,0.069302,0.054829,0.068109,"57,291","12,269,400"
"Aug 15, 2017",0.053121,0.063350,0.042702,0.060685,"14,321","10,730,400"
"Aug 14, 2017",0.054434,0.072149,0.037705,0.053007,"5,538","10,995,600"
"Aug 13, 2017",0.073415,0.077299,0.054408,0.054408,"2,269","14,829,900"
"Aug 12, 2017",0.072534,0.076038,0.056492,0.073464,"20,508","14,651,800"
"Aug 11, 2017",0.071231,0.074749,0.065038,0.072569,"21,770","14,388,600"
"Aug 10, 2017",0.067933,0.071465,0.064734,0.071233,"65,876","13,722,600"
"Aug 09, 2017",0.070841,0.071009,0.046679,0.067928,"34,720","14,309,900"
