Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000883,0.001159,0.000803,0.000807,518,-
"Dec 15, 2017",0.001154,0.001260,0.000865,0.000882,440,-
"Dec 14, 2017",0.000973,0.001161,0.000815,0.001154,105,-
"Dec 13, 2017",0.000886,0.001208,0.000818,0.000824,298,-
"Dec 12, 2017",0.001180,0.001371,0.000876,0.000885,377,-
"Dec 11, 2017",0.001062,0.001341,0.000994,0.001176,563,-
"Dec 10, 2017",0.000931,0.001372,0.000904,0.001071,698,-
"Dec 09, 2017",0.000820,0.000940,0.000742,0.000928,576,-
"Dec 08, 2017",0.001069,0.001838,0.000772,0.000821,"1,370",-
"Dec 07, 2017",0.001768,0.006078,0.001046,0.001066,"13,320",-
"Dec 06, 2017",0.000935,0.002025,0.000828,0.001771,"1,488",-
"Dec 05, 2017",0.000698,0.000941,0.000588,0.000937,608,-
"Dec 04, 2017",0.000562,0.000696,0.000446,0.000696,195,-
"Dec 03, 2017",0.000545,0.000592,0.000449,0.000560,16,-
"Dec 02, 2017",0.000554,0.000659,0.000533,0.000543,46,-
"Dec 01, 2017",0.000409,0.000593,0.000395,0.000555,20,-
"Nov 30, 2017",0.000683,0.000733,0.000403,0.000411,99,-
"Nov 29, 2017",0.000603,0.000796,0.000543,0.000673,135,-
"Nov 28, 2017",0.000696,0.000787,0.000422,0.000603,282,-
"Nov 27, 2017",0.000573,0.000697,0.000569,0.000696,126,-
"Nov 26, 2017",0.000634,0.000644,0.000532,0.000572,30,-
"Nov 25, 2017",0.000329,0.000634,0.000327,0.000634,59,-
"Nov 24, 2017",0.000526,0.000704,0.000328,0.000329,30,-
"Nov 23, 2017",0.000502,0.000568,0.000462,0.000532,38,-
"Nov 22, 2017",0.000400,0.000536,0.000374,0.000511,10,-
"Nov 21, 2017",0.000586,0.001207,0.000284,0.000400,14,-
"Nov 20, 2017",0.000561,0.000589,0.000399,0.000586,97,-
"Nov 19, 2017",0.000467,0.000559,0.000460,0.000559,32,-
"Nov 18, 2017",0.000480,0.000536,0.000441,0.000468,12,-
"Nov 17, 2017",0.000426,0.000496,0.000379,0.000481,75,-
"Nov 16, 2017",0.000657,0.000657,0.000333,0.000427,169,-
"Nov 15, 2017",0.000660,0.000679,0.000436,0.000653,59,-
"Nov 14, 2017",0.000588,0.000672,0.000131,0.000659,"1,037",-
"Nov 13, 2017",0.000420,0.000655,0.000417,0.000587,28,-
"Nov 12, 2017",0.000573,0.000592,0.000405,0.000419,62,-
"Nov 11, 2017",0.000598,0.000731,0.000560,0.000573,162,-
"Nov 10, 2017",0.000783,0.000860,0.000587,0.000603,4,-
"Nov 09, 2017",0.000896,0.000896,0.000706,0.000780,167,-
"Nov 08, 2017",0.000706,0.000897,0.000702,0.000897,79,-
"Nov 07, 2017",0.000697,0.000716,0.000694,0.000708,44,-
"Nov 06, 2017",0.000852,0.000882,0.000685,0.000699,76,-
"Nov 05, 2017",0.000738,0.000862,0.000730,0.000850,22,-
"Nov 04, 2017",0.000645,0.000755,0.000630,0.000739,59,-
"Nov 03, 2017",0.000632,0.000892,0.000628,0.000647,224,-
"Nov 02, 2017",0.000727,0.000744,0.000603,0.000632,218,-
"Nov 01, 2017",0.000644,0.000728,0.000573,0.000727,132,-
"Oct 31, 2017",0.000735,0.000741,0.000616,0.000645,35,-
"Oct 30, 2017",0.000677,0.000803,0.000543,0.000737,318,-
"Oct 29, 2017",0.000788,0.000906,0.000623,0.000681,124,-
"Oct 28, 2017",0.000576,0.000929,0.000573,0.000791,188,-
"Oct 27, 2017",0.000648,0.000695,0.000575,0.000575,30,-
"Oct 26, 2017",0.000753,0.000917,0.000644,0.000647,1,-
"Oct 25, 2017",0.000603,0.000763,0.000546,0.000754,13,-
"Oct 24, 2017",0.000520,0.000698,0.000493,0.000598,9,-
"Oct 23, 2017",0.000654,0.000780,0.000514,0.000521,76,-
"Oct 22, 2017",0.000661,0.001117,0.000638,0.000655,131,-
"Oct 21, 2017",0.000673,0.000684,0.000538,0.000661,246,-
"Oct 20, 2017",0.000570,0.000680,0.000570,0.000673,49,-
"Oct 19, 2017",0.000611,0.000669,0.000565,0.000570,20,-
"Oct 18, 2017",0.000616,0.000650,0.000520,0.000612,28,-
"Oct 17, 2017",0.000693,0.000734,0.000558,0.000616,42,-
"Oct 16, 2017",0.000854,0.000858,0.000568,0.000692,122,-
"Oct 15, 2017",0.000760,0.000862,0.000547,0.000854,268,-
"Oct 14, 2017",0.000621,0.000759,0.000572,0.000758,316,-
"Oct 13, 2017",0.000921,0.001020,0.000570,0.000789,796,-
"Oct 12, 2017",0.000772,0.000918,0.000630,0.000918,57,-
"Oct 11, 2017",0.000714,0.001023,0.000620,0.000771,141,-
"Oct 10, 2017",0.000670,0.000984,0.000626,0.000714,221,-
"Oct 09, 2017",0.000552,0.000845,0.000547,0.000670,38,-
"Oct 08, 2017",0.000578,0.000669,0.000534,0.000552,33,-
"Oct 07, 2017",0.000613,0.000646,0.000549,0.000579,14,-
"Oct 06, 2017",0.000562,0.000741,0.000561,0.000613,207,-
"Oct 05, 2017",0.000480,0.000611,0.000474,0.000562,40,-
"Oct 04, 2017",0.000562,0.000599,0.000474,0.000479,58,-
"Oct 03, 2017",0.000660,0.000668,0.000436,0.000560,110,-
"Oct 02, 2017",0.000552,0.000662,0.000482,0.000659,51,-
"Oct 01, 2017",0.000650,0.000731,0.000515,0.000549,43,-
"Sep 30, 2017",0.000708,0.000769,0.000355,0.000650,"1,226",-
"Sep 29, 2017",0.000712,0.000795,0.000546,0.000708,179,-
"Sep 28, 2017",0.000796,0.000851,0.000670,0.000712,131,-
"Sep 27, 2017",0.000739,0.000821,0.000709,0.000796,96,-
"Sep 26, 2017",0.000708,0.000788,0.000701,0.000741,31,-
"Sep 25, 2017",0.000734,0.000904,0.000680,0.000707,311,-
"Sep 24, 2017",0.000872,0.000944,0.000634,0.000735,237,-
"Sep 23, 2017",0.000977,0.001026,0.000640,0.000872,754,-
"Sep 22, 2017",0.000833,0.001289,0.000726,0.000980,434,-
"Sep 21, 2017",0.001000,0.001065,0.000825,0.000834,26,-
"Sep 20, 2017",0.001015,0.001111,0.000895,0.001005,115,-
"Sep 19, 2017",0.001018,0.001270,0.000948,0.001017,224,-
"Sep 18, 2017",0.001035,0.001347,0.001008,0.001015,207,-
"Sep 17, 2017",0.000961,0.001290,0.000871,0.001037,309,-
"Sep 16, 2017",0.000896,0.001497,0.000894,0.000962,399,-
"Sep 15, 2017",0.000787,0.001221,0.000654,0.000899,75,-
"Sep 14, 2017",0.000970,0.001093,0.000783,0.000783,44,-
"Sep 13, 2017",0.001245,0.001250,0.000881,0.000969,81,-
"Sep 12, 2017",0.001263,0.001485,0.001234,0.001250,57,-
"Sep 11, 2017",0.001244,0.001433,0.001174,0.001262,147,-
"Sep 10, 2017",0.001462,0.001475,0.001209,0.001246,135,-
"Sep 09, 2017",0.001293,0.001479,0.001257,0.001466,65,-
"Sep 08, 2017",0.001575,0.001575,0.001236,0.001290,34,-
"Sep 07, 2017",0.001549,0.001684,0.001488,0.001575,114,-
"Sep 06, 2017",0.001421,0.001652,0.001334,0.001552,64,-
"Sep 05, 2017",0.001292,0.001862,0.001217,0.001419,604,-
"Sep 04, 2017",0.001411,0.001526,0.001180,0.001285,59,-
"Sep 03, 2017",0.001813,0.002101,0.001344,0.001412,651,-
