Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.851537,0.939390,0.747906,0.921172,"20,799,200","236,014,000"
"Dec 15, 2017",0.669613,0.906382,0.578811,0.853001,"31,718,200","185,592,000"
"Dec 14, 2017",0.550091,0.699285,0.507013,0.673752,"17,569,000","152,465,000"
"Dec 13, 2017",0.587443,0.590792,0.508531,0.552646,"8,953,480","162,817,000"
"Dec 12, 2017",0.579233,0.613100,0.523174,0.582677,"10,869,400","160,542,000"
"Dec 11, 2017",0.465261,0.591257,0.463595,0.577600,"10,485,300","128,953,000"
"Dec 10, 2017",0.555543,0.555543,0.439910,0.464684,"7,447,170","153,976,000"
"Dec 09, 2017",0.567380,0.603060,0.476517,0.552503,"7,636,390","157,257,000"
"Dec 08, 2017",0.461760,0.654249,0.458676,0.565619,"13,042,900","127,983,000"
"Dec 07, 2017",0.577858,0.641110,0.428127,0.467044,"11,494,900","160,161,000"
"Dec 06, 2017",0.683061,0.683061,0.567762,0.589222,"13,177,000","189,319,000"
"Dec 05, 2017",0.505297,0.716263,0.439020,0.684010,"25,974,900","140,049,000"
"Dec 04, 2017",0.443465,0.503990,0.406857,0.497426,"9,729,420","122,912,000"
"Dec 03, 2017",0.368119,0.451840,0.341042,0.444544,"10,074,100","102,029,000"
"Dec 02, 2017",0.332752,0.371565,0.307087,0.367434,"7,044,710","92,226,400"
"Dec 01, 2017",0.254978,0.342346,0.226491,0.331534,"7,863,330","70,670,300"
"Nov 30, 2017",0.231503,0.265487,0.209143,0.255799,"2,991,240","64,164,000"
"Nov 29, 2017",0.268597,0.293688,0.227916,0.229357,"3,674,300","74,445,000"
"Nov 28, 2017",0.245575,0.298447,0.235749,0.269134,"4,031,420","68,064,100"
"Nov 27, 2017",0.244841,0.265339,0.234711,0.245728,"2,216,870","67,860,900"
"Nov 26, 2017",0.256230,0.256279,0.238027,0.245005,"1,667,250","71,017,500"
"Nov 25, 2017",0.256155,0.262847,0.246314,0.256218,"1,416,020","70,996,600"
"Nov 24, 2017",0.237601,0.260191,0.228138,0.258151,"1,884,340","65,854,200"
"Nov 23, 2017",0.261962,0.265923,0.238242,0.238242,"2,133,510","72,606,000"
"Nov 22, 2017",0.270566,0.273905,0.247486,0.262787,"1,893,560","74,990,800"
"Nov 21, 2017",0.266797,0.268798,0.240663,0.267959,"1,583,940","73,946,300"
"Nov 20, 2017",0.249106,0.281754,0.249106,0.268240,"1,772,860","69,042,900"
"Nov 19, 2017",0.264651,0.271111,0.242349,0.249098,"1,146,710","73,351,200"
"Nov 18, 2017",0.260259,0.270433,0.250559,0.265129,"909,141","72,134,200"
"Nov 17, 2017",0.267459,0.278233,0.250585,0.257303,"1,477,450","74,129,600"
