Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.020473,0.024305,0.019391,0.023973,"1,024","223,739"
"Dec 15, 2017",0.022350,0.022937,0.020153,0.020444,350,"244,258"
"Dec 14, 2017",0.020756,0.023022,0.018728,0.022307,"1,094","226,837"
"Dec 13, 2017",0.023967,0.024193,0.018901,0.020798,"1,087","261,928"
"Dec 12, 2017",0.023551,0.027664,0.022084,0.023942,"1,080","257,379"
"Dec 11, 2017",0.019047,0.024080,0.017003,0.023391,"1,113","208,159"
"Dec 10, 2017",0.017733,0.024545,0.014986,0.019187,"1,885","193,797"
"Dec 09, 2017",0.022335,0.022946,0.016808,0.017663,927,"244,090"
"Dec 08, 2017",0.025868,0.027567,0.019152,0.022357,"1,325","282,705"
"Dec 07, 2017",0.021333,0.026903,0.020680,0.025812,"1,067","233,144"
"Dec 06, 2017",0.018140,0.022747,0.018140,0.021350,"1,325","198,246"
"Dec 05, 2017",0.020626,0.022155,0.018223,0.018648,992,"225,415"
"Dec 04, 2017",0.025373,0.026120,0.017591,0.020584,"2,803","277,290"
"Dec 03, 2017",0.024166,0.027138,0.023865,0.025288,"3,876","264,106"
"Dec 02, 2017",0.024624,0.025493,0.024137,0.024143,411,"269,104"
"Dec 01, 2017",0.020258,0.025536,0.019572,0.024646,"1,909","221,393"
"Nov 30, 2017",0.018483,0.023267,0.018089,0.020358,"3,088","168,834"
"Nov 29, 2017",0.013292,0.019180,0.013074,0.018196,"3,050","121,422"
"Nov 28, 2017",0.013379,0.013502,0.011844,0.013305,"1,772","122,218"
"Nov 27, 2017",0.014979,0.017399,0.013112,0.013345,999,"136,828"
"Nov 26, 2017",0.016357,0.017463,0.013808,0.014956,353,"149,415"
"Nov 25, 2017",0.015248,0.016543,0.014618,0.016359,451,"139,288"
"Nov 24, 2017",0.016741,0.016774,0.014256,0.015278,"1,390","152,921"
"Nov 23, 2017",0.017593,0.021340,0.016752,0.016752,"1,734","160,708"
