Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004412,0.008244,0.004386,0.008197,518,"72,681"
"Dec 15, 2017",0.007453,0.008314,0.003625,0.004406,530,"122,789"
"Dec 14, 2017",0.004094,0.007945,0.004048,0.007458,730,"67,445"
"Dec 13, 2017",0.004146,0.004519,0.003952,0.004107,151,"68,308"
"Dec 12, 2017",0.008250,0.008524,0.003983,0.004143,261,"135,915"
"Dec 11, 2017",0.008386,0.009474,0.003927,0.008224,160,"138,154"
"Dec 10, 2017",0.009023,0.009023,0.004104,0.008447,98,"148,642"
"Dec 09, 2017",0.010571,0.010893,0.004556,0.008986,247,"174,161"
"Dec 08, 2017",0.014752,0.014972,0.006817,0.010582,129,"243,035"
"Dec 07, 2017",0.011538,0.014717,0.002991,0.014717,"11,941","190,086"
"Dec 06, 2017",0.011935,0.012606,0.009657,0.011833,"14,746","196,621"
"Dec 05, 2017",0.011540,0.012990,0.010430,0.011961,"5,175","190,112"
"Dec 04, 2017",0.010792,0.012336,0.009319,0.011633,"12,742","177,796"
"Dec 03, 2017",0.011041,0.011579,0.010147,0.010756,"12,900","181,896"
"Dec 02, 2017",0.013605,0.015955,0.010979,0.011358,"15,247","224,145"
"Dec 01, 2017",0.008194,0.015467,0.007675,0.014053,"17,994","134,998"
"Nov 30, 2017",0.008060,0.008768,0.006749,0.007934,"9,570","132,778"
"Nov 29, 2017",0.009432,0.010326,0.005759,0.008131,"9,541","155,381"
"Nov 28, 2017",0.013072,0.013314,0.009143,0.009143,"14,587","215,360"
"Nov 27, 2017",0.014442,0.015045,0.010477,0.012649,"18,402","237,933"
"Nov 26, 2017",0.013382,0.016247,0.012242,0.014440,"20,176","220,460"
"Nov 25, 2017",0.006896,0.014594,0.006893,0.013386,"20,852","113,615"
"Nov 24, 2017",0.006143,0.006963,0.005814,0.006910,"11,443",-
