Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.206753,0.211447,0.175389,0.175639,"5,804","6,903,590"
"Dec 15, 2017",0.198290,0.213168,0.178951,0.206463,"7,032","6,620,980"
"Dec 14, 2017",0.194602,0.232001,0.158435,0.197992,"45,071","6,497,870"
"Dec 13, 2017",0.231353,0.234423,0.166638,0.182518,"16,540","7,724,980"
"Dec 12, 2017",0.166487,0.239043,0.161785,0.231159,"33,144","5,559,070"
"Dec 11, 2017",0.140916,0.215185,0.133087,0.165954,"26,608","4,705,260"
"Dec 10, 2017",0.150425,0.166660,0.135261,0.141941,635,"5,022,760"
"Dec 09, 2017",0.154608,0.198352,0.134174,0.149818,"15,718","5,162,440"
"Dec 08, 2017",0.181197,0.183899,0.125697,0.154764,"17,534","6,050,250"
"Dec 07, 2017",0.130423,0.180771,0.122148,0.180771,"13,943","4,354,900"
"Dec 06, 2017",0.106357,0.154611,0.104826,0.130648,"3,849","3,551,320"
"Dec 05, 2017",0.090136,0.118174,0.079833,0.106593,"9,228","3,009,680"
"Dec 04, 2017",0.050787,0.114320,0.050731,0.089959,"15,231","1,695,800"
"Dec 03, 2017",0.095335,0.132869,0.050619,0.050619,"25,446","3,183,280"
"Dec 02, 2017",0.126069,0.141291,0.094625,0.095244,"26,537","4,209,490"
"Dec 01, 2017",0.103451,0.129703,0.088781,0.126176,"22,252","3,454,280"
"Nov 30, 2017",0.115923,0.139074,0.092370,0.103966,"37,749","3,870,740"
"Nov 29, 2017",0.123896,0.135164,0.107532,0.114170,"2,197","4,136,960"
"Nov 28, 2017",0.116708,0.138725,0.098823,0.124020,"22,174","3,896,930"
"Nov 27, 2017",0.122758,0.155095,0.088022,0.116407,"16,989","4,098,940"
"Nov 26, 2017",0.102139,0.123672,0.101341,0.122699,"5,003","3,410,470"
"Nov 25, 2017",0.105949,0.106366,0.099997,0.102153,"178,437","3,537,690"
"Nov 24, 2017",0.106652,0.110659,0.104727,0.106054,"202,044","3,561,150"
"Nov 23, 2017",0.097194,0.109046,0.096447,0.106837,"205,851","3,245,350"
"Nov 22, 2017",0.093941,0.097266,0.092316,0.097131,"194,474","3,136,740"
"Nov 21, 2017",0.097301,0.097662,0.092029,0.093780,"177,417","3,248,920"
"Nov 20, 2017",0.094701,0.098809,0.094505,0.097311,"199,391","3,162,110"
"Nov 19, 2017",0.090950,0.098027,0.090761,0.094752,"228,641","3,036,860"
"Nov 18, 2017",0.088650,0.091295,0.087366,0.091089,"201,090","2,960,080"
"Nov 17, 2017",0.089044,0.090647,0.087007,0.088833,"209,783","2,973,230"
"Nov 16, 2017",0.090150,0.090281,0.086323,0.088775,"213,328","3,010,160"
"Nov 15, 2017",0.085767,0.090480,0.085767,0.089997,"156,696","2,863,820"
"Nov 14, 2017",0.083429,0.087974,0.083093,0.085669,"121,201","2,785,750"
"Nov 13, 2017",0.080089,0.105223,0.078891,0.083347,"87,252","2,674,190"
"Nov 12, 2017",0.089568,0.314887,0.079625,0.080004,"159,972","2,990,730"
"Nov 11, 2017",0.149794,0.149794,0.086957,0.089568,"337,467","5,001,710"
"Nov 10, 2017",0.172068,0.178242,0.145565,0.150180,"274,717","5,745,420"
"Nov 09, 2017",0.177647,0.186591,0.170502,0.172145,"364,503","5,931,720"
"Nov 08, 2017",0.198580,0.202280,0.166292,0.178113,"401,861","6,630,680"
"Nov 07, 2017",0.186227,0.203013,0.184597,0.198979,"136,599","6,218,210"
"Nov 06, 2017",0.164145,0.192784,0.162777,0.186389,"264,743","5,480,880"
"Nov 05, 2017",0.167261,0.179354,0.162507,0.163943,"398,697","5,584,930"
"Nov 04, 2017",0.159229,0.168191,0.157906,0.167039,"220,241","5,316,740"
"Nov 03, 2017",0.151786,0.174757,0.150057,0.159379,"303,922","5,068,210"
"Nov 02, 2017",0.165229,0.166361,0.150811,0.150811,"261,145","5,517,090"
"Nov 01, 2017",0.181259,0.181259,0.160623,0.166257,"343,407","6,052,320"
"Oct 31, 2017",0.199465,0.200368,0.180887,0.181409,"246,318","6,660,220"
"Oct 30, 2017",0.200623,0.202750,0.196903,0.199626,"205,112","6,698,920"
"Oct 29, 2017",0.195966,0.203861,0.191221,0.201468,"214,645","6,543,390"
