Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.009052,0.009824,0.007708,0.009472,"12,005","895,810"
"Dec 15, 2017",0.008059,0.009278,0.008058,0.008702,"2,889","797,580"
"Dec 14, 2017",0.009183,0.009537,0.007935,0.008047,"4,414","908,832"
"Dec 13, 2017",0.012793,0.012926,0.008218,0.009213,"3,429","1,266,060"
"Dec 12, 2017",0.011990,0.013651,0.009215,0.012782,"14,062","1,186,570"
"Dec 11, 2017",0.010012,0.013371,0.009968,0.011952,"12,276","990,794"
"Dec 10, 2017",0.010769,0.010947,0.008637,0.010084,"8,466","1,065,700"
"Dec 09, 2017",0.008984,0.011762,0.007669,0.010725,"31,271","889,077"
"Dec 08, 2017",0.008609,0.013186,0.007833,0.008993,"10,079","851,945"
"Dec 07, 2017",0.010302,0.012036,0.006047,0.008588,"27,720","1,019,530"
"Dec 06, 2017",0.004566,0.011534,0.004412,0.010320,"18,931","451,834"
"Dec 05, 2017",0.004801,0.006393,0.003651,0.004576,"3,738","475,145"
"Dec 04, 2017",0.003908,0.009719,0.003668,0.004792,"3,486","386,756"
"Dec 03, 2017",0.003630,0.004588,0.003446,0.003895,"2,699","359,277"
"Dec 02, 2017",0.003849,0.003920,0.003465,0.003627,"1,960","380,877"
"Dec 01, 2017",0.003710,0.004230,0.003068,0.003852,"1,529","367,112"
"Nov 30, 2017",0.003336,0.004499,0.003128,0.003726,"1,701","330,170"
"Nov 29, 2017",0.003886,0.003979,0.003185,0.003287,"1,730","384,565"
"Nov 28, 2017",0.003725,0.003879,0.002690,0.003876,"2,910","368,633"
"Nov 27, 2017",0.003681,0.004212,0.003512,0.003715,"1,565","364,312"
"Nov 26, 2017",0.003485,0.003929,0.003429,0.003680,"1,380","344,884"
"Nov 25, 2017",0.003141,0.003710,0.003045,0.003486,"1,330","310,867"
"Nov 24, 2017",0.003638,0.003707,0.003002,0.003148,"1,591","360,026"
"Nov 23, 2017",0.003866,0.003924,0.002976,0.003643,"3,196","382,580"
"Nov 22, 2017",0.003767,0.004052,0.003344,0.003867,"2,413","372,790"
"Nov 21, 2017",0.003810,0.004585,0.003545,0.003758,"2,041","377,053"
"Nov 20, 2017",0.003600,0.005398,0.003088,0.003809,"4,217","356,321"
"Nov 19, 2017",0.002865,0.004137,0.002806,0.003601,"2,549","283,559"
"Nov 18, 2017",0.002727,0.003172,0.002189,0.002871,752,"269,857"
"Nov 17, 2017",0.002577,0.002861,0.001696,0.002737,637,"255,070"
"Nov 16, 2017",0.004108,0.004108,0.002547,0.002582,848,"406,528"
"Nov 15, 2017",0.002994,0.004891,0.002491,0.004086,"6,956","296,307"
"Nov 14, 2017",0.002396,0.003457,0.002396,0.002992,"2,895","237,086"
"Nov 13, 2017",0.002810,0.002894,0.001863,0.002391,"1,331","278,077"
"Nov 12, 2017",0.002461,0.002813,0.000978,0.002806,"2,837","243,559"
"Nov 11, 2017",0.003381,0.003391,0.002267,0.002463,723,"334,594"
"Nov 10, 2017",0.003489,0.004852,0.002450,0.003393,"3,085","345,274"
"Nov 09, 2017",0.003713,0.004202,0.003113,0.003479,"2,300","367,407"
"Nov 08, 2017",0.003225,0.003967,0.003152,0.003716,"1,665","319,181"
"Nov 07, 2017",0.003887,0.003959,0.003045,0.003237,"1,457","384,655"
"Nov 06, 2017",0.004300,0.004386,0.003543,0.003936,"1,902","425,544"
"Nov 05, 2017",0.003718,0.005302,0.003187,0.004290,"4,892","367,960"
"Nov 04, 2017",0.004193,0.005988,0.002969,0.003725,"1,951","414,979"
"Nov 03, 2017",0.003293,0.004204,0.003004,0.004204,"2,258","325,844"
"Nov 02, 2017",0.004430,0.005075,0.001900,0.003432,"2,987","438,422"
"Nov 01, 2017",0.005008,0.005008,0.004231,0.004428,"1,941","495,590"
"Oct 31, 2017",0.004176,0.005156,0.004176,0.005022,"1,459","413,249"
"Oct 30, 2017",0.004748,0.006782,0.004103,0.004190,"5,828","469,879"
"Oct 29, 2017",0.005116,0.005116,0.004328,0.004778,"3,135","506,328"
"Oct 28, 2017",0.004578,0.005560,0.004515,0.005123,"2,582","453,100"
"Oct 27, 2017",0.005524,0.005901,0.004408,0.004589,"2,683","546,717"
"Oct 26, 2017",0.005050,0.006384,0.004695,0.005523,"4,572","499,749"
"Oct 25, 2017",0.005242,0.005410,0.004328,0.005050,"5,437","518,723"
"Oct 24, 2017",0.005781,0.006047,0.005197,0.005239,"2,445","572,074"
"Oct 23, 2017",0.005980,0.007501,0.005472,0.005782,"5,225","591,814"
"Oct 22, 2017",0.005974,0.006662,0.005414,0.005990,"6,872","591,187"
"Oct 21, 2017",0.005843,0.007065,0.005510,0.005972,"5,551","578,289"
"Oct 20, 2017",0.007028,0.007361,0.005831,0.005856,"4,484","695,528"
"Oct 19, 2017",0.005466,0.009359,0.005181,0.006140,"12,901","540,914"
"Oct 18, 2017",0.004848,0.006402,0.004119,0.005460,"6,044","479,777"
"Oct 17, 2017",0.005666,0.005679,0.004621,0.004786,"1,085","560,756"
"Oct 16, 2017",0.004743,0.005817,0.003310,0.005665,"1,931","469,369"
"Oct 15, 2017",0.006278,0.006278,0.004540,0.004742,"6,735","621,256"
"Oct 14, 2017",0.005861,0.007858,0.004795,0.006266,"2,664","579,995"
"Oct 13, 2017",0.007677,0.008440,0.005859,0.005859,"4,734","759,761"
"Oct 12, 2017",0.007441,0.008316,0.006971,0.007654,"3,275","736,355"
"Oct 11, 2017",0.007767,0.008188,0.006529,0.007434,"4,695","768,654"
"Oct 10, 2017",0.008310,0.008387,0.006037,0.007768,"5,139","822,403"
"Oct 09, 2017",0.009470,0.009508,0.006034,0.008311,"24,856","937,216"
"Oct 08, 2017",0.008769,0.010855,0.007712,0.009468,"18,882","867,813"
"Oct 07, 2017",0.006633,0.008792,0.006264,0.008792,"25,040","656,463"
