Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.092469,0.102223,0.091302,0.092697,5,"101,275"
"Dec 15, 2017",0.094135,0.094135,0.091340,0.092340,55,"103,099"
"Dec 14, 2017",0.085807,0.089414,0.084838,0.087235,245,"93,978"
"Dec 13, 2017",0.087262,0.091075,0.083505,0.086084,256,"95,572"
"Dec 12, 2017",0.088224,0.093055,0.086156,0.091376,9,"96,625"
"Dec 11, 2017",0.079894,0.093472,0.079545,0.087942,13,"87,502"
"Dec 10, 2017",0.078797,0.081996,0.069368,0.080475,2,"86,300"
"Dec 09, 2017",0.085223,0.086485,0.070971,0.078479,4,"93,338"
"Dec 08, 2017",0.092678,0.092678,0.073789,0.085308,95,"101,503"
"Dec 07, 2017",0.071976,0.090729,0.071055,0.090729,592,"78,830"
"Dec 06, 2017",0.062599,0.072201,0.062599,0.072100,45,"68,560"
"Dec 05, 2017",0.062361,0.063756,0.061490,0.062738,1,"68,299"
"Dec 04, 2017",0.060031,0.062239,0.058144,0.062239,76,"65,748"
"Dec 03, 2017",0.058427,0.063210,0.056541,0.059833,3,"63,991"
"Nov 29, 2017",0.052618,0.060626,0.048193,0.053907,1,"57,629"
"Nov 28, 2017",0.051118,0.052824,0.050624,0.052671,1,"55,986"
"Nov 27, 2017",0.048825,0.051072,0.048825,0.050986,48,"53,474"
"Nov 26, 2017",0.045831,0.049862,0.045779,0.048815,313,"50,195"
"Nov 25, 2017",0.045030,0.045846,0.044772,0.045846,2,"49,317"
"Nov 23, 2017",0.044334,0.044550,0.043538,0.043671,2,"48,555"
"Nov 22, 2017",0.042518,0.044352,0.042390,0.044348,11,"46,567"
"Nov 21, 2017",0.043124,0.043859,0.040852,0.042415,4,"47,230"
"Nov 20, 2017",0.042147,0.042804,0.041643,0.042711,1,"46,161"
"Nov 19, 2017",0.040492,0.042505,0.040022,0.042167,1,"44,348"
"Nov 18, 2017",0.036512,0.040879,0.035396,0.040567,1,"39,989"
"Nov 17, 2017",0.037563,0.037939,0.036158,0.036652,4,"41,140"
"Nov 15, 2017",0.031405,0.033075,0.031405,0.033075,18,"34,396"
"Nov 14, 2017",0.031278,0.031553,0.030526,0.031384,18,"34,256"
"Nov 12, 2017",0.030216,0.030216,0.026301,0.029395,2,"33,093"
"Nov 11, 2017",0.031231,0.032348,0.029600,0.030238,2,"34,205"
"Nov 10, 2017",0.034341,0.034380,0.030645,0.031342,3,"37,611"
"Nov 07, 2017",0.033125,0.034339,0.033125,0.033856,17,"36,279"
"Nov 06, 2017",0.033483,0.034106,0.033057,0.033178,17,"36,672"
"Nov 04, 2017",0.037125,0.039107,0.036273,0.038451,8,"40,660"
"Nov 03, 2017",0.035116,0.037345,0.034725,0.037221,8,"38,460"
"Nov 02, 2017",0.035729,0.036840,0.034238,0.035162,35,"39,131"
"Nov 01, 2017",0.037697,0.037709,0.034619,0.035689,18,"41,287"
"Oct 31, 2017",0.036041,0.037725,0.035658,0.037725,7,"39,473"
"Oct 30, 2017",0.034602,0.034938,0.033920,0.034309,1,"37,897"
"Oct 29, 2017",0.030725,0.035532,0.030507,0.034804,27,"33,651"
"Oct 28, 2017",0.045935,0.046788,0.045216,0.045756,1,"50,309"
"Oct 27, 2017",0.031311,0.046141,0.030568,0.045810,2,"34,293"
"Oct 24, 2017",0.046925,0.046925,0.044520,0.044959,1,"51,393"
"Oct 23, 2017",0.031690,0.047955,0.030103,0.047028,7,"34,708"
"Oct 22, 2017",0.040478,0.040526,0.030463,0.031741,17,"44,333"
"Oct 21, 2017",0.040955,0.042235,0.040254,0.041114,7,"44,855"
"Oct 20, 2017",0.043186,0.045611,0.040639,0.041041,16,"47,298"
"Oct 19, 2017",0.054476,0.055976,0.053977,0.055379,26,"59,663"
"Oct 18, 2017",0.051131,0.054709,0.051131,0.054448,25,"55,999"
"Oct 17, 2017",0.043574,0.043699,0.042272,0.042582,1,"47,723"
"Oct 16, 2017",0.043042,0.043795,0.042616,0.043567,1,"47,141"
"Oct 14, 2017",0.042587,0.043609,0.042121,0.043235,4,"46,643"
"Oct 13, 2017",0.054407,0.058770,0.041707,0.042576,4,"59,588"
"Oct 12, 2017",0.053304,0.054240,0.052882,0.054240,200,"58,380"
"Oct 11, 2017",0.047628,0.048286,0.047249,0.047732,8,"52,163"
"Oct 10, 2017",0.047862,0.049283,0.047287,0.047636,8,"52,419"
"Oct 09, 2017",0.044814,0.048701,0.044692,0.047865,19,"49,081"
"Oct 07, 2017",0.042601,0.042719,0.042134,0.042449,1,"46,658"
"Oct 06, 2017",0.042112,0.043018,0.042028,0.042588,1,"46,123"
"Oct 05, 2017",0.041117,0.042529,0.040426,0.042113,1,"45,032"
"Oct 04, 2017",0.042074,0.042340,0.040872,0.041079,56,"46,080"
"Oct 03, 2017",0.042884,0.042884,0.041577,0.041976,19,"46,967"
"Oct 02, 2017",0.043941,0.044280,0.042544,0.042882,1,"48,125"
"Oct 01, 2017",0.042319,0.043960,0.041537,0.043960,4,"46,348"
"Sep 30, 2017",0.041906,0.042446,0.041885,0.042296,5,"45,897"
"Sep 29, 2017",0.040846,0.041271,0.039429,0.040879,9,"44,735"
"Sep 28, 2017",0.041991,0.042657,0.040727,0.040877,11,"45,989"
"Sep 27, 2017",0.037875,0.042160,0.037875,0.041989,6,"41,482"
"Sep 26, 2017",0.029736,0.038776,0.029734,0.037981,49,"32,568"
"Sep 25, 2017",0.027690,0.037817,0.027679,0.029739,41,"30,326"
"Sep 24, 2017",0.028603,0.028603,0.027436,0.027718,4,"31,327"
"Sep 23, 2017",0.027785,0.028806,0.027785,0.028606,3,"30,431"
"Sep 22, 2017",0.027265,0.028317,0.026624,0.027019,86,"29,861"
"Sep 21, 2017",0.029290,0.029487,0.027012,0.027296,87,"32,079"
"Sep 20, 2017",0.034831,0.035980,0.029365,0.029434,88,"38,148"
"Sep 19, 2017",0.030978,0.035101,0.029185,0.034877,1,"33,928"
"Sep 18, 2017",0.027935,0.036497,0.027935,0.030903,35,"30,595"
"Sep 17, 2017",0.027970,0.028723,0.026273,0.027991,5,"30,633"
"Sep 16, 2017",0.027931,0.029223,0.026779,0.027989,5,"30,591"
"Sep 15, 2017",0.021999,0.028798,0.020266,0.028004,50,"24,093"
"Sep 14, 2017",0.025938,0.026284,0.021828,0.021828,0,"28,408"
"Sep 13, 2017",0.027780,0.027881,0.025285,0.025939,5,"30,425"
"Sep 12, 2017",0.022437,0.027989,0.022437,0.027886,35,"24,574"
"Sep 11, 2017",0.022229,0.022887,0.021634,0.022444,6,"24,345"
"Sep 10, 2017",0.022787,0.022787,0.022196,0.022266,2,"24,957"
"Sep 08, 2017",0.024235,0.024569,0.022462,0.022775,1,"26,543"
"Sep 07, 2017",0.024328,0.024459,0.024007,0.024230,1,"26,645"
"Sep 05, 2017",0.022521,0.022521,0.021218,0.022205,1,"24,665"
"Sep 04, 2017",0.024157,0.024175,0.021719,0.022405,1,"26,458"
"Sep 03, 2017",0.024501,0.024544,0.023180,0.024149,3,"26,834"
"Sep 01, 2017",0.021985,0.022829,0.021772,0.022685,1,"24,079"
"Aug 31, 2017",0.023951,0.024913,0.021963,0.021981,1,"26,231"
"Aug 30, 2017",0.022189,0.024030,0.020800,0.023992,20,"24,302"
"Aug 29, 2017",0.020320,0.022249,0.020138,0.022219,6,"22,255"
"Aug 28, 2017",0.019946,0.020356,0.019946,0.020286,3,"21,845"
"Aug 26, 2017",0.020004,0.020049,0.019617,0.019887,3,"21,908"
"Aug 25, 2017",0.019826,0.020439,0.019690,0.019998,3,"21,714"
"Aug 24, 2017",0.019073,0.020002,0.018822,0.019857,51,"20,889"
"Aug 23, 2017",0.018714,0.019487,0.018650,0.019120,14,"20,496"
"Aug 22, 2017",0.018324,0.018981,0.016592,0.018752,18,"20,069"
"Aug 21, 2017",0.018590,0.018676,0.018244,0.018282,24,"20,360"
"Aug 18, 2017",0.019602,0.019942,0.019238,0.019773,2,"21,468"
"Aug 17, 2017",0.020015,0.020530,0.019212,0.019662,7,"21,921"
"Aug 16, 2017",0.018401,0.019260,0.017498,0.018997,7,"20,153"
"Aug 15, 2017",0.019991,0.020453,0.017738,0.018381,9,"21,895"
"Aug 14, 2017",0.018766,0.019949,0.018322,0.019937,2,"20,553"
"Aug 13, 2017",0.024599,0.025819,0.017351,0.018754,35,"26,941"
"Aug 12, 2017",0.019985,0.024664,0.019985,0.024622,43,"21,888"
"Aug 11, 2017",0.018652,0.019384,0.018569,0.019221,0,"20,428"
"Aug 10, 2017",0.018736,0.018771,0.018556,0.018653,0,"20,521"
"Aug 09, 2017",0.014393,0.014427,0.013671,0.014099,3,"15,763"
"Aug 08, 2017",0.017693,0.017966,0.014393,0.014403,51,"19,378"
"Aug 07, 2017",0.017131,0.017210,0.017066,0.017066,1,"18,763"
"Aug 06, 2017",0.017740,0.017938,0.016798,0.017170,1,"19,430"
"Aug 05, 2017",0.015158,0.018104,0.015147,0.017736,1,"16,601"
"Aug 04, 2017",0.015103,0.015253,0.015019,0.015165,1,"16,542"
"Aug 03, 2017",0.014358,0.014808,0.014349,0.014766,2,"15,725"
"Aug 02, 2017",0.014629,0.014752,0.014111,0.014332,27,"16,022"
"Aug 01, 2017",0.020494,0.021730,0.014319,0.014632,10,"22,446"
"Jul 31, 2017",0.014224,0.020585,0.014033,0.020484,17,"15,578"
"Jul 30, 2017",0.019432,0.019470,0.013639,0.014209,6,"21,282"
"Jul 29, 2017",0.011543,0.019649,0.011125,0.019434,3,"12,642"
"Jul 28, 2017",0.018973,0.032527,0.011337,0.011587,102,"20,780"
"Jul 27, 2017",0.027950,0.031700,0.018826,0.018916,89,"30,611"
"Jul 26, 2017",0.025394,0.030689,0.017114,0.027870,278,"27,812"
"Jul 25, 2017",0.019307,0.019439,0.017672,0.017704,0,"21,145"
"Jul 24, 2017",0.027258,0.027718,0.019082,0.019309,0,"29,853"
"Jul 23, 2017",0.016983,0.027671,0.015956,0.027290,0,"18,600"
"Jul 22, 2017",0.026433,0.028581,0.016883,0.016983,1,"28,950"
"Jul 21, 2017",0.027753,0.027845,0.025941,0.026438,1,"30,396"
"Jul 20, 2017",0.020297,0.028418,0.014350,0.027549,103,"22,230"
"Jul 19, 2017",0.020678,0.021475,0.019776,0.020358,106,"22,647"
"Jul 18, 2017",0.019028,0.021387,0.018425,0.020646,16,"20,840"
"Jul 17, 2017",0.016460,0.019010,0.016460,0.018979,1,"18,028"
"Jul 16, 2017",0.016993,0.017559,0.015725,0.016479,2,"18,611"
"Jul 15, 2017",0.017739,0.017985,0.017044,0.017044,0,"19,428"
"Jul 14, 2017",0.020016,0.020108,0.019741,0.019741,1,"21,922"
"Jul 13, 2017",0.020045,0.020402,0.019846,0.020030,3,"21,953"
