Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000353,0.000393,0.000184,0.000389,15,-
"Dec 15, 2017",0.000332,0.000529,0.000332,0.000352,20,-
"Dec 14, 2017",0.000164,0.000503,0.000162,0.000331,"6,407",-
"Dec 13, 2017",0.000168,0.000168,0.000163,0.000164,2,-
"Dec 12, 2017",0.000168,0.000178,0.000164,0.000173,6,-
"Dec 11, 2017",0.000152,0.000175,0.000152,0.000168,6,-
"Dec 10, 2017",0.000301,0.000301,0.000138,0.000154,21,-
"Dec 09, 2017",0.000325,0.000330,0.000271,0.000300,12,-
"Dec 08, 2017",0.000174,0.000326,0.000141,0.000326,"1,843",-
"Dec 07, 2017",0.000137,0.000173,0.000136,0.000173,76,-
"Dec 06, 2017",0.000117,0.000138,0.000117,0.000138,16,-
"Dec 05, 2017",0.000117,0.000119,0.000115,0.000117,5,-
"Dec 04, 2017",0.000112,0.000116,0.000109,0.000116,116,-
"Dec 03, 2017",0.000110,0.000118,0.000106,0.000112,11,-
"Dec 02, 2017",0.000109,0.000112,0.000107,0.000110,55,-
"Dec 01, 2017",0.000200,0.000204,0.000101,0.000109,56,-
"Nov 30, 2017",0.000099,0.000203,0.000090,0.000201,203,-
"Nov 28, 2017",0.000098,0.000100,0.000097,0.000100,1,-
"Nov 27, 2017",0.000095,0.000193,0.000095,0.000097,129,-
"Nov 26, 2017",0.000087,0.000095,0.000087,0.000093,3,-
"Nov 25, 2017",0.000164,0.000170,0.000087,0.000087,3,-
"Nov 24, 2017",0.000161,0.000167,0.000079,0.000165,100,-
"Nov 23, 2017",0.000082,0.000164,0.000081,0.000161,158,-
"Nov 22, 2017",0.000081,0.000083,0.000081,0.000082,29,-
"Nov 21, 2017",0.000082,0.000083,0.000078,0.000083,1,-
"Nov 20, 2017",0.000161,0.000161,0.000079,0.000082,2,-
"Nov 19, 2017",0.000155,0.000162,0.000154,0.000161,1,-
"Nov 18, 2017",0.000077,0.000078,0.000075,0.000078,20,-
"Nov 17, 2017",0.000078,0.000080,0.000076,0.000077,20,-
"Nov 16, 2017",0.000146,0.000149,0.000074,0.000079,32,-
"Nov 15, 2017",0.000132,0.000146,0.000132,0.000145,25,-
"Nov 14, 2017",0.000131,0.000134,0.000129,0.000132,5,-
"Nov 13, 2017",0.000059,0.000135,0.000059,0.000130,219,-
"Nov 12, 2017",0.000127,0.000129,0.000111,0.000124,1,-
"Nov 11, 2017",0.000066,0.000130,0.000063,0.000127,2,-
"Nov 10, 2017",0.000143,0.000147,0.000066,0.000066,14,-
"Nov 09, 2017",0.000075,0.000145,0.000071,0.000142,5,-
"Nov 08, 2017",0.000071,0.000150,0.000071,0.000075,84,-
"Nov 07, 2017",0.000139,0.000144,0.000070,0.000071,1,-
"Nov 06, 2017",0.000148,0.000148,0.000070,0.000139,141,-
"Nov 05, 2017",0.000148,0.000151,0.000146,0.000148,3,-
"Nov 04, 2017",0.000072,0.000151,0.000070,0.000148,1,-
"Nov 03, 2017",0.000140,0.000149,0.000071,0.000072,516,-
"Nov 02, 2017",0.000067,0.000142,0.000067,0.000141,2,-
"Nov 01, 2017",0.000064,0.000067,0.000064,0.000067,137,-
"Oct 30, 2017",0.000062,0.000062,0.000061,0.000061,61,-
"Oct 29, 2017",0.000057,0.000063,0.000057,0.000062,62,-
"Oct 28, 2017",0.000114,0.000115,0.000057,0.000057,3,-
"Oct 27, 2017",0.000059,0.000060,0.000057,0.000058,12,-
"Oct 26, 2017",0.000057,0.000060,0.000057,0.000059,12,-
"Oct 25, 2017",0.000055,0.000114,0.000054,0.000057,14,-
"Oct 24, 2017",0.000059,0.000059,0.000055,0.000055,36,-
"Oct 23, 2017",0.000120,0.000121,0.000057,0.000059,64,-
"Oct 22, 2017",0.000116,0.000121,0.000116,0.000120,5,-
"Oct 18, 2017",0.000056,0.000056,0.000053,0.000053,2,-
"Oct 17, 2017",0.000058,0.000058,0.000055,0.000056,8,-
"Oct 16, 2017",0.000057,0.000058,0.000057,0.000058,"2,118",-
"Oct 13, 2017",0.000109,0.000118,0.000108,0.000112,1,-
