Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.030800,0.044737,0.027660,0.037508,"41,965","9,239,860"
"Dec 15, 2017",0.034365,0.035533,0.027038,0.028675,"24,614","10,309,500"
"Dec 14, 2017",0.035291,0.047185,0.033611,0.034325,"41,228","10,587,300"
"Dec 13, 2017",0.043117,0.047568,0.033543,0.035014,"17,341","12,935,200"
"Dec 12, 2017",0.037713,0.046931,0.029821,0.043086,"37,404","11,313,800"
"Dec 11, 2017",0.044787,0.051182,0.030830,0.037895,"35,803","13,436,100"
"Dec 10, 2017",0.050379,0.052903,0.041262,0.044902,"32,205","15,113,700"
"Dec 09, 2017",0.060576,0.066846,0.043648,0.052487,"33,252","18,172,800"
"Dec 08, 2017",0.066445,0.076960,0.045024,0.060606,"33,037","19,933,500"
"Dec 07, 2017",0.065378,0.087098,0.041047,0.066303,"33,372","19,613,300"
"Dec 06, 2017",0.057322,0.076324,0.044648,0.065397,"25,588","17,196,700"
"Dec 05, 2017",0.050111,0.071322,0.034364,0.060812,"28,574","15,033,300"
"Dec 04, 2017",0.039380,0.055119,0.030029,0.050047,"29,342","11,814,000"
"Dec 03, 2017",0.042485,0.053297,0.032683,0.039298,"31,182","12,745,400"
"Dec 02, 2017",0.046971,0.067565,0.037533,0.043209,"34,294","14,091,200"
"Dec 01, 2017",0.034754,0.069753,0.031023,0.052951,"31,530","10,426,300"
"Nov 30, 2017",0.041577,0.044458,0.022752,0.037070,"27,079","12,473,100"
"Nov 29, 2017",0.020656,0.046000,0.020044,0.037052,"18,318","6,196,780"
"Nov 28, 2017",0.020785,0.029569,0.017898,0.020644,"18,238","6,235,520"
"Nov 27, 2017",0.016450,0.021205,0.015419,0.018843,"27,497","4,934,900"
"Nov 26, 2017",0.016191,0.017703,0.014681,0.016639,"24,009","4,857,150"
"Nov 25, 2017",0.015779,0.017626,0.015104,0.016193,"25,794","4,733,790"
"Nov 24, 2017",0.015107,0.017565,0.014394,0.015790,"25,854","4,532,070"
"Nov 23, 2017",0.014741,0.016601,0.013022,0.015513,"22,547","4,422,460"
"Nov 22, 2017",0.014160,0.015867,0.012234,0.014723,"21,645","4,248,150"
"Nov 21, 2017",0.014590,0.017532,0.012817,0.015312,"19,654",-
"Nov 20, 2017",0.015576,0.016135,0.012689,0.014296,"21,753",-
"Nov 19, 2017",0.013027,0.016661,0.012175,0.014158,"21,395",-
"Nov 18, 2017",0.013134,0.014250,0.011780,0.013057,"19,739",-
"Nov 17, 2017",0.013765,0.015391,0.012244,0.013166,"18,110",-
"Nov 16, 2017",0.014072,0.015750,0.012193,0.013779,"20,720",-
"Nov 15, 2017",0.015737,0.018048,0.013614,0.014039,"18,545",-
"Nov 14, 2017",0.014682,0.019990,0.013393,0.017742,"18,092",-
"Nov 13, 2017",0.016596,0.019812,0.013078,0.014665,"14,966",-
"Nov 12, 2017",0.015162,0.018391,0.012401,0.016960,"15,489",-
"Nov 11, 2017",0.012532,0.016209,0.010793,0.015321,"14,968",-
"Nov 10, 2017",0.015445,0.016716,0.009992,0.013189,"15,751",-
"Nov 09, 2017",0.014435,0.016671,0.011968,0.015422,"15,826",-
"Nov 08, 2017",0.014953,0.016169,0.012243,0.014493,"14,714",-
"Nov 07, 2017",0.017154,0.018360,0.011981,0.015814,"17,254",-
"Nov 06, 2017",0.015365,0.020758,0.015365,0.017819,"15,628",-
"Nov 05, 2017",0.016858,0.024267,0.015271,0.015345,"16,551",-
"Nov 04, 2017",0.018034,0.022869,0.012740,0.016846,"12,480",-
"Nov 03, 2017",0.017102,0.026804,0.012549,0.019279,"14,519",-
"Nov 02, 2017",0.012957,0.024940,0.008735,0.017076,"12,082",-
"Nov 01, 2017",0.007787,0.016971,0.005802,0.012770,"11,471",-
"Oct 31, 2017",0.015066,0.017378,0.007764,0.007795,"12,647",-
"Oct 30, 2017",0.020259,0.021361,0.011056,0.015083,"12,079",-
"Oct 29, 2017",0.014144,0.034327,0.014144,0.020823,"11,486",-
"Oct 28, 2017",0.035028,0.069598,0.012975,0.014154,"13,250",-
"Oct 27, 2017",0.010451,0.066462,0.008396,0.035248,"15,384",-
