Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.672420,1.00,0.672306,0.706548,"30,575","1,445,490"
"Dec 15, 2017",0.621724,0.845621,0.588364,0.670891,"39,887","1,336,510"
"Dec 14, 2017",0.537949,0.744396,0.537949,0.620851,"26,517","1,156,420"
"Dec 13, 2017",0.582669,0.652870,0.415322,0.528150,"32,779","1,252,560"
"Dec 12, 2017",0.429030,0.582505,0.394428,0.582197,"22,597","922,281"
"Dec 11, 2017",0.343352,0.475410,0.342224,0.428118,"9,566","738,101"
"Dec 10, 2017",0.372872,0.484396,0.283022,0.345504,"9,278","801,559"
"Dec 09, 2017",0.337454,0.374330,0.294408,0.371331,"6,058","725,422"
"Dec 08, 2017",0.298990,0.382679,0.196994,0.337770,"10,265","642,736"
"Dec 07, 2017",0.355840,0.371731,0.269067,0.298343,"12,823","764,945"
"Dec 06, 2017",0.432706,0.448284,0.153016,0.356465,"29,979","930,184"
"Dec 05, 2017",0.396514,0.454815,0.359629,0.433793,"12,900","852,381"
"Dec 04, 2017",0.420333,0.473966,0.394324,0.408920,"13,783","903,529"
"Dec 03, 2017",0.370778,0.472859,0.370778,0.419053,"21,910","794,638"
"Dec 02, 2017",0.382661,0.420654,0.336192,0.370452,"15,985","818,077"
"Dec 01, 2017",0.398661,0.448880,0.298423,0.382918,"20,331","850,294"
"Nov 30, 2017",0.339616,0.403423,0.272339,0.400567,"13,474","722,224"
"Nov 29, 2017",0.335957,0.378505,0.266267,0.334756,"10,921","712,560"
"Nov 28, 2017",0.351156,0.389648,0.285772,0.336175,"12,974","742,284"
"Nov 27, 2017",0.448146,0.470238,0.306654,0.350472,"19,197","944,643"
"Nov 26, 2017",0.305773,0.455184,0.291630,0.448088,"16,722","642,369"
"Nov 25, 2017",0.357127,0.458461,0.305771,0.305859,"15,211","747,551"
"Nov 24, 2017",0.413193,0.519476,0.298073,0.357815,"15,255","862,057"
"Nov 23, 2017",0.383267,0.576476,0.352468,0.414024,"31,330","797,067"
"Nov 22, 2017",0.186207,0.383396,0.167473,0.383390,"18,915","386,234"
"Nov 21, 2017",0.338156,0.347642,0.169276,0.185703,"11,916","700,227"
"Nov 20, 2017",0.375863,0.391664,0.278742,0.338821,"9,278","777,245"
"Nov 19, 2017",0.349328,0.392166,0.303468,0.376049,"18,106","720,712"
"Nov 18, 2017",0.288576,0.391492,0.285038,0.349971,"24,962","593,734"
"Nov 17, 2017",0.354350,0.382008,0.251531,0.321924,"23,851","727,486"
"Nov 16, 2017",0.338786,0.375250,0.293992,0.355036,"22,806","694,456"
"Nov 15, 2017",0.316805,0.370936,0.283099,0.316968,"38,816","648,138"
"Nov 14, 2017",0.461320,0.492467,0.290654,0.316596,"63,503","942,287"
"Nov 13, 2017",0.382273,0.494102,0.326464,0.454505,"32,522","779,782"
"Nov 12, 2017",0.541234,0.541234,0.346314,0.379943,"30,212","1,102,630"
"Nov 11, 2017",0.629258,0.649690,0.474168,0.542430,"45,753","1,280,340"
"Nov 10, 2017",0.643386,0.970563,0.567216,0.631497,"54,536","1,307,400"
"Nov 09, 2017",0.762856,0.918819,0.655233,0.655233,"53,077","1,548,170"
"Nov 08, 2017",0.956040,1.13,0.360962,0.763702,"172,320","1,937,690"
"Nov 07, 2017",0.771923,1.02,0.771923,0.959044,"38,453","1,562,540"
"Nov 06, 2017",1.01,1.10,0.691834,0.773104,"29,742","2,040,870"
"Nov 05, 2017",1.17,1.23,0.853041,0.887893,"47,042","2,359,980"
"Nov 04, 2017",0.834520,1.30,0.721903,1.17,"70,212","1,682,850"
"Nov 03, 2017",0.486584,0.851990,0.431600,0.836872,"43,544","979,962"
"Nov 02, 2017",0.659901,0.717610,0.414119,0.487194,"43,415","1,327,320"
"Nov 01, 2017",0.789388,0.877786,0.567143,0.639813,"41,507","1,585,680"
"Oct 31, 2017",0.937851,1.00,0.783239,0.789960,"32,291","1,881,420"
"Oct 30, 2017",1.17,1.38,0.612293,0.940918,"77,421","2,350,230"
"Oct 29, 2017",1.81,2.08,0.779118,0.998273,"168,824",-
"Oct 28, 2017",2.03,2.92,1.32,1.92,"571,258",-
"Oct 27, 2017",0.765155,2.13,0.695116,1.98,"610,833",-
"Oct 26, 2017",0.345065,0.822434,0.343647,0.764978,"78,182",-
