Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",32.89,33.96,30.76,32.47,"2,237,080","91,610,500"
"Dec 15, 2017",35.00,36.06,29.96,32.61,"2,436,520","97,256,200"
"Dec 14, 2017",30.73,37.61,30.43,34.95,"3,480,900","84,922,800"
"Dec 13, 2017",30.60,33.23,28.43,30.99,"2,291,580","84,567,700"
"Dec 12, 2017",27.19,32.65,26.87,30.58,"2,178,480","66,778,300"
"Dec 11, 2017",26.25,31.09,26.14,27.10,"1,524,730","64,469,600"
"Dec 10, 2017",28.97,28.97,23.90,26.14,"871,874","71,130,200"
"Dec 09, 2017",29.72,32.65,26.98,28.99,"1,462,470","72,979,200"
"Dec 08, 2017",28.09,31.46,25.43,29.47,"2,176,740","68,983,400"
"Dec 07, 2017",35.41,38.32,25.47,28.11,"4,200,290","86,965,500"
"Dec 06, 2017",36.76,40.16,32.11,35.47,"4,618,780","90,267,800"
"Dec 05, 2017",33.98,38.30,33.70,36.97,"3,119,520","83,449,500"
"Dec 04, 2017",30.20,37.36,30.19,33.62,"3,201,290","74,171,000"
"Dec 03, 2017",29.19,32.61,28.90,29.97,"1,125,080","71,683,500"
"Dec 02, 2017",30.26,30.84,27.29,29.14,"1,545,020","74,311,300"
"Dec 01, 2017",29.76,30.58,26.58,30.32,"1,517,460","73,086,300"
"Nov 30, 2017",28.38,30.97,24.34,29.90,"1,337,670","69,693,400"
"Nov 29, 2017",31.70,35.03,25.59,27.95,"2,312,160","77,849,100"
"Nov 28, 2017",32.69,33.34,30.56,31.73,"1,384,160","80,278,200"
"Nov 27, 2017",31.47,32.81,29.47,32.62,"1,973,030","77,288,100"
"Nov 26, 2017",34.22,34.86,29.84,31.47,"2,161,820","84,034,300"
"Nov 25, 2017",30.95,34.73,30.30,34.05,"2,391,050","76,001,400"
"Nov 24, 2017",26.98,32.70,25.90,30.82,"3,616,540","66,241,000"
"Nov 23, 2017",24.84,28.29,22.63,26.96,"2,520,670","61,004,900"
"Nov 22, 2017",21.82,25.91,21.71,24.69,"2,345,800","53,581,000"
"Nov 21, 2017",21.52,22.84,20.57,21.46,"1,161,070","52,835,600"
"Nov 20, 2017",21.47,22.99,19.85,21.67,"1,493,500","52,733,600"
"Nov 19, 2017",21.63,22.84,20.98,22.05,"852,510","53,105,600"
"Nov 18, 2017",21.18,23.37,20.13,21.67,"1,035,100","51,998,700"
"Nov 17, 2017",21.33,22.76,20.80,21.55,"919,731","52,385,800"
"Nov 16, 2017",23.59,23.78,20.88,21.30,"1,356,370","57,926,900"
"Nov 15, 2017",22.49,24.43,22.26,23.47,"1,237,530","55,237,300"
"Nov 14, 2017",24.06,24.06,21.78,22.47,"837,132","59,074,200"
"Nov 13, 2017",20.35,24.21,19.97,23.47,"1,271,050","49,980,400"
"Nov 12, 2017",22.33,22.44,18.21,20.34,"1,442,420","54,822,600"
"Nov 11, 2017",22.93,24.38,20.56,22.34,"1,200,510","56,311,700"
"Nov 10, 2017",27.55,28.03,21.00,23.01,"2,247,740","67,648,100"
"Nov 09, 2017",24.94,28.01,23.63,27.43,"1,887,700","61,206,100"
"Nov 08, 2017",21.29,26.18,21.20,24.83,"2,846,460","51,756,300"
"Nov 07, 2017",20.79,22.31,20.07,21.37,"1,091,620","50,417,900"
"Nov 06, 2017",21.38,22.21,20.19,20.91,"1,318,850","51,677,600"
"Nov 05, 2017",20.04,22.33,19.00,21.27,"1,638,920","48,294,300"
"Nov 04, 2017",23.19,23.65,19.87,20.07,"3,010,760","55,751,900"
"Nov 03, 2017",16.45,26.36,15.92,23.23,"17,892,500","38,793,300"
"Nov 02, 2017",16.68,17.65,15.14,16.64,"1,753,840","39,354,200"
"Nov 01, 2017",17.72,18.05,15.58,16.66,"1,291,220","41,804,200"
"Oct 31, 2017",19.00,19.65,16.61,17.79,"2,215,440","44,825,100"
"Oct 30, 2017",18.81,20.77,17.61,19.07,"1,470,750","44,362,800"
"Oct 29, 2017",19.69,19.95,18.00,19.02,"1,895,940","46,444,500"
"Oct 28, 2017",21.09,21.50,19.03,19.72,"1,464,900","49,749,900"
"Oct 27, 2017",21.82,22.25,20.38,21.03,"1,715,590","51,331,300"
"Oct 26, 2017",24.22,24.31,20.65,21.67,"3,916,140","56,827,900"
"Oct 25, 2017",24.18,26.74,23.23,24.29,"5,301,820","56,567,300"
"Oct 24, 2017",21.71,26.09,19.66,24.46,"6,337,350","50,635,500"
"Oct 23, 2017",23.73,25.31,21.44,21.65,"4,340,760","55,200,200"
"Oct 22, 2017",20.34,25.75,18.96,23.83,"8,248,600","47,166,400"
"Oct 21, 2017",16.52,26.24,16.04,20.37,"11,838,300","38,190,800"
"Oct 20, 2017",22.91,23.29,16.44,16.57,"17,720,700","52,823,400"
"Oct 19, 2017",7.91,28.04,7.71,22.98,"40,693,600","18,168,000"
"Oct 18, 2017",7.06,8.33,6.39,7.98,"398,885","15,746,900"
"Oct 17, 2017",7.14,7.50,6.54,7.06,"222,375","15,907,100"
"Oct 16, 2017",6.89,7.42,6.49,7.29,"207,719","15,369,900"
"Oct 15, 2017",7.17,7.53,6.62,6.89,"136,679","15,979,100"
"Oct 14, 2017",7.27,7.92,6.95,7.18,"262,810","16,205,800"
"Oct 13, 2017",7.18,9.01,6.60,7.25,"1,027,130","16,005,800"
"Oct 12, 2017",6.13,7.67,5.88,7.16,"339,841","13,657,300"
"Oct 11, 2017",5.66,6.28,5.37,6.12,"170,826","12,615,700"
"Oct 10, 2017",6.37,6.38,5.32,5.53,"156,024","14,198,500"
"Oct 09, 2017",5.98,6.41,5.27,6.41,"232,187","13,341,800"
"Oct 08, 2017",6.56,6.67,5.97,5.98,"147,748","14,619,100"
"Oct 07, 2017",6.89,7.02,6.02,6.53,"200,945","15,349,000"
"Oct 06, 2017",7.07,7.52,6.69,6.88,"149,421","15,761,800"
"Oct 05, 2017",6.84,7.29,6.54,7.02,"156,574","15,257,000"
"Oct 04, 2017",7.51,7.53,6.60,6.84,"182,234","16,710,500"
"Oct 03, 2017",7.78,7.94,6.84,7.48,"226,186","17,265,200"
"Oct 02, 2017",8.00,8.09,7.59,7.78,"161,306","17,692,800"
"Oct 01, 2017",8.16,8.24,7.72,8.03,"183,135","17,988,500"
"Sep 30, 2017",7.98,8.25,7.95,8.16,"154,880","17,535,300"
"Sep 29, 2017",8.69,8.79,7.75,7.98,"235,118","19,029,600"
"Sep 28, 2017",8.92,9.37,8.53,8.70,"340,872","19,466,800"
"Sep 27, 2017",7.87,8.84,7.86,8.80,"400,524","17,133,900"
"Sep 26, 2017",8.04,8.32,7.61,7.88,"221,413","17,448,900"
"Sep 25, 2017",6.98,8.34,6.92,8.04,"261,447","15,096,800"
"Sep 24, 2017",7.02,7.27,6.74,6.98,"135,262","15,141,700"
"Sep 23, 2017",6.96,7.41,6.91,7.02,"156,965","14,964,900"
"Sep 22, 2017",6.77,7.90,6.63,7.02,"502,130","14,777,400"
"Sep 21, 2017",6.83,8.47,6.39,6.84,"943,154","14,850,700"
"Sep 20, 2017",6.75,7.30,6.63,6.82,"155,140","14,639,100"
"Sep 19, 2017",7.42,7.47,6.74,6.77,"98,777","16,025,700"
"Sep 18, 2017",6.85,7.55,6.67,7.55,"129,904","14,748,300"
"Sep 17, 2017",6.96,7.10,6.52,6.81,"80,260","14,937,800"
"Sep 16, 2017",7.07,7.25,6.43,6.95,"103,831","15,134,800"
"Sep 15, 2017",5.70,7.18,5.17,7.10,"160,224","12,157,900"
"Sep 14, 2017",6.92,6.96,5.61,5.66,"136,672","14,709,100"
"Sep 13, 2017",7.69,7.77,6.34,6.79,"197,428","16,296,000"
"Sep 12, 2017",7.92,8.35,7.52,7.69,"129,754","16,728,800"
"Sep 11, 2017",7.88,9.34,7.67,7.93,"204,588","16,581,200"
"Sep 10, 2017",8.33,8.69,7.51,7.86,"162,879","17,460,500"
"Sep 09, 2017",8.30,8.75,7.83,8.37,"165,846","17,346,100"
"Sep 08, 2017",9.96,10.18,7.94,8.26,"280,861","20,751,400"
"Sep 07, 2017",10.17,10.62,9.58,9.92,"301,193","21,117,900"
"Sep 06, 2017",8.66,10.70,8.50,10.41,"329,524","17,919,700"
"Sep 05, 2017",8.06,9.15,7.07,8.64,"302,971","16,623,300"
"Sep 04, 2017",9.98,10.20,6.82,8.12,"563,803","20,496,700"
"Sep 03, 2017",10.61,10.73,8.68,9.97,"364,773","21,730,300"
"Sep 02, 2017",12.79,13.09,10.09,10.60,"366,283","26,091,300"
"Sep 01, 2017",12.89,13.03,11.70,12.77,"322,921","26,204,400"
"Aug 31, 2017",11.37,13.43,10.88,12.88,"796,268","23,044,100"
"Aug 30, 2017",11.09,12.09,10.92,11.40,"302,192","22,388,700"
"Aug 29, 2017",11.40,12.30,10.64,11.09,"588,334","22,946,200"
"Aug 28, 2017",9.20,12.17,8.53,11.33,"943,996","18,442,300"
"Aug 27, 2017",9.03,9.61,8.05,9.19,"357,312","18,037,800"
"Aug 26, 2017",8.72,9.05,7.94,9.05,"292,991","17,349,900"
"Aug 25, 2017",9.26,9.39,8.22,8.54,"366,466","18,371,300"
"Aug 24, 2017",7.45,9.97,7.28,9.02,"917,657","14,722,100"
"Aug 23, 2017",6.66,7.77,6.56,7.52,"257,292","13,119,500"
"Aug 22, 2017",6.72,6.96,5.93,6.68,"186,140","13,178,400"
"Aug 21, 2017",7.51,7.90,6.53,6.67,"286,852","14,675,800"
"Aug 20, 2017",7.73,7.87,7.15,7.54,"200,055","15,064,100"
"Aug 19, 2017",6.74,7.84,6.61,7.62,"332,545","13,081,300"
"Aug 18, 2017",7.43,8.17,6.62,6.75,"327,931","14,376,900"
"Aug 17, 2017",5.44,8.70,5.14,7.63,"1,057,820","10,484,500"
"Aug 16, 2017",5.82,6.42,5.28,5.57,"202,633","11,175,800"
"Aug 15, 2017",5.71,6.41,5.00,5.81,"208,688","10,922,700"
"Aug 14, 2017",6.34,6.44,5.53,5.61,"218,227","12,073,200"
"Aug 13, 2017",5.84,6.59,5.66,6.40,"264,486","11,085,600"
"Aug 12, 2017",5.44,5.98,5.23,5.87,"224,760","8,716,040"
"Aug 11, 2017",5.02,5.60,4.78,5.23,"255,889","8,052,490"
"Aug 10, 2017",4.98,5.11,4.73,5.02,"177,477","7,982,680"
"Aug 09, 2017",5.71,5.89,4.92,4.98,"131,344","9,149,740"
"Aug 08, 2017",5.22,5.65,4.77,5.62,"152,135","8,372,730"
"Aug 07, 2017",5.12,5.49,4.54,5.22,"155,460","8,200,310"
"Aug 06, 2017",5.49,5.81,5.06,5.11,"143,448","8,801,610"
"Aug 05, 2017",5.34,5.64,4.87,5.21,"174,178","8,562,440"
"Aug 04, 2017",4.82,5.61,4.81,5.34,"174,381","7,732,680"
"Aug 03, 2017",4.05,5.54,3.86,4.83,"395,230","6,494,870"
"Aug 02, 2017",3.51,4.30,3.34,3.92,"123,524","5,620,930"
"Aug 01, 2017",3.30,3.88,3.11,3.51,"81,806","5,282,050"
"Jul 31, 2017",3.71,3.74,3.09,3.29,"112,113","5,952,040"
"Jul 30, 2017",3.96,3.99,3.58,3.71,"59,855","6,350,210"
"Jul 29, 2017",4.17,4.29,3.74,3.94,"51,699","6,686,520"
"Jul 28, 2017",3.70,4.43,3.70,4.19,"132,315","5,928,070"
"Jul 27, 2017",3.69,3.97,3.64,3.69,"76,761","5,908,670"
"Jul 26, 2017",3.64,4.09,3.48,3.68,"55,380","5,826,770"
"Jul 25, 2017",3.95,4.04,3.48,3.63,"78,753","6,325,710"
"Jul 24, 2017",3.96,4.13,3.89,3.95,"56,591","6,349,360"
"Jul 23, 2017",4.38,4.42,3.88,3.97,"58,339","7,012,270"
"Jul 22, 2017",4.08,4.40,4.03,4.25,"55,549","6,538,980"
"Jul 21, 2017",4.66,4.75,3.82,4.08,"106,542","7,466,540"
"Jul 20, 2017",4.04,4.86,4.04,4.78,"110,797","6,467,080"
"Jul 19, 2017",3.85,4.45,3.84,4.05,"90,234","6,172,300"
"Jul 18, 2017",3.80,4.32,3.68,3.84,"91,503","6,092,400"
"Jul 17, 2017",3.30,3.91,3.16,3.79,"99,744","5,292,880"
"Jul 16, 2017",3.58,3.95,3.28,3.42,"47,648","5,734,670"
"Jul 15, 2017",4.00,4.37,3.55,3.59,"52,996","6,413,420"
"Jul 14, 2017",4.02,4.31,3.77,4.01,"60,051","6,438,480"
"Jul 13, 2017",4.13,5.01,4.00,4.02,"106,360","6,626,390"
"Jul 12, 2017",3.94,4.39,3.85,4.13,"78,137","6,314,570"
"Jul 11, 2017",4.29,4.90,3.75,4.00,"99,142","6,873,910"
"Jul 10, 2017",4.52,5.03,3.99,4.30,"111,956","7,244,080"
"Jul 09, 2017",4.60,5.20,4.51,4.51,"77,663","7,374,940"
"Jul 08, 2017",5.00,5.20,4.56,4.60,"77,084","8,019,220"
"Jul 07, 2017",5.12,5.73,4.89,5.00,"99,876","8,204,300"
"Jul 06, 2017",5.50,5.51,4.94,5.12,"104,429","8,821,710"
"Jul 05, 2017",5.57,5.98,5.38,5.50,"110,432","8,933,640"
"Jul 04, 2017",5.04,6.23,4.83,5.58,"182,075","8,081,120"
"Jul 03, 2017",5.00,5.26,4.43,4.83,"150,365","8,016,110"
"Jul 02, 2017",4.52,5.40,4.32,4.86,"113,632","7,232,180"
"Jul 01, 2017",5.22,5.72,4.46,4.73,"149,683","8,305,310"
"Jun 30, 2017",5.82,6.09,5.13,5.18,"158,316","8,798,980"
"Jun 29, 2017",6.21,7.02,5.62,5.62,"156,999","9,395,640"
"Jun 28, 2017",6.48,6.59,5.47,6.21,"249,964","9,808,020"
"Jun 27, 2017",6.67,6.76,5.64,6.33,"168,652","10,097,800"
"Jun 26, 2017",7.05,7.53,5.79,6.39,"245,934","10,669,300"
"Jun 25, 2017",8.08,8.26,6.77,7.06,"188,597","12,227,200"
"Jun 24, 2017",9.17,9.49,7.95,8.10,"197,645","13,879,600"
"Jun 23, 2017",6.86,10.00,6.86,9.18,"615,053","10,376,700"
"Jun 22, 2017",6.50,7.21,6.43,6.86,"200,342","9,826,540"
"Jun 21, 2017",6.47,7.70,6.42,6.50,"280,990","9,791,250"
"Jun 20, 2017",6.55,7.12,6.44,6.44,"232,102","9,906,850"
"Jun 19, 2017",6.62,7.31,6.27,6.55,"458,862","9,977,440"
"Jun 18, 2017",7.84,8.46,6.28,6.79,"315,384","11,763,000"
"Jun 17, 2017",8.37,8.86,7.75,7.88,"188,220","12,491,300"
"Jun 16, 2017",8.50,8.97,7.71,8.38,"243,002","12,620,200"
"Jun 15, 2017",9.18,9.58,7.19,8.53,"258,595","13,570,700"
"Jun 14, 2017",10.20,11.89,8.36,8.77,"324,085","15,013,000"
"Jun 13, 2017",9.45,10.89,8.87,10.21,"233,285","13,842,700"
"Jun 12, 2017",10.41,11.64,8.54,9.49,"508,947","15,166,600"
"Jun 11, 2017",8.15,10.86,7.24,10.22,"364,843","11,815,100"
"Jun 10, 2017",8.82,9.88,7.79,8.15,"485,824","12,729,300"
"Jun 09, 2017",8.29,11.28,8.24,8.82,"1,128,090","11,905,900"
"Jun 08, 2017",12.93,14.63,5.26,8.12,"1,732,100","18,482,300"
"Jun 07, 2017",16.85,17.09,12.76,13.05,"1,101,790","23,967,400"
"Jun 06, 2017",19.13,19.18,15.55,16.84,"1,989,300",-
"Jun 05, 2017",10.57,19.06,8.11,19.06,"3,495,730",-
"Jun 04, 2017",9.13,13.86,5.16,10.32,"26,662",-
