Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.669481,0.826075,0.643406,0.753453,"2,487","1,333,390"
"Dec 15, 2017",0.646835,0.695738,0.635705,0.668552,"5,412","1,288,290"
"Dec 14, 2017",0.631887,0.787660,0.620077,0.645839,"5,364","1,258,520"
"Dec 13, 2017",0.667668,0.751149,0.615292,0.630996,"4,947","1,329,780"
"Dec 12, 2017",0.707398,0.765830,0.624989,0.667081,"7,579","1,408,910"
"Dec 11, 2017",0.810580,0.892150,0.699625,0.705118,"8,832","1,614,420"
"Dec 10, 2017",0.535680,0.870053,0.485233,0.808862,"18,128","1,066,900"
"Dec 09, 2017",0.812669,0.837582,0.527662,0.533519,"7,407","1,618,580"
"Dec 08, 2017",0.621080,0.813600,0.573011,0.813488,"26,668","1,236,990"
"Dec 07, 2017",0.431434,0.635441,0.421240,0.619637,"14,422","859,279"
"Dec 06, 2017",0.433448,0.493948,0.317255,0.432076,"5,701","863,290"
"Dec 05, 2017",0.399619,0.531190,0.394316,0.434423,"2,387","795,914"
"Dec 04, 2017",0.484552,0.504444,0.381425,0.398829,791,"965,073"
"Dec 03, 2017",0.381948,0.600037,0.296912,0.482863,"17,867","760,718"
"Dec 02, 2017",0.349536,0.396378,0.300038,0.381580,"3,613","696,164"
"Dec 01, 2017",0.389806,0.407346,0.309888,0.349826,"5,464","776,368"
"Nov 30, 2017",0.211532,0.437941,0.186466,0.411791,"29,447","421,304"
"Nov 29, 2017",0.225762,0.278686,0.204303,0.208438,"2,184","449,645"
"Nov 28, 2017",0.233959,0.288563,0.200645,0.225986,749,"465,972"
"Nov 27, 2017",0.269906,0.365556,0.073307,0.233369,"14,737","537,566"
"Nov 26, 2017",0.272490,0.297604,0.267062,0.269861,860,"542,712"
"Nov 25, 2017",0.268639,0.283643,0.265221,0.272594,"1,345","535,044"
"Nov 24, 2017",0.257156,0.304400,0.249303,0.268645,"1,981","512,172"
"Nov 23, 2017",0.300301,0.327265,0.285747,0.296175,"4,163","597,314"
"Nov 22, 2017",0.292474,0.315189,0.291231,0.300397,"1,697","579,637"
"Nov 21, 2017",0.297678,0.327535,0.284015,0.291765,"6,455","587,828"
"Nov 20, 2017",0.290517,0.299249,0.287041,0.297623,"2,364","571,612"
"Nov 19, 2017",0.285432,0.311441,0.283107,0.290652,"2,541","559,521"
"Nov 18, 2017",0.282410,0.293546,0.273184,0.285961,"1,962","551,570"
"Nov 17, 2017",0.285938,0.314687,0.275893,0.283497,"1,969","556,382"
"Nov 16, 2017",0.273879,0.315170,0.267804,0.286408,"3,685","530,947"
"Nov 15, 2017",0.261216,0.324977,0.246362,0.272435,"1,569","504,498"
"Nov 14, 2017",0.236940,0.312357,0.236836,0.261038,"12,306","455,910"
"Nov 13, 2017",0.193208,0.246840,0.193208,0.236439,"5,789","370,380"
"Nov 12, 2017",0.201079,0.238530,0.177570,0.192927,"2,817","384,018"
"Nov 11, 2017",0.208620,0.216083,0.196984,0.201227,557,"396,908"
"Nov 10, 2017",0.225913,0.237185,0.209365,0.209365,664,"428,203"
"Nov 09, 2017",0.236493,0.254846,0.222853,0.225245,"1,319","446,579"
"Nov 08, 2017",0.225008,0.247984,0.223671,0.236737,439,"423,254"
"Nov 07, 2017",0.236605,0.241947,0.220958,0.225717,"1,552","443,361"
"Nov 06, 2017",0.226973,0.264087,0.199908,0.236985,"1,136","423,688"
"Nov 05, 2017",0.238344,0.291622,0.208711,0.226470,"3,028","443,213"
"Nov 04, 2017",0.224755,0.239837,0.208604,0.238797,"1,089","416,306"
"Nov 03, 2017",0.224675,0.233922,0.221894,0.225340,686,"414,539"
"Nov 02, 2017",0.208772,0.277704,0.208772,0.224969,"2,351","383,711"
"Nov 01, 2017",0.231659,0.235106,0.201974,0.208537,912,"424,124"
"Oct 31, 2017",0.242845,0.246845,0.218343,0.231829,"1,111","442,832"
"Oct 30, 2017",0.244432,0.245902,0.220360,0.243672,393,"443,978"
"Oct 29, 2017",0.230950,0.245858,0.212936,0.245858,"2,232","417,848"
"Oct 28, 2017",0.264753,0.264753,0.229347,0.231266,"1,871","477,094"
"Oct 27, 2017",0.235472,0.279105,0.228118,0.264045,"1,118","422,649"
"Oct 26, 2017",0.199041,0.279186,0.197845,0.240479,"3,269","355,831"
"Oct 25, 2017",0.166653,0.225097,0.162529,0.199064,"1,181","296,725"
"Oct 24, 2017",0.196909,0.199992,0.140869,0.166586,532,"349,175"
"Oct 23, 2017",0.198632,0.249841,0.194916,0.197344,"1,821","350,778"
"Oct 22, 2017",0.214448,0.223665,0.190766,0.198952,"2,304","377,208"
"Oct 21, 2017",0.200830,0.226032,0.195898,0.214384,397,"351,817"
"Oct 20, 2017",0.182544,0.221764,0.182336,0.201093,537,"318,456"
"Oct 19, 2017",0.224043,0.224043,0.178465,0.182550,791,"389,255"
"Oct 18, 2017",0.226438,0.226444,0.182279,0.223927,948,"391,807"
"Oct 17, 2017",0.214979,0.230321,0.207696,0.226422,206,"370,390"
"Oct 16, 2017",0.211074,0.244018,0.206195,0.214946,605,"362,194"
"Oct 15, 2017",0.216731,0.229838,0.202000,0.211045,169,"370,330"
"Oct 14, 2017",0.242666,0.245091,0.208258,0.216344,238,"412,888"
"Oct 13, 2017",0.241356,0.260331,0.204688,0.242598,673,"408,942"
"Oct 12, 2017",0.252790,0.288411,0.210063,0.240583,668,"426,510"
"Oct 11, 2017",0.229657,0.272844,0.229657,0.252643,782,"385,814"
"Oct 10, 2017",0.276984,0.280987,0.227989,0.229694,487,"463,347"
"Oct 09, 2017",0.253153,0.280827,0.231188,0.277002,"2,606","421,662"
"Oct 08, 2017",0.284365,0.285700,0.229654,0.253089,491,"471,591"
"Oct 07, 2017",0.261993,0.285799,0.225510,0.285127,"2,274","432,621"
"Oct 06, 2017",0.237586,0.282424,0.206433,0.261908,"9,297","390,610"
"Oct 05, 2017",0.170966,0.237587,0.168735,0.237587,"1,234","279,843"
"Oct 04, 2017",0.195682,0.209281,0.160202,0.170812,"2,523","318,905"
"Oct 03, 2017",0.222255,0.245202,0.181318,0.195229,"1,544","360,621"
"Oct 02, 2017",0.210478,0.263388,0.163457,0.222247,"6,269","339,972"
"Oct 01, 2017",0.208161,0.224639,0.204272,0.210570,280,"334,731"
"Sep 30, 2017",0.192246,0.256963,0.192065,0.208048,"1,443","307,736"
"Sep 29, 2017",0.245617,0.258284,0.191349,0.192222,"1,644","391,372"
"Sep 28, 2017",0.189931,0.245807,0.187770,0.245807,"1,008","301,432"
"Sep 27, 2017",0.173432,0.216491,0.173432,0.189985,712,"274,015"
"Sep 26, 2017",0.200758,0.201246,0.171325,0.173917,"1,042","315,734"
"Sep 25, 2017",0.185308,0.254759,0.184400,0.200778,"1,486","290,123"
"Sep 24, 2017",0.226219,0.274310,0.167113,0.185496,"3,220","352,556"
"Sep 23, 2017",0.180335,0.227190,0.163399,0.226238,"3,157","279,736"
"Sep 22, 2017",0.181405,0.212907,0.176785,0.180845,478,"280,083"
"Sep 21, 2017",0.235721,0.237305,0.180233,0.181613,"3,264","362,237"
"Sep 20, 2017",0.223469,0.323742,0.221085,0.224253,"4,769","341,818"
"Sep 19, 2017",0.159234,0.432138,0.127137,0.223768,"27,726","242,400"
"Sep 18, 2017",0.133801,0.175207,0.133222,0.158845,430,"202,736"
"Sep 17, 2017",0.136356,0.140007,0.124648,0.134068,254,"205,613"
"Sep 16, 2017",0.134252,0.171310,0.130550,0.136449,610,"201,483"
"Sep 15, 2017",0.116677,0.188497,0.105960,0.134603,422,"174,268"
"Sep 14, 2017",0.195390,0.197995,0.115774,0.115774,"1,691","290,447"
"Sep 13, 2017",0.147922,0.203125,0.135651,0.195399,"1,329","218,819"
"Sep 12, 2017",0.198209,0.199963,0.145714,0.148488,654,"291,750"
"Sep 11, 2017",0.191387,0.198906,0.180506,0.198019,818,"280,341"
"Sep 10, 2017",0.212493,0.220052,0.182602,0.191712,443,"309,753"
"Sep 09, 2017",0.212025,0.258507,0.206007,0.213040,480,"307,551"
"Sep 08, 2017",0.235073,0.323740,0.199327,0.211615,"1,441","339,274"
"Sep 07, 2017",0.225292,0.235884,0.199794,0.235026,"3,217","323,538"
"Sep 06, 2017",0.210835,0.237114,0.199423,0.225724,870,"301,249"
"Sep 05, 2017",0.191363,0.214565,0.180038,0.210595,853,"272,047"
"Sep 04, 2017",0.213326,0.231577,0.184501,0.190375,947,"301,764"
"Sep 03, 2017",0.244423,0.255721,0.207155,0.213243,728,"343,971"
"Sep 02, 2017",0.262231,0.264354,0.238417,0.244268,"1,544","367,136"
"Sep 01, 2017",0.262732,0.284107,0.260234,0.261908,"1,161","365,983"
"Aug 31, 2017",0.271804,0.306421,0.246386,0.262688,"1,913","376,642"
