Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.71,1.86,1.68,1.86,"39,671","6,514,070"
"Dec 15, 2017",1.85,1.87,1.70,1.71,"14,651","7,048,250"
"Dec 14, 2017",1.87,1.93,1.78,1.85,"32,266","6,813,650"
"Dec 13, 2017",2.01,2.03,1.83,1.87,"48,925","7,317,120"
"Dec 12, 2017",1.96,2.06,1.90,2.01,"66,067","7,118,200"
"Dec 11, 2017",1.83,1.98,1.83,1.94,"68,492","6,677,740"
"Dec 10, 2017",1.64,1.89,1.51,1.85,"24,178","5,977,970"
"Dec 09, 2017",1.83,1.94,1.53,1.64,"23,738","6,646,200"
"Dec 08, 2017",1.96,1.99,1.73,1.83,"15,207","7,126,430"
"Dec 07, 2017",2.06,2.18,1.82,1.96,"38,922","7,510,500"
"Dec 06, 2017",1.68,2.07,1.65,2.07,"35,604","6,098,980"
"Dec 05, 2017",1.82,1.92,1.63,1.67,"17,641","6,629,850"
"Dec 04, 2017",1.81,1.87,1.68,1.81,"19,480","6,590,130"
"Dec 03, 2017",1.78,2.02,1.67,1.81,"37,047","6,463,630"
"Dec 02, 2017",1.88,2.27,1.67,1.77,"84,928","6,835,690"
"Dec 01, 2017",1.68,1.86,1.59,1.85,"22,329","6,114,220"
"Nov 30, 2017",1.75,1.84,1.55,1.69,"34,278","6,361,690"
"Nov 29, 2017",1.76,1.96,1.66,1.74,"33,648","6,417,960"
"Nov 28, 2017",1.70,1.77,1.67,1.76,"28,900","6,205,160"
"Nov 27, 2017",1.66,1.72,1.63,1.71,"17,970","6,049,440"
"Nov 26, 2017",1.88,1.93,1.63,1.66,"49,390","6,850,550"
"Nov 25, 2017",1.46,1.88,1.41,1.88,"80,266","5,325,590"
"Nov 24, 2017",1.44,1.49,1.42,1.47,"44,930","5,250,620"
"Nov 23, 2017",1.57,1.59,1.44,1.44,"55,354","5,714,400"
"Nov 22, 2017",1.56,1.59,1.51,1.57,"47,478","5,669,900"
"Nov 21, 2017",1.59,1.60,1.49,1.55,"32,709","5,795,630"
"Nov 20, 2017",1.51,1.59,1.50,1.59,"28,455","5,481,810"
"Nov 19, 2017",1.58,1.59,1.47,1.51,"67,274","5,762,210"
"Nov 18, 2017",1.51,1.60,1.48,1.59,"27,295","5,490,540"
"Nov 17, 2017",1.54,1.59,1.50,1.51,"42,001","5,596,140"
"Nov 16, 2017",1.48,1.57,1.45,1.55,"43,106","5,376,690"
"Nov 15, 2017",1.50,1.57,1.44,1.47,"27,858","5,452,880"
"Nov 14, 2017",1.29,1.56,1.28,1.50,"43,669","4,690,670"
"Nov 13, 2017",1.16,1.33,1.16,1.29,"30,361","4,220,650"
"Nov 12, 2017",1.23,1.26,1.11,1.16,"24,519","4,464,020"
"Nov 11, 2017",1.35,1.40,1.21,1.23,"36,496","4,918,870"
"Nov 10, 2017",1.47,1.51,1.34,1.36,"17,492","5,334,720"
"Nov 09, 2017",1.50,1.58,1.41,1.45,"29,354","5,462,560"
"Nov 08, 2017",1.42,1.57,1.41,1.50,"24,548","5,166,610"
"Nov 07, 2017",1.39,1.45,1.37,1.42,"14,453","5,060,140"
"Nov 06, 2017",1.48,1.52,1.39,1.39,"32,540","5,384,630"
"Nov 05, 2017",1.51,1.52,1.46,1.48,"21,091","5,508,850"
"Nov 04, 2017",1.43,1.56,1.39,1.52,"19,472","5,193,960"
"Nov 03, 2017",1.40,1.51,1.38,1.43,"52,576","5,105,760"
"Nov 02, 2017",1.32,1.49,1.32,1.40,"41,878","4,811,890"
"Nov 01, 2017",1.31,1.38,1.27,1.32,"43,257","4,763,170"
"Oct 31, 2017",1.23,1.31,1.22,1.31,"28,455","4,498,240"
"Oct 30, 2017",1.23,1.24,1.21,1.24,"15,499","4,482,450"
"Oct 29, 2017",1.20,1.26,1.18,1.24,"15,433","4,357,340"
"Oct 28, 2017",1.19,1.21,1.17,1.20,"13,240","4,335,680"
"Oct 27, 2017",1.22,1.24,1.18,1.19,"12,032","4,450,000"
"Oct 26, 2017",1.17,1.23,1.16,1.22,"18,034","4,246,520"
"Oct 25, 2017",1.13,1.17,1.10,1.17,"31,100","4,130,480"
"Oct 24, 2017",1.19,1.19,1.13,1.13,"28,508","4,307,960"
"Oct 23, 2017",1.20,1.21,1.14,1.19,"43,645","4,368,240"
"Oct 22, 2017",1.24,1.25,1.18,1.21,"46,758","4,497,590"
"Oct 21, 2017",1.24,1.28,1.21,1.24,"64,201","4,504,710"
"Oct 20, 2017",1.20,1.26,1.15,1.24,"109,139","4,366,910"
"Oct 19, 2017",1.22,1.23,1.17,1.20,"54,230","4,414,180"
"Oct 18, 2017",1.19,1.23,1.10,1.22,"58,831","4,310,180"
"Oct 17, 2017",1.17,1.19,1.14,1.18,"77,298","4,259,570"
"Oct 16, 2017",1.18,1.24,1.09,1.21,"102,661","4,298,380"
"Oct 15, 2017",1.12,1.20,1.05,1.18,"68,205","4,077,370"
"Oct 14, 2017",1.11,1.18,1.10,1.12,"26,299","4,038,120"
"Oct 13, 2017",0.809115,1.12,0.806995,1.11,"33,746","2,937,730"
"Oct 12, 2017",0.906697,0.926691,0.777447,0.811913,"39,047","3,292,030"
"Oct 11, 2017",0.912786,0.966350,0.872291,0.906412,"44,213","3,314,140"
"Oct 10, 2017",0.910384,0.936592,0.887910,0.911180,"44,303","3,305,410"
"Oct 09, 2017",0.896921,0.945311,0.810830,0.907331,"77,147","3,256,530"
"Oct 08, 2017",1.11,1.11,0.898114,0.900871,"45,617","4,022,580"
"Oct 07, 2017",1.10,1.11,1.05,1.11,"44,910","3,976,220"
"Oct 06, 2017",1.08,1.11,1.07,1.10,"38,800","3,917,760"
"Oct 05, 2017",1.16,1.21,1.08,1.08,"47,127","4,198,600"
"Oct 04, 2017",1.15,1.24,1.07,1.16,"81,868","4,221,990"
"Oct 03, 2017",1.12,1.15,1.08,1.15,"39,737","4,119,680"
